Hindi	Telugu	Similarity_Score
हमें झूठ बो ला जा रहा है .	మనం అబ దధ ంలో బ తు కు తుననాం .	0.5423
नहीं .	లేదు .	0.3291
- बढिया है , हम व हीं जाएँगे . - नहीं , रुको .	- సూ పర , పద ండి అ కకడికి పో దాం . - లేదు . ఆగు .	0.6615
दरवा जा तो ड दो .	బ దద లు కొ టట ండి .	0.4807
ठीक है . शा बा श .	సరే మరి . అంతే .	0.4793
हम कैसे . . .	ఎలా మనం . . .	0.6305
नहीं .	లేదు .	0.3291
नहीं .	లేదు .	0.3291
यहाँ .	ఇకకడ .	0.3422
- ठीक है . धत . - ह टो , मैं करती हूँ .	- అబబా . - ప కక కి జరుగు , నేను చేసతా .	0.6770
सि ग न ल बू सटर	సి గ న ల బ ూ సటర	0.5976
कमी ने कहीं के .	చెతత నా కొ డ కా .	0.4766
नहीं .	వదదు .	0.3902
रॉ ब .	రా బ .	0.4188
शर ली .	ష ర లీ .	0.4189
कार ला .	కార లా .	0.3652
मार था .	మార తా .	0.3652
तुम अचछी दिख रही हो .	నువవు బాగానే ఉననా వే .	0.4574
रो टा	రో టా	0.2965
बेवकू फी मत करो .	పిచచి పని చేయ కు .	0.5234
सब कुछ काफी शा ंत है .	అంతా పర శా ంత ంగా ఉంది .	0.4755
रॉ ब ,	రా బ ,	0.4188
मैं ठीक हूँ . मुझे जयादा भ ू ख नहीं है , इसलिए मैं . . .	పర వాలేదు లే . నా కే ం పెదద గా ఆ కలి వే య ట లేదు , కాబటటి . . .	0.6541
तुम जा सकते हो .	నువవు వెళల వచచు .	0.4856
पर शायद दस साल लौ ह अ य सक निकाल ने के बाद , तुम अनु शा सि त हो जाओ गे .	కానీ ప దే ళలు ఇ ను ము గ ను లలో పని చే సతే అయి నా నీకు బు దధ ి వ సతు ందే మో .	0.6436
{ \ an8 } स ें सर व ूल	{ \ an8 } సె న సర వ ూ ల	0.6908
तो यह करना बंद करो .	అయితే ఉద యో గం మా నే య .	0.4500
मैं दिन में कम से कम एक बार इस बारे में सोच ता हूँ .	మా నే య ాలని రోజు కు క నీ సం ఒకక సా రె నా అనిపి సతూ ఉంటుంది .	0.5660
एक बार तुमने मुझसे पूछ ा था कि तुमहारी समस या एँ कब शुरू हुई ं .	నీకు సమసయ లు ఎ పపుడు మొద ల య యా యి అని ఒక సారి నువవు ననను అడి గా వు .	0.6227
