Hindi	Telugu	Similarity_Score
डै नर की आ ग	డా న ర మ ంట లు	0.5166
उसका नाम ले नर ड वर है , वह सच में अजीब है .	వాడి పేరు లెన ర డ వు ర , చాలా పెదద తి కక లో డు .	0.5967
पु रा नी कार डी ल र शि प ? वह वहाँ काम किया करता था .	ఆ వా డే సిన కార డీ ల ర షి ప ? వాడు అకకడ పని చేసే వాడు .	0.5699
और रो ज उसके लिए कै ं डी ला ने लगा था .	రో జ ూ ఆమె కు చా క లె టలు తీసు కె ళ లే వాడు .	0.6197
तुमहारा चे हरा देख कर लगता है , तुमहें पसंद है .	నినను చూ సతు ంటే , నీకు అవి ఇషటం అనన టటే ఉననావు .	0.5816
जिस तरह से यह छो टे से घर ष ण से पर ज व लि त होती है	అ తి చినన రా పి డి కారణ ంగా అది ర గు లు కునే వి ధా నం ,	0.6185
उसने कहा था कि यह का मु क भा वना नहीं थी .	వాడు అది లె ం గి క మెన ఫీ లి ంగ కాదు అననా డు .	0.5698
हतया रे का म कस द ,	హ ంత కు డి ఉదదేశం ,	0.5565
मैं उससे जयादा कुछ नहीं बता सकता . अ ह , डॉ क टर - मरी ज की गो प नी य ता .	నేను అంత కంటే ఎకకువ చెపప లేను . డా క టర - పే ష ె ంట మధయ ఉండే గో ప యత అది .	0.6831
सच में ?	నిజంగా ?	0.3490
और उसे कैसे गा ने पसंद हैं ?	వాడి కి బాగా న చ చే పా ట ఏంటి ?	0.5541
मुझे किसी और चीज का जु न ून है .	నా అభి రు చి వే రే విషయం లో ఉంది .	0.5684
हर तरह के से कस का .	అనని వి ధ ాల ె న సె కస .	0.5274
मेरा मतलब , मुझे भी से कस पसंद है .	అంటే , నాకు కూడా సె కస అంటే ఇష ట మే .	0.5813
मेरी छा ती पर मा रो .	నా ఛ ా తి మీద కొ టటు .	0.4499
- हे भगवान . अरे , नहीं . - ठीक है .	- ఓహ , దేవుడా . ఓహ , లేదు . - సరే .	0.6602
बस मा लि श कर रही थी .	బాగా పి సు కు తుననాను .	0.4701
हम और सब ूत के बिना उसे गिर फ त में नहीं रख सकते .	మరి ంత ఆ ధా రం లే కుండా మనం వాడిని మన తో ఉ ంచుకో లే ం .	0.5922
सच में ?	నిజంగా ?	0.3490
हे भगवान . तुमने उस सा इ के ट रि सट के साथ से कस किया .	ఓ రి , నా యన ో . నువవు నా సె కి యా ట రి సట తో పడు కుననా వు .	0.6359
बेहद की म ती है .	చాలా ఖ రీ ద ె ంది .	0.4701
नहीं .	వదదు .	0.3902
जो तुम देख रहे हो , वह बस कल प ना एँ हैं .	నువవు చూ సతుంది అంతా నీ మన సు లో విషయ మే .	0.6116
नहीं !	వదదు !	0.3902
नहीं .	అంతే .	0.3590
अगर तुम मेरा मतलब समझ रहे हो तो .	నేను చెపపే ది నీకు అరథ మె ఉంటుంది .	0.5186
अगर मैंने उनहें नहीं रो का , तो वे बस डे री फ री ज जा ल कर सं तु ष ट नहीं होंगे .	నేను గ నుక వాడిని ఆ ప కపోతే , వాళళు డె రీ ఫ రీ జ ని త గల బె టటి న ంత మా త రా నా ఆ గ డు .	0.6783
मुझे पता नहीं था कि डे री फ री ज ज ला या गया था .	ఆ త గల బడి న పర దేశం డె రీ ఫ రీ జ అని నాకు తెలీదు .	0.6043
नहीं , केवल तुमहारी गलती नहीं है , डॉ क .	లేదు , ఇది నీ తపపు మాతరమే కాదు , డా క టర .	0.5977
बाकी सब की तरह पहले अपना नाम लि ख वा ओ .	అంద రి లా గే నువవు కూడా వ రు స లో ఉండాలి .	0.5609
सट े ज डा इ व .	సట ే జి డె వ .	0.5262
प यो र ग म सप िर ि ट स टर प न टा इन	ప యూ ర గ మ స పి రి ట స టర పె ంట ె న	0.6710
- सब कैसा गया ? - हमने उसे पक ड लिया .	- ఏ మెంది ? - మేము వాడిని పటటు కుననా ం .	0.6068
बे चा रा ले नर ड . मैंने उसे नि रा श कर दिया .	పా పం లెన ర డ . నేను వాడిని సరి చేయ లేక పోయా .	0.6008
नहीं , तुमने अ परा धी को पक ड लिया . मैंने बस तुमहें सु रा ग दि ए .	లేదు , నీకు నీ మనిషి దొ రి కా డు . అవ సర మెన సమా చా రం నేను ఇ చచా ను .	0.6677
तुमने . . .	నువవు . . .	0.6008
गलत होना .	తపపు బడ డం .	0.4761
कया कर रहे हो ?	ఏం చేసతుననా వు ?	0.4943
यह बस प ें ट के साथ नहीं घु ल ता है .	ఇది పె యి ంట తో కల వడం మాతరమే కాదు .	0.6083
यह तुमहारी गलत ियाँ भी मि टा ता है .	చేసిన తపపు లను చె రి పే సతుంది కూడా .	0.5500
व ॉ य स मे ल छो डा .	పం పి ంచా వు కదా .	0.4967
ग ला च ू म ने की भ द दी आवा ज सु नी . सब कुछ सुना .	ఆ మె డ మీద ఛ ండ ాల ంగా ము ద దా డ డం కూడా వి ననాను .	0.6750
- अरे . कया लगता है मैं यहाँ कयों आया हूँ ? - हाँ . ठीक है .	- నేను ఇకకడికి వచచింది ఎందుకు అనుకుంటుననా వు ? - సరే . సరే .	0.5994
तुमने कर दिखा या , पार ट नर . तुमने कर दिखा या .	నువవు సా ధి ంచా వు , పార టన ర . నువవు సా ధి ంచా వు .	0.5828
डै नर ?	డా న ర ?	0.4590
बात यह है कि , चाह े जो भी अ परा धी हो , हम यह के स सु ल झा एँगे .	విషయం ఏంట ంటే , ఫ లి తం ఏమెనా సరే మనం ఈ కేసు ను పరి ష కరి సతా ము .	0.6825
यह लो .	ఇ దు గో .	0.4225
मुझे माफ कर दो . वह पागल प न था .	ననను కషమి ంచండి . అది వె ర రి త నం .	0.5745
ठीक है , जो भी " आ ध या त मि क " श बद का इस ते माल करता है , वह अजीब से कस कर रहा होता है .	సరే , " ఆ ధ యా త మి క మెన " అనన పద ం వా డే వారు ఎవరెనా సరే , వి చి తర మెన సె కస చేసే మను ష ు లే .	0.6891
और मैं है रा न था कयोंकि उसने कहा था उनहोंने उसके साथ बुरा बर ता व किया था .	వాళళు వాడి మీద క సు రు కుననా రు అని నాకు చెపపా డు కాబటటి నాకు ఆ శ చ ర యం వే సింది .	0.6022
देखो , हम पिछ ले हफ ते जल ने वाली दो जग हों से तुमहारा सं बं ध जो ड चु के हैं ,	చూడు , గ త వా రం త గల బడి న రెండు పర దే శ ాల కు నీ తో సంబం ధం ఉ ందని మాకు తెలి సింది ,	0.6878
मेरी कष म ता ओं की वजह से , मैं हर स तर के ग रा ह कों का इ ला ज कर सकता हूँ .	నేను అనే క వి ధ ాల ె న క లె ంట స కి సహా యం చేయ డానికి నాకు వీ లు కల పి సతుంది .	0.6606
डे री फ री ज इ कल ौ ती जगह है जिस से हम ले नर ड का सं बं ध नहीं जो ड पा ए थे .	మనం నే రు గా లెన ర డ కి లి ంక చేయ ని ఒక ే ఒకక పర దేశం డె రీ ఫ రీ జ మాతరమే .	0.7029
कयोंकि मैं के स के जयादा ही करी ब च ली गई . मु द दे से भ ट क गई थी .	ఎందుకంటే నేను కేసు కు మ రీ దగగర య యా ను . ని ష పా కషి కంగా చూడ లేక పోయా .	0.6548
सच में ? कयोंकि तुम मुझे सच में आत म विश वास से भ री लग ती हो .	నిజంగా ? కానీ చూ సతు ంటే నువవు ఆ తమ వి శ వా సంతో ఉనన టటే ఉంటా వు .	0.6283
लै ब में सवागत है . ज ह री ली चा य जो हमारे हतया रे ने बना ई थी .	నా ల యా బ కి సవా గ తం . హ తయ చేసిన వారు చేసిన విష ప ూ రి త మెన టీ .	0.6505
इसलिए किसी को पता नहीं कि कब रु क ना है या जाना है .	కాబటటి ఎవ రికి ఎ పపుడు ఆ గ ాలో , ఎ పపుడు వెళల ాలో తెలీదు .	0.5367
देखो , अगर तुमहारा कोई मरी ज और ों के लिए ख तर ना क है ,	చూడు , నీ దగగర కు ఇ తరు లకు పరమా ద కర మెన పే ష ె ంట వ సతు ంటే ,	0.6665
अब मुझे जाकर हमारे आ ग ज नी करने वाले को ढूँढ ना होगा .	ఇపపుడు నేను వెళలి ఆ మ ంట లు పె టటి నో డిని కని పెటట ాలి .	0.5966
- तुम भी ज . . . - नहीं , आगे कुछ मत क हो . मत क हो !	- నువవు కూడా క ాలి . . . - వదదు , అలా అన ొ దదు . వదదు !	0.6640
मैं नहीं बता सकता . इससे पे शे वर ह द पार हो जाए गी .	నేను చెపప లేను . అది నా వ ృ తతి ని బ దధ త కు వయ తి రే కం .	0.6442
मुझे लगा था कि हम डि नर पर काम की चर चा करेंगे .	నేను ఇది కేవలం బి జి నె స భ ో జ నం అనే అను కుననాను .	0.5799
डॉ . डे वे रॉ , तुमसे दोबारा मिल कर बेहद खुशी हुई .	డా క టర డె వర ో , మిమమలని మళళీ కల వడం చాలా సంతోష ం .	0.6211
- ऐसा मत क हो . - मैं यह दोबारा कभी नहीं कहूँ गा .	- అలా అన ొ దదు . - నేను ఆ మాట మళళీ ఎ పపటి కీ అ నను .	0.6416
पर मुझे कभी पता नहीं चला आप कयों चले गए थे .	కానీ మీరు ఎందుకు వెళ లా రో మాకు చెపపి ందే లేదు .	0.4979
मुझे लगा था कि मैं एक बेहतर सा इ के ट रि सट हूँ .	నేను ఇంత కంటే మంచి సె కి యా ట రి సట ని అను కుననాను .	0.5923
मैं चाहता हूँ कि तुम वह मो म ठीक यहाँ डा लो .	అకకడ ఉనన ఆ కొ వ వ ొ తతి మెన ం అంతా నా మీద వె య .	0.5802
- . . . करो ! - यह बेहद अ विश व स नी य कहानी है .	- . . . డ ండి ! - నీ క థ చాలా దారు ణ ంగా ఉంది .	0.6873
शायद मैंने जयादा पी ली . हमें नहीं पता .	నేను ఎకకువ తా గే సి ఉండ ొ చచు . మనకు తెలీదు .	0.5723
मुझे पता था कि टर ै वि स थोडा सा अजीब है ,	ట రా వి స కొంచెం వి ంత ె న వా డని నాకు తెలుసు ,	0.5792
- हमारे पास समय कम है . - ठीक है , ठीक है .	- మనకు ఎకకువ సమయం లేదు . - సరే , అలాగే .	0.5799
इस अन ौ प चा रिक ता के लिए माफ ी चा हूँ गा .	ఇలా స ంద ర భ స హి తంగా లే న ందుకు కషమి ంచండి .	0.5971
- जेल में ? - नहीं , के री ओ की बार में .	- జె లు గా ? - కాదు , కె రి యో కి బా ర కి .	0.6396
मैं थ क गई थी . खुद से बेहद ना राज थी .	అ ల సి పోయా . నా మీద నా కే కో ప ంగా ఉంది .	0.5987
फिर चाह े हतया रा छ ू ट ही कयों न जाए ?	కా పా డ ాలా అనన విషయం నిరణ యి ంచుకో వాలి .	0.5146
सुन कर लगता है , पता नहीं , शायद तुम आ ग ज नी के कुछ माम ले कब ूल कर रहे हो ?	అయితే మరి , ఏమ ంటా వు , కొనని చో టల త గల బె టటి న టటు తపపు ను ఒ పపు కో వచచు కదా ?	0.6779
ठीक है , मुझे पता है कया हो रहा है .	సరే , ఏం జరుగు తు ందో నాకు అరథ మెంది .	0.5872
कया तार पी न देख कर तुमहें समझ आ गया ?	టర పె ంట ె న ని చూశా క విషయం అరథ మె ందా ?	0.5850
आ ग ज नी करने वाले की दिमा गी स थि ति के बारे में बता ने के लिए धनयवाद .	మ ంట లు పెటట ె వాడి మన సు ను అర ధం చేసుకో వడానికి ఇ చచి న స ల హ ాల కు థాంక స .	0.6368
वह छ ह म ही ने पहले ही जेल से छ ू टा था और पता है किस लिए स जा हुई थी ?	ఆ రు నె లల కరి తం జె లు నుండి వి డు దల య యా డు , ఎందుకు వెళళ ా డో తెలుసా ?	0.6653
कि जो इंसान दो ष ी दिख ता है , शायद उस ी ने सच में वह अ परा ध किया है ,	నే రం నిజంగా నే చేసి ఉండ ొ చచు అనన అ ంచ నా నీకు న చచ దని నాకు తెలుసు ,	0.6429
याद है जब हम पहली बार मिले थे ,	మనం మొద ట కలి సిన పపుడు నీ అభి రు చి	0.5529
यह जयादा ही जा ह िर होता अगर मैंने कहा होता कि वही अ परा धी है .	వా డే దో షి అని నేను వెంట నే చెపపే సతే విషయం వెంట నే బయట పడి పో యే ది .	0.5164
मैं इतना वय सत हूँ , कि मुझे लं च ब रे क में क सर त करनी पड ती है .	నేను చాలా బీ జి , అందుకే భ ో జ నం సమయం లో వయా యా మ ం చేయ ాల సి వ సతుంది .	0.6567
मेरा मतलब , यह बेहद ख तर ना क है .	అంటే , అది చాలా పరమా ద కర మెన పని .	0.5830
- कि यह आ ध या त मि क था . - चलो भी .	- ఆ ధ యా త మి క మెన ఫీ లి ంగ . - పలీజ .	0.6132
उनहें निय ंत रि त करना सि खा ता हूँ , निय ं तर ण खो ना नहीं सि खा ता .	వాటి ని క ంట రో ల చేయడం తపప వాటి అ దు పు లోకి వీ ళళు వెళల కుండా .	0.5900
और तुमहें किस चीज का डर है ?	మరి నీకు భ యం పు టటి ంచే ది ఏ ది ?	0.5358
तो फिर मेरे साथ डि नर पर चलो .	అయితే నాతో కలిసి భ ో జ నం చె య .	0.5299
मैंने तुमसे कहा था , अब मैं चीजें नहीं ज ला ता हूँ , समझ ी ?	చెపపా ను కదా , నేను ఇపపుడు అలా ంటి ప ను లు చేయడం లేదు , సరేనా ?	0.6070
मैंने मान द आया हु स का शा मन के रूप में कुछ समय बि ता या था .	నేను ఒక గ ౌ ర వ నీ య మెన ఆ యు హా స క షా మన గా కొ ననా ళలు గ డి పా ను .	0.6530
डै नर , मुझे दिख नहीं रहा है !	డా న ర , నాకు కనిపి ంచడం లేదు !	0.5833
अन य द वे ष पू रण वय व हार ों को ठीक करने में मा ह िर हैं . "	హి ం స , లె ం గి క వి చ ల నం అలాగే పె రో మే ని యా లాంటి వాటి కి . "	0.6349
अरे , हाँ . जे वि यर की हतया .	ఓహ , అవును . ఆ జే వి య ర హ తయ .	0.6128
पर मैं इस क वि ं टि न डे वे रॉ से बात करना चाहती हूँ .	కానీ నేను ఈ క వె ంటి న డె వర ో అన బ డే వాడి తో మాటలాడ ాలి .	0.6110
अगर गोली चला नी ही है , तो हे ड बो र ड पर चला ओ , समझ े ?	నువవు కాల చే టట టు అయితే ఆ మ ంచ ం చె కక ని కాల చు , సరేనా ?	0.6476
पर मैंने सब कुछ सुन लिया . मैंने क वि ं टि न का पूरा कब ूल ना मा सुना .	కానీ నేను అంతా వి ననాను . క వె ంటి న అంతా ఒ పపు కో వడం కూడా వి ననాను .	0.6077
विश वास करो , मुझे पता है .	ననను నమ ము , నాకు తెలుసు .	0.5515
चु स की या छो टी सी चु स की ?	ఒక గు ట కా లేక చినన గు ట కా ?	0.5536
सुनो , मैं तुमहारे साथ वे लो सा इ किल पर स वार हूँ गी .	చూడు , నేను నీ తో కలిసి ఆ వె లో సె కి ల మీద వ సతాను .	0.6351
मुझे भी लगा था कि मैं भी बेहतर पुलिस वाली हूँ .	నేను కూడా ఇంత కంటే మంచి పోలీసు ని అనే అను కుననాను .	0.5576
नहीं , नहीं , नहीं . हम अ ँ ग ूठ े नहीं तो ड ेंगे , समझ े ?	వదదు . వదదు . వే ళళు వి రి చే పని ఏం చేయ కు , సరేనా ?	0.5556
इं जन छ ह जवाब दे रहा है .	ఆర వ ఇం జి న సప ంది సతోంది .	0.5929
सच कहूँ तो , मुझे लगा नहीं था कि यह सं भ व है .	నిజం చెపప ాల ంటే , ఇలా అవు తు ందని నేను అనుకో లేదు .	0.5887
ले नर ड वर जैसा आदमी तुम जैसे सा इ के ट रि सट का ख र चा कैसे वह न कर सकता है ?	లెన ర డ వు ర లాంటి వాడు నీ లాంటి ఒక సె కి యా ట రి సట ని ఎలా పెటటు కుననా డు ?	0.6465
पर , इस बार , मैं जयादा ही ग हरा ई में च ली गई .	అవును , కానీ ఈ సారి , నేను మ రీ దగగర కు వెళళ ా ను .	0.6177
हाँ . अब मेरी बा री है .	అవును . ఇపపుడు నా వం తు .	0.5377
. . . गर म मो म पसंद है .	. . . మెన ం అంటే ఇషటం .	0.6095
हम कहाँ से शुरू करें ?	మనం ఎవరి తో మొద లె టట ాలి ?	0.5342
धनयवाद . मैं उसके लिए काफी मे ह न त करती हूँ .	థాంక స . అలా న టి ంచ డానికి నేను చాలా కష ట పడ తాను .	0.5722
कया ? तुम चाहते हो मैं तुमहें छा ती पर मार ूँ ?	ఏంటి ? నువవు ననను నీ ర ొ మ ము మీద కొ టట మ ంటా వా ?	0.6087
कया हमने अभी एक ही बात सु नी ? जिस तरह से उसने मुझे बद सू रत कहा ?	మని దద రం వి నన ది ఒకక టే విషయ మా ? వాడు ననను ఛ ండ ాల మెన వాడు అననా డు కదా ?	0.6340
नहीं , वह कल पि त वि ज ञ ा न की भा ष ा बोल रहा है .	లేదు , వాడు సట ీ మ ప ంక పద జ ాల ం వాడు తుననా డు .	0.6418
कयोंकि मैं चाहती हूँ कि तुम यह सप ष ट समझ जाओ कि कया होता है	నువవు నీ మన సు మాట వి ని , మె ద డు చెపపే ది విన కుండా క ళళు మూ సుకో పో తే	0.5785
धत . मैं तुमहें बचा ल ूँगी , पार ट नर . मैं तुमहें बचा ल ूँगी !	అయ యో . నేను నినను తీసు కె ళ తాను , పార టన ర . నీకు నేను ఉననాను !	0.5751
पर मु द दा वह नहीं है . बस इसका अपने फै स ले पर अ सर मत होने देना .	కానీ విషయం అది కాదు . దాని వలల నీ నిరణ యం పర భా వి తం కా కూడదు .	0.6301
धत . धत . माफ करना , मैंने खुद को ज ला लिया .	ఛ . అ యయ ొ . కషమి ంచాలి , నేను కాల చు కుననాను .	0.6466
तुम जयादा ही करी ब जा रही हो , डै नर . और ले नर ड के हाथ ों की तरह ,	నువవు మ రీ దగగర గా వెళ తుననావు , డా న ర . అలాగే లెన ర డ చే తు లలా గే ,	0.6610
