Hindi	Telugu	Similarity_Score
पह ला खिला डी हें क रॉ जर स	మొదటి ప లే య ర హె ంక రా జర స	0.5233
लो , हें क . आज मा कर देखो .	ఒక సారి ఆ డి చూడు , హె ంక .	0.5972
मि र रस ॉ फ ट दुनिया भर में सभी प ले ट फ ॉर म पर सभी अधि कार ों को निय ंत रि त करता है .	పరపంచ వయా ప తంగా , అనని ప లా ట ఫా మస లో కూడా హ కకు ల ననీ మి ర ర ర సా ఫ ట దగ గరే ఉననాయి .	0.6846
टे ट रिस	టె ట రి స	0.4777
कया यह मजाक है ?	జో క చేసతుననా వా ?	0.4628
लेकिन , ए डी , यह अलग है .	కానీ , ఎడ డీ , ఈ ఆట వే రు .	0.6510
मुझे पता है .	నాకు తెలుసు .	0.4495
म ॉ स को	మా స కో	0.3734
इसमें कया लि खा है ?	అందు లో ఏం రా సు ంది ?	0.5051
च ौ था खिला डी	నా ల గ వ ప లే య ర	0.3539
और वह डि सट री ब यू शन संभाल ता है ?	పం పి ణ ీ ని ఆ య నే చూ సు కుంటుననా డా ?	0.6040
आप से मिल कर खुशी हुई , कै वि न .	నినను కల వడం బాగుంది , కె విన .	0.5871
कै वि न .	కె విన .	0.4480
नि न ट ें डो	ని ంట ె ండ ో	0.3825
रॉ जर स ?	రా జర స ?	0.5069
नहीं , नहीं .	లేదు , లేదు .	0.3462
यह कौन है ?	ఎవరు ఇ తను ?	0.4033
टे ट रिस	టె ట రి స	0.4777
नहीं .	లేదు .	0.3291
{ \ an8 } कं सो ल	{ \ an8 } క నస ో ల	0.6734
टो क यो	టో క యో	0.3811
सुनो .	చూడు .	0.4116
मा या ?	మా యా ?	0.3249
इस समय हम बहुत ब डे नि कम मे हैं !	మనం ఇపపుడు ది వాళ ా తీ య బో తుననాం !	0.5570
म ॉ स को	మా స కో	0.3734
मैंने यही सोचा था .	నే న ూ అదే అను కుననా .	0.4871
हमने आर के ड के अधि कार खो दि ए हैं .	ఆర కే డ హ కకు లు మన చేయి దా టి పోయా యి .	0.6176
ह िर ो - सान ,	హ ీ రో - శా న ,	0.4612
टे ट रिस	టె ట రి స	0.4777
