Hindi	Telugu	Similarity_Score
सत या ना श .	అబబా . ఛ .	0.3859
डै डी	నానన	0.2467
नहीं .	వదదు .	0.3902
धनयवाद , नहीं .	థ యా ంక స , వదదు .	0.4792
नहीं . तुम मेरी बात सुनो .	లేదు , లేదు . మీరు వి నా లి .	0.5382
- क हो , " हैलो . " - कया ?	- " హలో " అన ండి . - ఏంటి ?	0.5914
पै . . .	పా . . .	0.8835
उस समय से जब एक सा मान य रात से बदल कर हा ला त यहाँ तक पहुँच गए . बैठ जा इए .	ఒక సా ధా రణ రాతరి , ఇలా మార డానికి ఎకకడ బీ జ ం పడి ందో , అ కకడి నుండి చెపప ండి .	0.6156
- हमारा . - कया ?	- మన కి . - ఏంటి ?	0.5406
हे भगवान , कया तुम . . .	బా బో య , కా సత నువవు . . .	0.6518
धनयवाद .	థ యా ంక స .	0.2832
- देखो , अगर मैं तुमहारी जगह होता , मैं . . . - तुम नहीं हो .	- చూడు , నేనే అయితే ఏం చేసతా నో . . . - కానీ నువవు కాదు కదా .	0.6659
तुम मजाक कर रहे हो .	జో క చేసతుననా వు కదా .	0.5150
धनयवाद .	థ యా ంక స .	0.2832
- नहीं . - नहीं ?	- లేదు . - లేదా ?	0.4423
तुम कया छु पा रहे हो ? तुम आ ख िर हो कौन ?	ఏం దా సతుననా వు నువవు ? ఎవరు నువవు అసలు ?	0.5388
तुम ठीक हो ?	అంతా ఓ కే నా ?	0.4141
- सबसे पहले यही किया जाता है . - उसकी ना डी नहीं चल रही थी .	- నువవు చేయ ాల సిన మొదటి ప నే అది . - అపపుడు అతనికి ప లస లేదు .	0.6003
- और फिर भी . . . - और फिर भी , तुमने नहीं पूछ ा .	- అయి నా కానీ . . . - అయి నా కానీ , నువవు అడ గ లేదు .	0.6642
तुम ऐसी स थि ति में पहुँच ते हो	ఒక సీ న లోకి పర వే శి ంచిన పపుడు ,	0.5471
जरू री नहीं उससे कुछ होगा .	అదే మీ ప క కా పరి ష కా రం కాదు .	0.5402
- तुमहें ये खुद वापस कर आने चाहिए . - नहीं .	- వాటి ని నువవే తీసుకు వెళలి ఇవ వాలి . - లేదు .	0.5960
तो , जिस ने भी वह खे प चु रा ई , उसने मेरी मु व क किल को फु सला ने के लिए	కాబటటి , ఈ పని ఎవర ె తే చేశా రో , నా కల యి ంట ని ము గ గు లోకి ది ంచ డానికి	0.6774
- तुम दोनों कब से . . . - जैसा सोच रहे हो , वै सा नहीं है .	- మీ ఇదద రూ ఎంత కాల ం నుండి . . . - నువవు అను కునన టటు కాదు .	0.6866
कया वा कई कोई यु व क जयादा डर ग लेकर तुमहारी डि क की में मर रहा है ? अगर हाँ तो यह . . .	డి కక ీ లో నిజంగా నే డ రగ స ఎకకువ తీసుకు నన కు ర రా డు ఉననా డా ? ఒక వే ళ ఉంటే , అపపుడు ఇది . . .	0.6837
- तो , इस जगह में . . . - जिस से दिल की ध ड क न इतनी धी रे हो जाती है कि . . .	- అయితే , ఎంత మంది . . . - గు ండ ె కొ టటు కొ నే వే గం ఎంత గా త గ గి పో తు ంద ంటే . . .	0.7373
कया तुमहें पता था ?	నీకు ము ందే తెలుసా ?	0.4406
भाग ना बंद करो !	ప రు గె తత డం ఆ పు !	0.5254
नहीं !	వదదు !	0.3902
हर दो घं टे बाद दो बडी गो लिया ँ ले नी हैं	పరతి రెండు గంట లకు పెదద వి రెండు ఇవ వాలి ,	0.5783
- यह कया है ? - क पडे पह नो .	- ఏంటి ది ? - బ టట లు వే సుకో .	0.6381
एक कम रा चाहिए .	ఒక గ ది కావాలి .	0.4083
मुझे नहीं पता आप कया बात कर रहे हो .	మీ రే ం మాటలాడు తుననా రో అరథం కా వ ట లేదు .	0.5569
कयोंकि तुम वह तरी का चु रा लो गे .	చూపి సతే నువవు కా పీ కొ టటే సతా వు .	0.5356
लै गरे न ज ?	లె గరే ం జ ?	0.5563
पहले उस बारे में सोच ो .	ఒక సారి ఆలోచి ంచి చెపపు .	0.4974
पर तब नहीं अगर आपको इसकी समझ हो . तो , मैं ये वि ष य पढ रहा हूँ	అందు కని సి సట మ గురించి తెలుసు కో వాలని ఈ క లా సు లు తీసు కుంటుననా .	0.5626
