Hindi	Telugu	Similarity_Score
यह जान ने से पहले कि तुम कि तने बेवकूफ थे , तुम म रे पडे हो गे .	నువవు ఎంత మూ ర ఖ ు డి వో తెలుసు కునే లో పు నువవు చచ చి ఊ రు కుంటా వు .	0.5898
कमी ना कहीं का .	వీ డు చెతత గా డు .	0.4627
अरे .	హేయ .	0.3519
सब ठीक है , यार .	అంతా బాగుంది లే .	0.4273
हमें काम पर लग ना चाहिए .	మనం పని లో పడి తే మంచిది .	0.4645
कार ों पर करो म फि ल म लगी हुई थी .	కార లని కర ొ మా టి క టి ంట తో దా చా రు .	0.5371
तुमहें कितनी जो र से सिर पर चो ट लगी ?	అయితే , నీ తల కి ఎంత గ టటి గా త గి లి ంది ?	0.5488
मैं वह नहीं कर सकती . मैं उनके लिए जि म मे दार हूँ .	నే న లా చేయ కూడ దని తెలుసు గా . అ ధి కార కర మ ం మీ ర కూడదు .	0.6203
शे रि फ .	ష ె రి ఫ .	0.4995
उस पर का बू पा ने की कोशिश करो .	దా నన ె లా అ దు పు చేయ ాలో నే రచు కో .	0.5616
तुम एक माम ू ली इंसान हो , है न ?	నువవు ఒక మా ము లు మనిషి వి , కదా ?	0.5857
अचछा , यहाँ हर कोई हम से इतना दूर कैसे रह ता है ?	ఇకకడ ఉనన అందరూ మన నుండి ఎందుకు ద ూర ంగా ఉననారు ?	0.5732
जब तक उसे हा सि ल न कर ले , मार ने की कोशिश करे गी .	తిరిగి ఇ చ చే ంత దా కా ననను చం ప ాలని చూ సతూ ఉంటుంది .	0.6197
ऐसा हो सकता है कि ए ली टा ने सट ब में डे टा डा उन लो ड किया हो ?	ఎ లీ టా ఇ కకడి డే టా ను సట బ లోకి డ వు న లో డ చేసే ఆ స కా రం ఉ ంద ంటా వా ?	0.6246
आप कया ल ेंगे ?	అద ె లా ఉండాలి ?	0.4525
मैं तुमहें नहीं जानता , जान .	మిమమలని కల వడం ఇదే తొ లి సారి .	0.4838
माफ कीजिए , हम बंद हैं	కషమి ంచండి మే ం మూ సే శా ం	0.3982
छु री लेकर पु रा ने तरी के का ऑ परे शन ?	ఒక క తతి తో పా త కాల పు శ స తర చి కి త సా ?	0.6092
धत !	ఛ త !	0.3918
मैं यह सोच रहा हूँ कि ,	నేను ఏ మను కుంటుననా న ంటే ,	0.4762
अगर कोई मेरे लिए श री र का बं दो बस त करता ,	నాకు అకకడ ఎవరెనా శ రీ రా నని త యా రు చే సతే ,	0.6004
यकीन मान ो .	ననను నమ ము .	0.4190
उसके बाद हम दोबारा बात करेंगे .	మనం దీని పె మళళీ మాటలాడు కు ందా ం .	0.4755
मुझे बहुत चिंता है . इसलिए मुझे वापस वहाँ जाना होगा ,	నేను చాలా చి ంతి సతుననా . అందుకే నేను అ కకడికి వెళళ ాలి ,	0.5677
समझ नहीं रहे कि उसने ड ंक कयों मा रा जब दोनों ड ू ब रहे थे .	రెండ ూ ము ను గు తు ండ గా , తే లె ందుకు కు టటి ందో క పప కు అరథం కాదు .	0.5834
इसलिए मैं कहना नहीं चाहता .	అందుకే దానని అను సరి ంచ లేదు .	0.4852
इसे घ टा या या बढ ा या जा सकता है . एक से लेकर दस तक . यह चार था .	దీ నని సర దు బా టు చేయ వచచు . 1 నుండి 1 0 దా కా . మీకు నాలు గు ఇ చచా ం .	0.6447
गो श त को नर म करने का सही तरी का मा लू म है ?	మా ం సా నని మ ృ దు వు చేసే ఉ తత మ ప దధ తి తెలుసా ?	0.6361
और जब सही न म कीन पा नी का हि सा ब मिल जाए ,	మనం స రెన ఉ పపు నీ టి ని త యా రు చేసిన పపుడు ,	0.5800
अब . . .	ఇక . . .	0.8835
नहीं , उससे फा य दा नहीं हो रहा . फिर भी आ ते हैं .	లేదు , అవి పని చేయ వు . ఆ జ ఞ ా ప క ాలు అలా నే ఉననాయి .	0.6256
मैंने की मत चुका ई है	భా రీ మూ ల యం చె లలి ంచా	0.5208
धत .	ఛ త .	0.3918
सही - सही जानकारी हो नी चाहिए .	లకష యం , వెళళ ే దారు ల గురించి .	0.4844
मैं तुमसे वही कह रहा हूँ ,	నే న ూ నీకు అదే చెప తుననాను ,	0.5119
शे रि फ जै कम न .	ష ె రి ఫ జా క మన .	0.6229
