Hindi	Telugu	Similarity_Score
सु बह नी ंद से जा ग ने से लेकर रात को सो ने तक .	నేను ని దర లే చి ంది మొద లు రాతరి పడు కునే వర కూ .	0.6314
मि तर देश के वा यु सै निक जैसे सा र ज ें ट वि लि य म क वि न , जो स फ ल ता पू र व क पै रा श ू ट लेकर ज मी न पर उ त रा था ,	పా రా చూ ట సా య ంతో వి జ య వ ంత ంగా నే ల మీద కి ది గి న సా ర జె ంట వి లి యం క విన లాంటి మి తర ప కష ాల వా యు సె ని కు లకు	0.7276
फ लै ंड रस , बे ल जि य म	ఫ లా ండ రస , బె ల జి యం	0.6536
तुम वहाँ बैठ ो . मैं अभी आई .	ఇకకడ కూ రచ ో . ఇ పపుడే వ సతాను .	0.5859
वह कौन है ?	అతను ఎవరు ?	0.3643
सा र ज ें ट वि लि य म क वि न .	సా ర జె ంట వి లి యం క విన .	0.5678
कर मा ंक सं खया 6 3 9 1 4 7 7 .	సీ రి య ల నె ం బర 6 3 9 1 4 7 7 .	0.7958
रे डियो ऑ परे टर .	రే డి యో ఆ పరే టర .	0.5455
कया तुमहें बे सब ॉल पसंद है ?	నీకు బ ే స బ ాల అంటే ఇష ట మే నా ?	0.5607
मेरे सा मा जि क अ ध य यन के फा इन ल के बाद से मुझसे इतनी क डी पूछ ता छ नहीं की गई थी .	నా చినన పపుడు సో ష ల సట డీ స ఫె న ల తరువాత ఇంత క ఠ ి న మెన పర ీ కష ని ఎపపుడూ ఎదు ర కో లేదు .	0.6998
नहीं !	వదదు !	0.3902
तुमने ऐसा कयों किया ?	అలా ఎందుకు చం పే శా వు ?	0.5033
डॉ न लड एल . मिल र की कि ता ब पर आ धा रि त	డ ొ నా ల డ ఎ ల మి లల ర రా సిన న వల ఆ ధా ర ంగా	0.5837
मे जर .	మే జర .	0.5891
धनयवाद , ज ॉन .	థాంక యూ , జా న .	0.4401
- चार ली रॉ बर ट सन . - वह कया करने की कोशिश कर रहा है ?	- చా ర లీ రా బర ట స న . - అతను ఏం చేయ ాలని పరయతని సతుననా డు ?	0.6436
मैं मो हि त हूँ और मुझे ख ट क रहा है .	నేను హా ట గా ఉననా ఇంకా గ మని సతుననా .	0.5704
मे जर क ले वे न .	మే జర క లె వెన .	0.6004
रो जे न थ ॉल . नै श .	రో సె న థ ాల . నా ష .	0.6663
- स पी ज . सर . - स पी ज .	- స పీ స . సర . - స పీ స .	0.6366
- ठीक है . - तुम लड के . . .	- సరే . - మీ కు ర రా ళలు . . .	0.7189
- व की ल था , सर . - व की ल ?	- లా య ర ని , సర . - లా య ర ?	0.6290
आप हमारे अ ंड र वि यर पह न कर उडा न भर ने की बात कर रहे हैं , सर ?	మేము మా స కీ వీ దు సతు లలో పర యా ణి ంచడం గురించి అ ంటుననా రా , సర ?	0.6294
हे ले न .	హె లెన .	0.4891
धनयवाद , मे जर . मे जर .	థాంక యూ , మే జర . మే జర .	0.5866
कर न ल हार डि ंग .	కల న ల హా ర డి ంగ .	0.5784
- नहीं . - मेरी जानकारी में नहीं , सर .	- లేదు . - నాకు తెలి సిన ంత లో లేదు , సర .	0.5594
- मुझे आपका अं दा ज पसंद आया , सर . - जी , सर .	- మీ సట యి ల నాకు న చచి ంది , సర . - అవును , సర .	0.7051
सि ंग ल म हिला एँ .	ఒ ంట రి ఆడ వాళలు .	0.5154
तुम ना च ना चाहते हो ?	నువవు డా నస చేసతా వా ?	0.5203
मैं मार ज को बता द ूँगा , बक .	నేను మార జ కి చెబు తాను , బ క .	0.5692
चु प रहो .	ని శ శ బ ద ం .	0.4590
चलो भी . यह जरू री नहीं है .	ఇలా చూడు . ఇది అవసరం లేదు .	0.5911
यहाँ . . .	ఇకకడ . . .	0.6403
चि य . . . चि यर स .	చ ీ రస . . . చ ీ రస .	0.6126
- चि यर स . हाँ . - चि यर स .	- చ ీ రస . అవును . - చ ీ రస .	0.6153
- अगर तुम ख री द ने के बारे में सोच रहे होते . . . - अ ह - ह ँ .	- మీరు గ నుక డ రి ంక కొ నివ వాలి అను కు ంటే . . . - ఆ హ . . . హా .	0.7575
इतनी दूर है मर स मि थ तक आने की जरूरत नहीं थी .	ఇంత దూ రం హా మర స మి త కి రా వాల సిన అవసరం లేదు .	0.6360
कया मैं वहाँ हूँ ?	నేను ఉనన ది ఇ కక డా ?	0.4303
दूसरे छो र पर . मौ त के लिए मजा किया श बद है .	ఇవ త లి వెపు . వి చి తర ంగా దా న నే మ రణ ం అంటా రు .	0.6500
काफी क ठ ि न नौ करी है .	ఈ ఉద యో గ మే అలా ంటి ది .	0.5074
मेरा मान ना है कि हमें उ तना ही नि र द य ी और क ठ ो र होना चाहिए जि तना कि वे मेरे लोगों के परति थे .	నా దే శ పర జ ల ప టల వాళలు ఎంత నిర దయ గా , ఎంత క రూ ర ంగా వయ వ హ రి ంచా రో మనం కూడా అలాగే చేయ ాలని నమ ము తాను .	0.6731
नहीं .	వదదు .	0.3902
- तुमहें मेरी याद आई ? - इन चार घ ंट ों में जब हम दूर थे ?	- ననను మి స అవు తుననా వా ? - మనం ద ూర మెన ఈ నాలు గు గంట లలో నా ?	0.6415
तुम आ खि री सु ंदर चे हरा हो सकती हो जो मैं कभी देख ूँगा .	నేను ఎ పపటి కీ చూ సే చి టట చి వరి అంద మెన ముఖ ం నీ దే కా వచచు .	0.6173
नहीं .	లేదు .	0.3291
नहीं .	లేదు .	0.3291
मैं यह कर सकता हूँ , सर .	నేను ఈ పని చేయ గలను , సర .	0.5621
आ वर बे बी	అ వర బ ే బీ	0.5123
हाँ .	అ దీ .	0.3271
हाँ !	అ దీ !	0.3271
पै रिस , फ रा ंस	పా రి స , ఫ రా నస	0.5274
न न हा बे बी फ े स .	చినన బ ే బీ ఫ ే స .	0.5736
वे बह रे हैं . वे आपको सुन नहीं सकते हैं .	వాళలు చె వి టి వాళలు . మీ మాట లు వి ని పి ంచ వు .	0.5583
भाग ना बंद करो .	పరి గె తత డం ఆ పు .	0.5037
हमें काफी लं बा स फर त य करना है .	మనం ఇంకా చాలా దూ రం పర యా ణి ంచాలి .	0.5684
तुम कहाँ हो , बक ?	ఎకకడ ఉననావు , బ క ?	0.5277
- सर . - कुछ नए सै निक .	- సర . - కొనని భ ర తీ లు .	0.6688
सर .	సర .	0.6010
ले फ टि न ें ट कर ॉ सब ी ?	లె ఫ టె నె ంట క రో స బీ ?	0.5709
कम ब खत ब रे मे न .	ఆ చెతత బ రె మన .	0.5808
बक .	బ క .	0.3918
हे ले न .	హె లెన .	0.4891
आज वहाँ ऊपर स थि ति काफी ख रा ब थी .	ఈ రోజు అకకడ చాలా ఘ ో రం జరిగింది .	0.5371
तुमहें कहीं जाना है ?	ఇం కొ క చో ట కి వెళల ాలా ?	0.4689
पया रे आदमी .	మంచి మనిషి .	0.4095
मुझे एक अ ख बार दो गे ?	వాటి లో ఒకటి ఇ సతా వా ?	0.5354
ती स बॉ म बर मा रे गए ना जी यू बो ट बे स त बा ह हुआ	3 0 బా ం బర లు గ లల ం తు నా జీ యూ బో ట సథా వ రం ధ వం సం	0.6992
उस क थी डर ल में कई लोग होंगे .	కే థ డ రి ల లో చాలా మంది ఉంటా రు .	0.5438
