Hindi	Telugu	Similarity_Score
कॉ फी .	కా ఫీ .	0.3419
कॉ फी .	కా ఫీ .	0.3419
पी कर गाडी चला ने के जु र म में जब त हो गया .	తా గి న డు పు తుననా నని లె సె నస తీ సే సు కుననా రు .	0.6042
कि कैसे वह अपनी बंद ूक अपने मु ँ ह में रख कर अपना भे जा उडा ल ेंगे .	నో ట లో తు పా కీ పెటటు కొ ని పే ల చేసుకో వడం , తల పు చచ కా య లా ప గి లి పో వడం .	0.6284
किस लिए ?	ఎందుకు ?	0.3968
वह सर बि यन म हिला याद है ? बरा न का .	ఆ సర బి యా మ హి ళ గురతు ందా ? బ రా ం కా .	0.6169
रे .	రే .	0.6010
पर मुझे डर लग रहा है कहीं मुझे जयादा झ ट का न लगे .	కానీ అది నా పి ర ర లకు వాత లు పె డు తు ందని భయ ంగా ఉంది .	0.6141
यही जी वन का निय म है .	అది జరిగి తీ రు తుంది .	0.4774
कुछ नहीं .	ఏం లేదు లే .	0.3560
और श व पर ले प लगा ने की पे श गी र कम दी थी पर उनहोंने कभी ब का या र कम नहीं दी .	శ వా నని భ దర పర చ డానికి డి పా జి ట కూడా ఇ చచా రు కానీ మి గ తా అమ ౌ ంట మా తరం ఇవవ లేదు .	0.6530
- मुझे पता है इस मुशकिल पल में यह . . . - कितनी र कम है ?	- ఈ సమయం లో అడ గ డం భా వ యం కా దని తెలుసు . . . - ఎంత క టట ాలి ?	0.7176
आप से मिल कर अचछा लगा , सर . मुझे आपके पिता के गु जर जाने का अफ सो स है .	మిమమలని కల వడం బాగుంది , సర . మీ నానన గా రు చని పోయి న ందుకు చి ంతి సతుననా .	0.6423
आपके पिता के गु जर जाने का मुझे अफ सो स है .	మీ నానన గా రు చని పోయి న ందుకు చి ంతి సతుననాను .	0.5842
बढिया . इस बीच ,	మంచిది . ఈ లో పు ,	0.4660
धनयवाद .	థ యా ంక స .	0.2832
जिस बात से मैं अपने अग ले सवाल पर आता हूँ .	కాబటటి మిమమలని ఓ విషయం అడ గ ాలను కుంటుననా ను .	0.5412
मुझे आपके पिता के गु जर जाने का अफ सो स है .	మీ నానన గా రు చని పోయి న ందుకు చి ంతి సతుననాను .	0.5846
किस लिए ?	దే నికి ?	0.3142
- नहीं . . . - नहीं . ऐसा करने की इ जा ज त है भी ?	- లేదు . . . - ఆ గా గు . దానని అసలు అను మ తి సతా రా ?	0.7085
हैलो . हम है रिस के बे टे हैं .	హాయ . మేము , హ యా రి స కొ డు కు ల ం .	0.5953
- लू स िया . - मैं रे म ंड हूँ .	- లూ షి యా . - నా పేరు రే మ ండ .	0.6852
- यह . . . - रे म ंड और रे .	- ఇ తను . . . - రే మ ండ , రే .	0.7206
