Hindi	Telugu	Similarity_Score
पै निक	పా నిక	0.4095
गो प नी य आद त ें .	ర హ సయ అ ల వా టలు .	0.6148
कि रा या बाकी है .	అ దద ె బా కీ ఉంది .	0.4272
नहीं .	లేదు .	0.3291
कया फा य दा ? पता है जी त नहीं पा ओ गी .	ఏం ఉ ప యో గం ? గె లవ లే వని నీకు తెలుసు .	0.6300
वे खुद को बचा ते हैं , इस खेल को बचा ते हैं , बस .	త మని తా ము కా పా డు కు ంట ూ , దీ నని కా పా డ తారు , అంతే .	0.6136
गर मि यों के लिए कोई काम नहीं बचा .	వే స వి కి అనని ఖ ా ళ ీ లు భ ర తీ అయ యా యి .	0.5392
हाँ , मैंने हर जगह कोशिश की .	హా , అనని చో ట లా పరయతని ంచా ను .	0.5290
- हेदर . - हेदर .	- హే థర . - హే థర .	0.5227
कुछ खास काम नहीं है . कुछ झ ों प डि यों को र ंग ना है .	ఆ కర ష ణ ీ య మెన ది కాదు . మా కొనని ష ె డ లకు రం గు వే య ాలి .	0.6628
वह अब भी तुमहारी पक की दोसत है .	త ని పపటి కీ నీ పరా ణ సనే హి తు రాల ే .	0.4900
क यो कि मेरे पास टि श यू नहीं हैं .	ఎందుకంటే నా దగగర టి ష యూ లు లేవు .	0.5977
तुम बस . . . हमें थोडा समय दो गे ?	నువవు . . . మాకు ఒక కష ణం ఇ సతా వా ?	0.6911
मुझे उसका मौ का नहीं मिला .	నాకు చెపపే అవకా శం రాల ేదు .	0.5303
तुम इसे जी तो गी कैसे ?	ఇది మనం ఎలా గె ల వాలి ?	0.5519
सा र ज ें ट लै ंग ली ,	సా ర టె ంట లా ంగ లీ ,	0.5411
खेल रु के गा नहीं .	ఆట కొ న సా గు తుంది .	0.5574
ए . आँख ों को उनकी जगह पर रह ने दो .	హే . నీ చూ పు పెటట ాల సిన చో ట పెటటు .	0.5959
वे सभी खिला डि यों को समझ रहे हैं .	వాళళు ఆట గా ళళ ంద రి నీ పరి శ ీ లి సతారు .	0.5581
सा त वी ं में , ग ंद ी फि ल में देख ने यहाँ आता था .	ఏ డో తర గ తి లో ఇకకడికి పో ర న చూడ టానికి వచచా ను .	0.6085
पता नहीं . जरा देख ूँ .	తెలియదు . ననను చూడ నీ .	0.5519
पै निक जी तने से कुछ ठीक नहीं हुआ .	పా ని కను గె ల వడం ఏ దీ బాగు చేయ లేదు .	0.5926
रात ों - रात बन गए एक भ ित ति चि तर ण को लेकर शि का य त आई है .	ఇ పపుడే రాత రం తా ఏ వో గరా ఫి టీ గ ీ సిన టటు ఫి ర యా దు అ ంది ంది .	0.6144
हाँ , मि स वि लि य मस .	సరే , మి స వి లి య మస .	0.5060
टा य ल र य ंग की कया संभा वना है ?	మరి టె ల ర యం గ కు అవకా శ ాలు ఎంత ?	0.6339
फा र मा .	ఫా ర మా .	0.3947
भूल भ ु लै या हैं और बं जर भ ू मि में गिर ना है .	చ కర వయ ూ హ ాలు , ఇంకా అడ వి లో వదిలే య డం ఉంటా యి .	0.6639
आ सान है .	సు ల భ ంగా .	0.4559
सि वा य डॉज मे सन के , जि से 2 5 अं क फा लत ू मिले हैं .	కానీ డా డజ మే స న కు తపప , అతనికి అద న ంగా 2 5 వ సతా యి .	0.6913
आप जि तने धी मे होंगे , आपके उ तने अं क घट ेंगे .	ఎంత నె మమ ది గా వెళ ి తే , అనని పా యి ంట లు పో తా యి .	0.6248
- ड रू सै ंट िया गो ! - सै ंट िया गो .	- డ రూ శా ంటి యా గో ! - శా ంటి యా గో .	0.6072
सा ला .	అబబా .	0.2667
बस धयान रख ना , ठीक है ?	జా గర తత గా ఉ ండు , సరేనా ?	0.5626
धत तेरी .	అబబా . ఛ .	0.3861
पाँच से क ंड !	ఐ దు సె క నలు !	0.4617
नहीं .	వదదు .	0.3902
ओ ए , नि ल ,	ఏ య , ని ల ,	0.6525
- वह कया कह रहा है ? - चलो , हेदर .	- అతను ఏం అ ంటుననా డు ? - రా , హే థర .	0.6325
उल टी करने ही वाली थी .	వా ంతి వచచి న ంత ప నె ంది .	0.4197
हमें तो लगा कि तुम गए काम से .	ని నన కకడ కో ల పోయా మ నే అను కుననా ం .	0.5440
गु ड ना इट भी नहीं क हो गे ?	క నీ సం శు భ రాతరి తెలు ప వా ?	0.6179
हेदर !	హే థర !	0.3956
उसकी जरूरत नहीं . ठीक है .	అవసరం లేదు . బాగానే ఉంది .	0.5330
- शुकरिया , डॉ क टर . - हाँ .	- ధనయవాదాలు , డా క టర . - ఆ .	0.6553
मे ल नी !	మె లని !	0.4227
मे ल नी .	మె లని .	0.4227
कै र मे ल . . .	కార మె ల . . .	0.7335
मे ल नी .	మె లని .	0.4227
मे ल .	మె ల .	0.6082
चलो . इसे फ ें क दे ता हूँ .	రా . ఇది పా రే సతాను ఇవ వు .	0.6237
तुम बाहर जाओ गी तो अचछा रहे गा .	బయటకు వెళ ి తే నీకు బాగు ంటుంది .	0.5213
ठीक है .	మంచిది .	0.4320
उनहें लगा मु फ त का टॉ य ले ट पे पर और खा ने के बद ले मैं उनकी दे न दार हूँ .	తను ఇ చ చే టా యి లెట పే పర ఇంకా తి ండి కి నేను రు ణ పడ డా నని అను కు ంటు ందే మో .	0.6748
पता है तुम श हर में नए हो , तुमने खेल के बारे में शायद सुना होगा ,	నువ వీ ఊ రికి కొతత గా వచచి న వాడి వని తెలుసు , ఆట గురించి వి నే ఉంటా వు ,	0.6141
पर अगर हम साथ मिल कर खेल ें , तो एक की जी त मतलब दोनों की जी त होगी .	కానీ మనం కలిసి పని చేసతా ం , మన లో ఎవరు గె లి సి నా ఇదద రూ గె లి చి న టటే .	0.5689
निय म याद रख ना . गा ली देना , थ ूक ना , मार ना या रो ना मना है .	నియ మ ాలు గుర తుననా యి గా . తి టట డం , ఊ య డం , కొ టట డం , ఏ డ వడం వదదు .	0.6426
अब जज लोग हमें जानते हैं , तो कया हम पर नजर रख े होंगे ?	మనం ఎవరో నయాయ నిరణ ే త లకు తెలుసు , మన లని గ మని సతు ంటా ర ంటా వా ?	0.6010
मेरा इ रा दा झूठ कह ने का नहीं था . न ही कू द ने का था .	నేను అబ దధ ం చెపప ాలను కో లేదు . అసలు దూ కాల నే అనుకో లేదు .	0.6018
हेदर , तुमहारा समय शुरू होता है , तीन , दो , एक . . .	హే థర , నీ సమయం మొద ల వు తుంది , మూ డు , రెండు , ఒకటి . . .	0.7153
कुछ बच चों को पक डा है जो कल रात पै निक खेल रहे थे .	ని నన రాతరి కొ ంత మంది ని పా నిక ఆ డు తు ండ గా పటటు కుననా ం .	0.6161
पर आप यहाँ मेरे बारे में बात करने नहीं आई ं हैं .	కానీ మీరు ఇకకడ కు నా గురించి మాటలాడ టానికి రాల ేదు .	0.5273
- अ भ ि न य कला स भी है . - अभी गरे जु ए शन पूरा किया है .	- వాటి లో న టన నే ర పు తారు . - నా డి గర ీ ఇ పపుడే అయి ంది .	0.6957
लै ंग ली की मदद से , उस ी को हम हि रा सत में रख पा ए .	ఆమె ను మాతరమే పటటు కో గ లి గా ము , లా ంగ లీ కి ధనయవాదాలు .	0.6034
कयोंकि मेरे बच त खा ते में 1 7 . 2 6 ड ॉलर ब चे हैं .	ఎందుకంటే నా సే వి ంగ స ఖ ా త ాలో 1 7 . 2 6 డ ాల రలు ననా యి .	0.6850
चु नौ ती नंबर दो , व ॉ क द प लै ंक में आपका सवागत है .	స వ ాలు నం బ రు రెండు కు సవా గ తం , అది చె కక పె న డ వడం .	0.7000
देखो , हेदर , मैंने ला इ ब रे री में जो कहा था . . .	చూడు , హే థర , నేను నీ తో లె బర రీ దగగర అనన ది . . .	0.6805
उनसे शुरू करते हैं जिन की जी तने की संभा वना है .	గె లు సతా రని అను కునన ఆట గా ళళ నుండి మొద లు పె డ దాం .	0.6026
- मेरी कि सम त अचछी है . - जयादा क सा लगे तो बता ना .	- అద ృష ట వం తు ర ాలి ని . - బాగా బి గు తు గా ఉంటే చెపపు .	0.6601
समझ ा . दवा ओं की दु कान पर ही काम करना चाहती हो .	అరథ మ యి ంది . నీకు ఫా ర మ సీ లోనే పని చేయ ాలని ఉంది .	0.5638
अगर कोई काम हो तो , अपना रे ज यू मे छोड सकती हो .	ఏ మెన ఖ ా ళ ీ లు ఉంటే చెబు తాను , నీ రె స యూ మే ఇవ వు .	0.6382
- तुमसे मु का ब ला नहीं करना चाहती थी . - पता है .	- నీ తో పో టీ పడ ాలని ఎపపుడూ అనుకో లేదు . - తెలుసు .	0.6275
ड रू , तुमहारा समय शुरू होता है , तीन , दो , एक .	డ రూ , నీ సమయం మొద ల వు తుంది , మూ డు , రెండు , ఒకటి .	0.6887
तो , हमें पता है कि अग ली चु नौ ती कहाँ होगी .	అయితే , తరు వా తి స వ ాలు ఎకకడ ో మనకు తెలి సింది .	0.5870
- वह बात करने को तैयार है . - कौन सै रा मिल र ?	- ఆమె మాటలాడ టానికి సిదధ ం . - సా రా మి లల ర ఎవరు ?	0.6025
- यह भी कि ह द से जयादा . . . - अस ली बात करो .	- అది చాలా క ఠ ి న మెన దని . . . - సూ టి గా చెపపు .	0.6803
और गर मि या ँ शुरू हो चु की हैं , और , अफ सो स ,	వే స వి కాల ం మొద ల యి ంది , ఇంకా దు ర ద ృష ట వ శా తతు ,	0.6515
पता होना चाहिए था कि बेव ज ह नहीं करो गी .	ఏదో కారణ ం ఉ ండు ంటు ందని తెలుసు కో వాల సింది .	0.5263
वही हमेशा वाली बात . आ धे अ कष र गिर भी गए .	వి చి తరం . స గం అ కష ర ాలు ఇ పపటి కే తీ సే శా రు .	0.6215
ये बचचे घ ू म - घ ू म कर सु रा ग ढूँढ रहे हैं ?	ఈ పిలల లు సం కే త ాల కోసం అంతా తి రుగు తా రా ?	0.6099
मुझे छोड , कु त िया . मैंने कुछ नहीं किया .	ననను వ దు లు , పిచచి దా నా . నేనే ం చేయ లేదు .	0.5901
- मेरा इ रा दा . . . - नहीं , कोई बात नहीं .	- నా ఉద దే శ యం అది కాదు . . . - లేదు , చూడు .	0.6928
और पसंद की चु नौ ती से छु ट का रा मिले गा .	కో రు కునన స వ ాలు నుండి తపపు కునే అవకా శం .	0.6207
मेरा यह मतलब नहीं था कि पै निक नहीं जी त सकती . मैं आ मत ौर पर कह रहा था .	నా ఉద దే శ యం పర త యే కి ంచి నువవు పా నిక గె లవ లే వని కాదు . మా మూ లు గా అననా ను .	0.6288
र च ना त म क पर य वे कष क र वी न दर श ं कर शु कल	కరి యే టి వ సూ పర వె జర రా జే శ వర రా వు వల వల	0.6297
बीच के अ कष र ों से एक श बद बन ता है .	ఆ పోయి న అ కష రాల తో ఏదో పద ం వ సతుంది .	0.6622
च ू हों से कितना कि रा या ले ते होंगे ?	వాళళు ఎ లు క లకు ఎంత అ దద ె కు ఇ చచా రు ?	0.5642
हर खिला डी कुछ न कुछ छु पा ता है .	పరతి ప లే య ర ఏదో ఒకటి దా సతు ంటా రు .	0.5356
- मि स नि ल ! - पीछे आओ ! अचछा , चलो .	- మి స ని ల ! - వె ను కకు రా ! సరే , పద .	0.7043
जज लोग खेल की तै या री करते हैं ?	నయాయ నిరణ ే తలు ఆట ను ప లా న చేసతా రా ?	0.5822
नहीं , ऐसा तो नहीं है . बस . . .	లేదు , నిజ ానికి లేదు . నేను . . .	0.5172
ट ै को बे ल में स हा य क मै ने जर हूँ .	టా కో బె లలో అ సి సట ె ంట మే నే జర ను .	0.6765
वह तुमहारी पक की दोसत थी , है न ?	ఆమె నీ పరా ణ సనే హి తు ర ాలు , కదా ?	0.5671
- कितना रू मा नी है . - आज रात . . .	- పర ణ య భా వ న . - లేదు , రాతరి . . .	0.6818
सट ै न , सट ै न ली , सट ै न टन , सट ै न सन और सट ै नर का नंबर और पता निका ले .	ఊ రి లో పరతి సటా న , సటా న లీ , సటా ంట న , సటా నస న ఇంకా సటా న ర పే ర ల వి .	0.6170
फिर तो वह तुमहारी पसंद का हुआ .	అయితే నీకు న చచి ఉంటా డ ను కుంటా .	0.5221
- हर साल . - तुमसे पयार है , जान .	- పరతి ఏ డా ది . - ఐ లవ యూ , బంగా రం .	0.6551
चार ों तरफ से मिल ती हैं . मु फ त में मेरी गो दी में बैठ ती हैं .	నాకు పరే య సు లు అంత టా దొ రు కు తారు . ఉ చి తంగా నా ఒ ళళ ో కూ రచు ంటా రు .	0.6261
तो , गरे जु ए शन पूरा हो चुका है	అయితే , గరా డ యు యే షన అయి పోయింది ,	0.5716
पता यह करना है शुरू कब होगी .	మనం పరా రం భ సమయం తెలుసు కో వాలి .	0.5631
लोग वहाँ दो स ती करने जाते हैं .	జ నం అకకడ ే గా అంద రి నీ కలి సే ది .	0.5875
सत रह साल के , नौ जवा न और पयार में थे , कॉ ले ज जाने वाले थे .	ప ది హే డే ళళ , యు వ తీ యు వ కులు , పరే మ లో ఉననారు , కాల ే జీ కి వెళళ ా రు .	0.6470
सोच ते हो मैं जी त नहीं सकती .	గె లవ లే నని అనుకుంటుననా వు . . .	0.5423
रे ज यू मे की कॉ पी बना ने के बाद मुझे लि ं कस पर छोड दो गे ?	నా రె స యూ మే కా పీ లు తీసు కుననా క , లి ంక స దగగర వది లి పె డ తా వా ?	0.6660
देखो , पै निक बकवास है , हेदर .	చూడు , పా నిక ఒక చెతత , హే థర .	0.6518
पर , अगर और कुछ पता चले तो ,	సరే , నీకు ఇం కే మెనా తెలి సతే ,	0.5034
मार च में आपके दोसत ों से कहा था कि मुझे कुछ नहीं कहना .	మార చి లో మీ సనే హి తు లకు , చెపపే ందుకు ఏం లే దని చెపపా ను .	0.6041
ह वाई अ ड डे पर काम करती हूँ .	విమా నా శ ర యం లో పని చేసతాను .	0.5449
तुम मुझे अचछे लगे . सच में .	నాకు నువవు న చచా వు . అవును .	0.4622
अगर तुम खेल खे लो गी तो नौ करी ढूँढ ने का कया फा य दा ?	నువవు ఆట ఆడ ాలను కునన పపుడు ఉద యో గం కోసం చూడ డం దే నికి ?	0.6201
मैं इसे हाँ समझ ले ती हूँ .	అది అవు నని భా వి సతుననాను .	0.5269
फिर भी य ंग 5 0 - 5 0 लगता है .	నేను యం గ కు 5 0 - 5 0 ఇ సతాను .	0.7194
और एक - दूसरे का आ कल न करने .	అభి పరా య ాలు ఏ ర పర చు కునే ది .	0.5873
तक ली फ या तना व में , शा री रिक ता कत वाली चु नौ त ियाँ .	న ొ పప ి లేదా ఒ తతి డి తో కూ డు కునన శా రీ రక ద ృ ఢ త వ స వాళళు .	0.6369
उसने मेरे फोन का जवाब नहीं दिया . दो दिन हो गए .	తను నా ఫోన ఏ దీ ఎ తత డం లేదు . రెండు రోజు లు అయ యి ంది .	0.6000
- समझ दार इंसान . - धयान से .	- తెలి వెన వాళళు . - జా గర తత .	0.5801
डॉज मे सन . रह स य म य इ ति हा स ,	డా డజ మే స న . ర హ సయ మెన గ తం ,	0.6931
जब मैं ज ं प से कू दा , तब मैं 2 5 अं कों के यो ग य था .	నేను జ ం ప లో 2 5 పా యి ంట లు గె లి చి న పపుడే అర హు డిని .	0.6870
फिर हम पैसे बा ँ ट ल ेंगे .	డబబు ఇదద రం ప ంచు కు ందా ం .	0.4918
मैं काम पर जा रहा हूँ .	నేను ప నికి వెళ ు తుననాను .	0.4452
कहीं दिख नहीं रहा . शायद उसने चि ह न नहीं देखा .	నాకు అతను కనిపి ంచడం లేదు . సం కే తం చూ సుకో లే దే మో .	0.5450
वहाँ तक , पापा . वहाँ तक .	ద ూర ంగా వెళళ ండి . నా ననా .	0.4480
- पर बो अपनी शि फ ट के बाद हमें ले ने आए गा . - बा य .	- బో తన షి ఫ ట అయ యా క మన లని తీసు కె ళ ు తుంది . - బె .	0.7145
आप बेवकू फी भ रे फै स ले ले ते हैं या समझ दा री भ रे .	పిచచి లేదా మంచి అవకా శ ాలను ఎ ం పి క చేసుకో వచచు .	0.5999
ऐ बी कला र क ने लिया था .	కానీ ఆ బీ క లా రక ఆ డి ంది .	0.5079
सब कुछ सा मान य लगता है .	అంతా మా మూ లు గానే ఉంది .	0.4945
वह दु ससा ह सी है , नि डर है , दर द से नहीं डर ता .	నిర లకష య ంగా , నిర భయ ంగా ఉంటా డు , న ొ పప ి కి భయ పడ డు .	0.6319
वह अभी भी रे स में है ! डॉज अभी भी खेल में है !	రే సు లో ఉననాడు ! డా డజ మే స న ఇంకా ఆట లో ఉననాడు !	0.6017
- कम से कम वे कोशिश कर रहे हैं . . . - जज लोग ?	- వాళళు పరయతని సతుననారు . . . - నయాయ నిరణ ే త లా ?	0.6301
वह आ गया . शायद मुझे जाकर हैलो कहना चाहिए .	అతను వచచా డు . బహుశా నేను వెళళి ప ల కరి ంచ ాల ే మో .	0.5748
तुम इतनी समझ दार हो कि उस में नहीं पड ो गी न ?	నువవు అందు లో పాల గొ నే ంత తెలి వెన దాని వి , కదా ?	0.5548
अरे , मैंने पक ड लिया .	హే , నేను పటటు కుంటా ను .	0.5200
हैलो . मा य रा कै ं प बे ल ?	హాయ . మె రా క యా ం ప బె ల వా ?	0.6401
व हीं तो देख सकते हैं .	చూ సే ందుకు ఉనన ది అదే .	0.5261
- ए , तुम ठीक हो ? - हाँ .	- బాగానే ఉననా వా ? - హా .	0.5136
के ट लि न मिल र याद है ? सै रा उसकी छो टी बहन है .	కే ట లి న మి లల ర గురతు ందా ? సా రా ఆమె చె ల లె లు .	0.6441
- बस सा ँ स लो . चलो . - खतम हो जाए तो बता ना .	- ఊ పి రి తీసుకో . వెళళ ు . - అది ము గి శా క చెపపు .	0.6057
जन म दिन की मु बार क बाद देना चाहता हूँ . . .	పు టటి న రోజు శు భా కా ం కష లు తె ల ప ాలి చాలా . . .	0.6180
जी - आर - ए - ए न - ए - आर - वाई .	జీ - ఆర - ఏ - ఎ న - ఏ - ఆర - వె .	0.7879
- अरे , बा प रे . - अचछा .	- అయ యో దేవుడా . - సరే .	0.6154
वह खेल भी जि से बचचे " पै निक " कहते हैं .	పిలల లు " పా నిక " అని పి లి చే ఆట మొద ల యి ంది .	0.6248
मुझे एक फोन कर दो गी ? बडी मे हर बा नी होगी .	నాకు ఫోన చేసతా వా ? అ ందుకు సంతో షి సతాను .	0.5797
ब की ज में कोशिश की ?	బ కీ స లో పరయతని ంచా వా ?	0.4370
मेरी तरफ मत देखो . मुझे सा थी नहीं बन ना .	నా వెపు చూడ కు . నేను స హాయ కు డి గా ఉండ ను .	0.5946
और रे ह ॉल ने 1 7 से क ंड में पार कर लिया ,	ఇంకా రే హ ాల దానని 1 7 సె క న లలో దా టా డు ,	0.6627
मुझे शु भ काम ना एँ दो .	మంచి జరగ ాలను కో ండి .	0.4915
