Hindi	Telugu	Similarity_Score
कै री ऑ न . . . हे ज ट टा !	కా రీ ఆన . . . హే జ టట ా !	0.7045
जी जा जी !	బా వ గా రు !	0.3792
कै री ऑ न . . . कै री ऑ न ज ट टा 2 ! कै री ऑ न . . . कै री ऑ न ज ट टा 2 !	కా రి ఆన . . . కా రీ ఆన జ టట ా 2 ! కా రి ఆన . . . కా రీ ఆన జ టట ా 2 !	0.6602
ज ट टा 2 !	జ టట ా 2 !	0.5210
कै री ऑ न . . . कै री ऑ न ज ट टा !	కా రి ఆన . . . కా రీ ఆన జ టట ా !	0.6349
तुमहारी ग ंद ी जु बा न , चु प रहो .	చెతత మాటలాడ కు , నో రు ము స కు కో .	0.6240
च ुम मी नहीं , घ ूँ घट की चु न नी कह रहा हूँ .	ము దదు కాదు , నేను ము సు గు వే సుకో అననా ను .	0.5640
क ना डा .	కె న డా .	0.3960
वह दिन दूर नहीं है .	ఆ రోజు ద ూర ంగా లేదు .	0.4750
ठीक है , मैं तुमहें बद दु आ दे ता हूँ .	సరే అయితే , నేను నినను శ పి సతుననాను .	0.5402
जब तुम अपनी कम र हिला ती हो	మీ న డు ము ని క ది లి ంచిన పపుడు	0.5157
मैं पूरी रात ना च ूँगी	నేను రాత రం తా ఆ డు తాను	0.5170
सु ंदर लड का ता ली ब जाए और वह उसका साथ	అంద గా ళళు చ పప టలు కొ డి తే ఆమె ఆ డు తుంది	0.5790
सु ंदर लड का ता ली ब जाए और वह उसका साथ	అంద గా ళళు చ పప టలు కొ డి తే ఆమె ఆ డు తుంది	0.5790
सु ंदर लड का ता ली ब जाए और वह उसका साथ	అంద గా ళళు చ పప టలు కొ డి తే ఆమె ఆ డు తుంది	0.5790
इसे कहते हैं " एक दूसरे के लिए ब ने . "	దీ న నే " ఒక రి కోసం ఒక రు పు టట డం " అంటా రు .	0.5796
हमें बस तैयार रहना चाहिए .	మనం కేవలం సిదధ ంగా ఉండాలి .	0.4938
नहीं .	లేదు .	0.3291
ह नी , मैं भ ै ंस की म ूर ति ला या . इसके साथ मैं कया कर ूं ?	హ నీ , నేను బర రె వి గర హా నని తె చచా ను . దాని తో ఏమి చేయ ను ?	0.6280
मैंने कुछ नहीं सुना .	అదే చెపప ాలను కుననాను .	0.4648
यह एक दम सही है .	ఇది చ కక గా ఉంది .	0.5124
अरे , ज स !	హే , జా స !	0.5817
मुझे दू ध निकाल ने दो .	ననను ప ాలు పి ండ నివ వు .	0.4936
शर न , तुमहारे बाद , मी त की बा री है .	శ రణ , నీ తరవాత , ప కక స ందు లో కలు సతా .	0.6319
वैसे , तुमहें कैसा लड का चाहिए , मैडम ?	అనన టలు , ఎ టు వ ంటి అబబా యి కావాలి మీకు ?	0.5826
हाँ .	రె ట .	0.3087
ठीक है , डॉ क टर . धनयवाद .	సరే , డా క టర . ధనయవాదాలు .	0.6031
नहीं .	వదదు .	0.3902
फिर ?	మరి ?	0.3239
मुझे मी त पसंद है .	నేను మీ త న చచి ంది .	0.5608
दूर ह टो .	చా వు పో .	0.4190
हमें मी त को मना ने का तरी का ढूँढ ना होगा .	మీ త ను ఒ పప ి ంచే ందుకు మార గా నని కను గొ నా లి .	0.5669
भगवान की दु आ से , तुमहारा बडा और सु ख ी परिवार है .	దేవు డి దయ తో , మీకు పెదద ఆ రో గ య కర మెన కుటుం బం ఉంది .	0.6339
कै री ऑ न , ज ट टा .	కా రీ ఆన , జ టట ా .	0.5738
कु दर त भी जानती है मुझे तुमसे पयार हो गया है	నేను మీ తో పరే మ లో ఉననాను , పర క ృ తి కూడా తెలుసు	0.5975
जहाँ पा नी गि रा था	ఏ నీ టి లో చి ంది న ది	0.3671
कयों ? कया मैं पा किस ता न से ब म ला या था ?	ఏ ? నేను పా కి సతా న నుండి బా ం బు తె చచా నా ?	0.5947
मैं अब तक ब री हो गया होता .	నేను ఇ పపటి కే బయట పడి ంటా ను .	0.5334
जज साह ब , आप गलत फा इ ल देख रहे हैं .	మి లా ర డ , మీరు తపపు ఫె ల చూ సతుననారు .	0.6089
नीचे रख ी गई फा इ ल देख ि ये .	కరి ంది ఉనన ఫె లను చూడ ండి .	0.5627
पापा . . .	నానన . . .	0.5783
मैं आप से ना राज हूँ .	నీ పె న కో ప ంగా ఉననా .	0.5327
लेकिन तुम अभी भी ठीक नहीं हुए .	కానీ నువవు ఇంకా మంచి గా కాల ేదు .	0.5106
यु गा ं डा ?	యు గా ండా ?	0.4323
झा रख ंड !	ఝ ా ర ఖ ండ !	0.4208
आए ं गे कैसे नहीं ? पा रि वा रिक माम ला है .	ఎందుకు అతను రా డు ? ఇది కుటుం బం విషయం .	0.5798
कया वो बस के पीछे लट क कर आ जाए ं गे ?	అ ం కు ల బ స సు వె నుక వే లా డు తూ వ సతా రా ?	0.6374
चलो चल ते हैं .	వెళ దాం పద ండి .	0.4811
तुमहें मुझसे शादी करनी है या नहीं ?	ననను వి వా హం చేసుకో వాల ను కుంటుననా వా ?	0.5265
- नहीं . - नहीं .	- లేదు . - లేదు .	0.4305
जब वह डर ने लगे गी कि वह ज स को खो दे गी ,	ఆమె జా స ను కో ల పో తుంది అని భయ పడి నపపుడు ,	0.6131
- मी त ! . - हाँ .	- మీ త ! - చెపపు .	0.5984
सर दी ते जी से आ रही है . म ू ंग फ ली बे च ना शुरू करो .	చ లి కాల ం వ సతోంది . వే రు శ ె న గలను అమమ డం పరా రం భి ంచు .	0.7000
ह नी !	హ నీ !	0.4399
तुम शर न की दोसत मी त को जानते हो .	మీకు శ రణ సనే హి తు ర ాలు మీ త తెలుసా ?	0.5776
यह मी त की त सवी र है .	ఇది మీ త య ొ కక చి తరం .	0.5391
मेरी डि परे शन की गो लिया ं चल रही हैं .	నేను డి పర ె షన మ ందు లు తీసు కుంటుననా ను .	0.5996
अगर फिर मेरे सामने ऐसा किया तो मैं तुमहारे हाथ तो ड द ूँगा .	నేను మీ మ ణి క టటు వి రి చేసతా నా ముందు ఇం కె పపుడ ెనా ఇలా చే సతే .	0.5945
मैं उन को आप से शादी नहीं करने दे ता .	నినను పెళళి చేసు కని చ చే వాడిని కాదు .	0.5158
किसी ने आपको भी बेटी दी ही थी .	ఎవరో తన కు మార తె ని నీకు ఇ చచా డు .	0.5124
सच में ?	నిజంగా ?	0.3490
ये लड का दिख ता है . . .	అబబా యి చూడ టానికి . . .	0.6127
मी त . . .	మీ త . . .	0.7306
हाँ , चा चा जी ?	చెపప ండి , మా మ ?	0.4040
