Hindi	Telugu	Similarity_Score
ल कष य के साथ लौट ूं तो नहीं .	లకష యానని తీసు కె ళ ి తే చం ప రు .	0.5749
तुमहारा सबसे प वि तर कर त वय है सं घ की रकष ा करो ,	సో దర జా తి ని సం ర కషి ంచడం నీ అ తి ప వి తర మెన బాధ యత ,	0.6315
उसके बाद सबसे प वि तर कर त वय है मेरी , या नी यो द धा टा इट स की रकष ा करो .	ఆ తరువాత ననను , అంటే సె ని కు డు టె ట స ను ర కషి ంచడం నీ అ తి ప వి తర బాధ యత .	0.6955
टी	టీ	0.3008
बात सुनो .	హే , చూడు .	0.4320
जो भी चा हें .	ప టటి ంచుకో ను .	0.4032
मै क सि मस .	మా క సి మస .	0.5619
यह . . .	థా . . .	0.7356
थे डि य स !	థా డి య స !	0.5795
यकीन नहीं होता तुमसे बरा ंड लिया .	నీ తో ము దర వే యి ంచడం నేను నమమ లేను .	0.5309
थे डि य स .	థా డి య స !	0.5421
थे डि य स !	థా డి య స !	0.5795
थे डि य स !	థా డి య స !	0.5795
नहीं !	వదదు !	0.3902
सुनो , मुझे यहाँ से निका लो गी पलीज ?	హే , ననను ఇ కకడి నుంచి బయట పడ ే సతా వా ?	0.5507
वह तुम ही थे न ?	అది నువవే , కదా ?	0.4379
वहाँ , फि ली में ?	అపపుడు ఫి ల లీ లో ?	0.4812
हाँ , वहाँ . . . मैं ही था .	అవును , అది . . . అది నేనే .	0.6213
याद है वह बं दा जो मेरे साथ था ?	నాతో వదిలే సిన అతను గుర తుననా డా ?	0.5588
सच कह ता हूँ . पलीज .	ననను నమ ము . దయచేసి .	0.5604
मैं लूसी हूँ .	నా పేరు లూ సీ .	0.4894
एक मै न यु अ ल ऑ प शन है .	ఓ మా న వీ య ఆ ప షన ఉంది .	0.6870
- तुमहें बस . . . - मिल गया .	- నువవు . . . - చూ సు కు ంట ాల ే .	0.6475
अरे .	హేయ .	0.3519
शायद लॉ ग बदल दि ए हों .	బహుశా ఆ లా గ లు తపప ే మో .	0.5468
हमें पता है अंदर कया है	అకకడ ఏ ము ందో మాకు తెలుసు	0.4769
न ॉर मन .	నో ర మన .	0.4749
चे सटर .	చె సటర .	0.5758
तुम दोनों कहाँ थे ?	ఇదద రూ ఎ టు వెళ లా రు ?	0.4555
र ै ड अ वे	రా డ ఎ వే	0.5467
नहीं .	లేదు .	0.3291
देखो .	చూడు .	0.4116
एक दिन ऐसा आए गा जब हमें मौ का मिले गा कि हम ध र ती पर फिर आ बाद होंगे	ఏదో రోజు న భ ూ మి ని మను ష ు లతో తిరిగి ని ం పి , నయా యానని మరియు నా గ రిక తను	0.5702
टर ै कर	ట రా కర	0.4253
सुनो , एक मदद करो गे ?	హే , ఓ సాయం అడ గ వచచా ?	0.6053
बताओ गे पिछ ले 2 00 साल ों में कया - कया हुआ ?	గ త 2 00 ఏ ళ లలో ఏం జరిగి ందో నాకు చెపప గల వా ?	0.6436
लूसी .	లూ సీ .	0.3696
{ \ an8 } . . . बे ट टी पी यर सन को वॉल ट का ओ वर सि यर चु ना गया है .	{ \ an8 } . . . వాల ట పర య వే కష కు ర ాలి గా బె టీ పి య రస న ఎ ం పి క య యా రు .	0.7460
नहीं .	లేవు .	0.3291
नहीं .	లేవు .	0.3291
अपनी बंद ूक मुझे दो .	నీ తు పా కీ ఇ టు ఇవ వు .	0.5127
हम उस ओर आ रहे हैं .	మీ వెపు న డు సతుననా ం .	0.4522
कया बकवास कर रही हो ?	అసలు ఏం వా గు తుననావు ?	0.4946
नर भ कष ी .	ఫీ ండ లు .	0.3998
तुमहें गोली लगी है .	నీకు తూ టా త గి లి ంది .	0.4911
बस एक ख र ों च है .	ఓ గ ీ త పడి ంద ంత ే .	0.5630
बे ट टी को वो ट दिया .	బె టీ కి ఓ టు వే శా ను .	0.5437
सट े फ ?	సట ె ఫ ?	0.6291
यह तो . . . सच नहीं है न ?	ఇది . . . నిజం కాదు , కదా ?	0.6049
उसे ह क का दिन कहते हैं , यही हमारी परे रण ा है और . . .	అది పు న రు దధ రణ ది నం , అదే మా అంద రికీ పరే రణ , ఇంకా . . .	0.6775
आओ .	పద .	0.6010
देखो .	చూడు .	0.4116
अरे .	హేయ .	0.3519
लूसी !	లూ సీ !	0.3696
लूसी .	లూ సీ .	0.3696
लूसी .	లూ సీ .	0.3696
मे डि कल सा मान	వె దయ సర ఫర ాలు	0.4514
इसलिए मैं पु नर वास अ भ िया न की घ ो ष ण ा कर रही हूँ .	అందుకే పు న రా వా స పర చా రా నని నేను పర క టి సతుననాను .	0.6210
बे स पर लौट कर सब को दिखा ऊँगा , उनके चे ह रे देख ने ला य क होंगे	నేను తవర గా బ ే స కు వెళలి , లకష య ంతో పాటు మనం తిరిగి వెళ లా క	0.6592
मतलब , मैं ऐसी दुनिया से हूँ जहाँ कोई सबसे बु री चीज	అంటే , నీకు ధనయవాదాలు చెపప డం మరి చి పో వ డ మే , నీకు చేయ గల	0.5913
मेरे सा थी ने ऐसी चीज चु रा ई जो सं घ के लिए अ हम है .	సరే , సో దర జా తి కి కీ ల క మెన ది నా సి పా యి దొ ం గి లి ంచా డు .	0.6326
तो 2 00 साल चल ने वाला सं यो ग एक ना रे के कारण है ?	2 00 సం వ త సర ాల కా క తా ళ ీ యం ఓ ని నా ద ంతో అనుకుంటా వా ?	0.6626
कयोंकि हम एक वॉल ट में घु से थे जहाँ ला श ें थीं .	ఎందుకంటే శ వాల తో ని ండి న వాల ట లోకి వెళలి వచచా ం .	0.5820
ए ं करे ज की ल डा ई के बाद से ना ने इसे बना या .	యా ంక రే జ యు దధ ం తరువాత సె న యం ఇ వి వాడు తోంది .	0.6444
इन हें ख तर ों को रो क ने के लिए अलग किया था .	పరమా ద ాలను ని వారి ంచ డానికి వి డి గా ఉ ంటుననా ం .	0.5498
मुझे लगा जैसे कोई ना व हमारी ओर आ रही हो .	ఇది ఓ ర కంగా పడ వ మన వెపు రా వడం లాంటి దే మో .	0.6114
हैं क म ॅ क ली न नि र वा चि त ओ वर सि यर - 3 1 से 3 3	హా ంక మె క లీ న 3 1 నుండి 3 3 - గె లి చి న ఓ వర సీ ర	0.7031
मुझे बस पिछ ले 2 00 साल ों का पता करना है .	నాకు గ త 2 00 ఏ ళల విషయం లో సాయం కావాల ంత ే .	0.6347
नए कै ली फो र निया ग ण राज य की पहली राज धा नी	న యూ క ాలి ఫో రని యా రి ప బ లి కకు తొ లి రా జ ధా ని	0.5557
मेरी माँ के बाद उनका पि प - बॉ य कहाँ गया ?	మా అమమ చని పోయా క , తన పి ప బా య కు ఏ మెంది ?	0.5847
रे ज मै क फी - बे ट टी पी यर सन - व ु डी थ ॉ मस	ఒకటి ఎ ంచుకో ండి రె జ - బె టీ - వు డీ థా మస	0.6428
कया कर सकते हैं ? कुछ पो सटर लगा ते हैं	నువవు ఏం చేసతా వు ? కొనని పో సట రలు పె టటి	0.5823
मुझे ली डर शि प पर सवाल नहीं उठा ना था .	మీ నా య క త వం పె పర శ న కాదు , పర య వే కష కా .	0.5881
इं जी निय रि ंग की कि ता ब ों में देखा है ,	ఇ వి పా త ఇం జి నీ రి ంగ ప తర ాల లో చూశా ను ,	0.6354
- आ लू बो रहे थे . - आ लू बो रहे थे .	- టా టో స నా టు తుననాం . - టా టో స నా ట డం .	0.6120
हाँ , पर पता नहीं उस में है कया .	హా , కానీ అందు లో ఏ ము ందో తెలియదు .	0.5224
फिर लो कत ं तर अपना काम करता है .	పర జా సవా మ యం త ని పని చేయ ాల ంటా వు .	0.5435
इसी लिए यहाँ आई हूँ . मतलब , इसी लिए यहाँ से गु जर रही हूँ .	అందుకే ఇకకడ కు వచచా ను . అంటే , అందుకే ఈ దా రి లో వెళ ు తుననాను .	0.5859
- डे वी , कोई बात नहीं . - हाँ .	- కష ట పెటటు కో కు , డే వీ . - హా .	0.6425
टा इट स और थे डि य स ! द टी बॉ य ज !	టె ట స ఇంకా థా డి య స ! టీ బా య స !	0.6250
तुमने उसे अंदर तक ची र दिया . सा री आ ंत ें बाहर आ गई थीं .	దానిని చ ీ ల చి పడ ే శా వు . చె లలా చె దు రు గా దాని పొ టట భా గ ాలు .	0.6143
हम ला वर ों ने बहुत कुछ तो डा .	రె డ రలు చాలా నా శ నం చేశారు .	0.5806
मेरे दिन ख रा ब चल रहे हैं .	ఈ వా రం నాకు కష ట ంగా ఉంది .	0.6009
और सं घ के पास ले जाएँगे .	నీ సో దర జా తి దగగర కు పో దాం .	0.5509
शे डी सै ंड स प ब लि क ला इ ब रे री	ష ే డీ శా ండ స పర జా గ రం థ ాల యం	0.6695
चे ता व नी : कुछ गिर सकता है	హె చచ రిక : పడి పో యే వ సతు వు లు	0.5951
और यह देख ते हुए कि सा री दुनिया को वह सिर चाहिए ,	ఇపపుడు , ఈ భ ూ మి మీద పరతి ఒకక రూ దాని వెంట బడ డం చూశా క ,	0.6158
तुम लोग यु द ध के पहले की तक नी कों का इस ते माल करके वै सी चीजें इ कट ठा करते हो	అయితే , యు దధ ానికి పూర వ సా ం కే తి క తను ఎవరూ ఉ ప యో గి ంచ కుండా , యు దధ ానికి ముందు	0.6495
अंदर कुछ भी हो सकता है .	అకకడ లోప ల ఏదెనా ఉండ వచచు .	0.5178
मुझे उसके पीछे जाना है .	నేను తన ను వె ం బడి ంచాలి .	0.4994
चिंता की बात नहीं है , तो फु स फु सा कयों रहे हैं ?	ఇ ద స లు ఆ ందో ళ న క రం కా కపోతే , ఎందుకు మన గు స గు స లు ?	0.6007
इसे दवा ओं की जरूरत है .	నీకు ఏదెనా మ ందు వే య ాలి .	0.5358
यह एक बहुत ब डे मो जे जैसा है . मतलब , वह है कया ?	ఇదే దో పెదద సా కస లేదా అలా ఉంది . అంటే , ఏంట ది ?	0.6164
बे स पर लौट ने से पहले ,	మనం బ ే స కు వెళ లే ముందు ,	0.5141
ये लोगों को खा ते हैं .	మను ష ు లను తి నే మను ష ు లు .	0.4689
बाद में बात करते हैं .	మనం తరవాత కొ న సా గి దదాం .	0.4889
तुम बे हो श हो गई , तो हम दोनों मा रे जाएँगे .	నువవు సప ృ హ కో ల పోయా వ ంటే , మనం ఇదద రం చని పో తా ం .	0.6202
मुझे लगा मैं तो गया .	చచ చి పోయా నని అను కుననా .	0.5010
हमें ध ो खा दे रहे हो ?	మమ మ లని మో సం చే ద దా మ నా ?	0.5334
मुझे पता नहीं था वॉल ट में लोग रह ते हैं .	ఆ వాల ట లలో పర జ లు నివ సి ంచడం నా కస లు తెలియదు .	0.5896
रॉ बर ट ओ ल सन नि र वा चि त ओ वर सि यर - 3 1 से 3 3	రా బర ట ఓ ల సె న 3 1 నుండి 3 3 - గె లి చి న ఓ వర సీ ర	0.6872
त भी तो पूछ रहा हूँ .	అందుకే అడుగు తుననాను .	0.4245
हमें वह सिर लेना है .	మనం ఆ త లను పొ ంద ాలి .	0.5320
अब भी बहुत गर म है .	అది ం కా వే డి గా ఉంది .	0.4241
{ \ an8 } ह ॉ थ ॉर न मे डि कल पर यो ग शा ला वॉल ट - टे क कं प नी का वि भाग	{ \ an8 } హా థ ో ర న మె డి కల ల యా బ రే ట రీ స వాల ట టె క కార పొ రే షన వి భా గం	0.7006
और बे ट टी एक बार ओ वर सि यर रह चु की है .	బె టీ గ తం లోనే పర య వే కష కు ర ాలి గా చేసి ంది .	0.6124
जैसे सभी को ऐ प पल पा ई से जे लो के क जयादा पसंद कयों है .	అంద రికీ ఆ పి ల పె కంటే జె లలో కే క ఎందు కి షట మో కూడా అడ గ వచచు .	0.6406
मुझे यहाँ मत छोड ो !	నన ని కకడ వదిలే య కు !	0.5311
यही कर सकता है कि धनयवाद नहीं क हे .	అ తి పెదద చె డు అనే చో టు నుంచి వచచా ను .	0.5477
कहा व त तो पता होगी .	ఓ సా మె త తెలుసు గా .	0.4832
स भ य ता शुरू करेंगे .	తిరిగి ఆ రం భ ంచ డ మే .	0.5910
लगा मैंने कर दिया . मुझे सच में लगा .	నా దగగర అది ఉ ంద ను కుననా . నిజంగా నే .	0.5723
- अगर कोई पू छे कहाँ थे . . . - तो मेरा दिल ट ू ट जाएगा .	- మన ఆ చూ కీ ఎవరెనా అడి గి తే . . . - నాకు గు ండ ె పో టు .	0.7481
मुझे बरा ंड करें .	నాకు ము దర వే య ాలి .	0.4880
ठीक है , हि ल ना मत .	సరే , అలాగే ఉ ండు .	0.4982
पता तो चल जाएगा .	వాళలు కని పె డ తారు .	0.4339
यार , आपका वो ट है .	హేయ , అది నీ ఓ టు .	0.5575
बाद में ले ल ेंगे .	ఆ తల ఆగు తుంది లే .	0.4705
और उससे पहले के 3 2 0 साल ों का अ मे रि की इ ति हा स भी .	ఇంకా దానికి ముందు 3 2 0 ఏ ళల పాటు అ మె రి కా చ రి తర కూడా .	0.6658
