Hindi	Telugu	Similarity_Score
यह तुमहारे स ें टर पी स के फ ूल ों में से एक था .	అది మీ సె ంట ర పీ స లలో పె టటి న పు వ వు లలో ఒకటి .	0.6365
तुमहें लगता है कि वह आकर ष ित हुई थी ?	నీకు ఆమె ఆ కర షి ంచ బడి ంది అనిపి సతు ందా ?	0.5675
अचछी नहीं चल रही .	అంత బాగా ఏం లేదు .	0.3980
मेरे यहाँ होने का कारण समझ ने के लिए , तुमहें मेरा अ ती त समझ ना होगा .	నేను ఎందుకు వచచా నో తెలియ ాలి అంటే , మీరు నా గ తా నని అరథం చేసుకో వాలి .	0.6131
मेरे बद मा श क जिन के साथ छो टी - मो टी चो रि या ँ करने से मेरा कुछ नहीं होता .	నా వెధవ క జి న లతో కలిసి చినన పా టి కూ నీ లు చేయడం వలల నేను ఏమీ సా ధి ంచ లేను .	0.6515
अ मरी की बे सब ॉल . मुझे वह बेहद पसंद है .	అ మె రిక న బ ే స బ ాల . నాకు అది చాలా ఇషటం .	0.6511
ज सट ि न टर डर	జ స టి న టర డ ర	0.5582
- यहाँ तक कि एक म वा म बा श फ ल भी . - कया ?	- చి వ రికి మ వా ం బ ష ఫ ఫ ు ల కూడా . - ఏంటి ?	0.6545
एक पूरी तरह से कान ू नी हे ज फ ंड .	పూరతి గా లీ గల అయి న ఒక హె డజ ఫ ండ .	0.6328
इसलिए मैं यह बर दा श त नहीं कर सकता कि तुम मुझे कम आ ं को .	అందుకే నువవు నాతో ఉ ంట ూ నే ననను వెన కకి లా గ డం ఇషటం లేదు .	0.6201
मैं तुमहें अपना इस ती फा देने के लिए सो म वार तक का समय द ूँगा	నీ రా జీ నా మా ను ఇవ వడానికి నీకు సో మ వా రం వర కు గ డు వు ఇ సతుననాను	0.6147
तुम अब भी मेरे बे सट मै न हो .	నువవు ఇంకా నా బె సట మయా న వే .	0.5948
मेरी बात सुनो . हम इन हें फ ल श कर देंगे .	నేను చెపపే ది వి ను . వాటి ని ఫ ల ష చే దదాం .	0.5994
दे वि यों , बस करो .	కు ర రా ళళ ూ , ఆ ప ండి .	0.5430
उसके बाद , रे टि ना सक ै न , पर वह एडगर की नहीं है .	రెండు , ఒక రె టి న ల స కా న , కానీ అది ఎడ గర ది కాదు .	0.6563
तो , तुम दोनों को . . .	కాబటటి , మీ రి దద రూ . . .	0.5841
हाँ . उस को ड के बिना , हम " टा इट ै निक " के लि यो जैसे हैं .	అవును . ఆ కో డ లే కపోతే మనం టె టా నిక లో హ ీ రో లాంటి వా రం .	0.6709
यू लि सी स .	యూ లె సీ స .	0.5649
यह दिल च सप है .	ఆ స కతి గా ఉంది .	0.5257
आ खि री पास को ड !	ఆ ఖ రి పా స కో డ !	0.4951
अ ल वि दा .	గు డ బె .	0.5067
कया हो रहा है ?	ఏం జరుగు తోంది ?	0.4928
- . . . तो हमारे पास इसकी स फा ई है ! - हे भगवान .	- . . . ఎందు కో మేము వి వరి ంచ గల ం ! - ఓ రి , దేవుడా .	0.7107
पता नहीं . पर मैं भी ह ँ स रही हूँ .	ఏ మో . కానీ నేను కూడా నవ వు తుననాను .	0.5494
ठीक है , बस . . .	సరే , అలాగే . . .	0.6439
नहीं , सुनो , मैंने तुमहारी सा री चीजें खि ड की से बाहर फ ें क दी ं , सि वा ए तुमहारी च ड डी के .	సరే , చెపపే ది వి ను . నీ బ టట లు అన నీ నేను కి టి కీ లో నుండి బ ట య కు వి సి రే సా , లో దు సతు లు తపప .	0.6631
नहीं , तुम मेरी बात सुनो .	కాదు , నేను చెపపే ది వి ను .	0.5282
- न ट मे ग ? - न ट मे ग .	- న ట మె గ ? - న ట మె గ .	0.7132
तुमहें डा ंस करना ही होगा .	మీరు క చచితంగా వే య ాల సి ందే .	0.4960
अ नी क उसे संभाल सकता है .	దానిని య నిక పటటు కో గల డు .	0.5719
न ट मे ग	న ట మె గ	0.6010
अब , मेरे ऑ फि स से निकल जाओ .	సరే , ఇక నా ఆ ఫీ సు నుండి పో .	0.6257
टर डर - टन डर	టర డ ర - థ ండ ర	0.4861
तुमहें कया द ूँ ?	నీకు ఏం కావాలి ?	0.4191
- नहीं है . - कया ?	- కాదు . - ఏంటి ?	0.5470
जो ई इससे खुश नहीं होगी .	జో యి కి ఇది అస స లు న చచ దు .	0.5535
वही गलत ियाँ मत करो जो मैंने की थीं .	నేను చేసిన తపపు లే నువవు కూడా చేయ కు .	0.5434
मुझे तुमहें कुछ बता ना है .	నేను ఒక విషయం ఒ పపు కో వాలి .	0.5649
बाहर निक लो इससे पहले कि तुम अपनी पै ंट से भी जयादा मह त व पू रण चीज खो दो .	ప యా ంట లు మాతరమే కా క వే రే ది కూడా పో వడానికి ము ందే ఇ కకడి నుండి బయ లు దే రు .	0.6402
मैं चाहता हूँ कि तुम धयान भ ट का ओ ताकि मैं उस छ ि पक ली को चु रा सक ूँ .	నేను ఆ బ లలి ని దొ ం గి లి ంచ డానికి వీ లు గా మీరు వాళళ ద ృష టి మళ లి ంచాలి .	0.6192
हाँ , उस ी के लिए . उस में 2 00 मि लि यन ड ॉलर से भी अधि क के करि प टो हैं .	అదే , అవును . అందు లో దా దా పు 2 0 కో టల డ ాల ర ల వి లు వ చేసే కరి ప టో ఉంది .	0.7079
पर वह तुमहारा नहीं है . मैंने . . . मैंने वह ई मान दा री से जी ता था .	కానీ అది నీ ది కాదు . నేను . . . నేను దానిని నయాయ ంగా గె లు చు కుననాను .	0.6203
- तो इसका मतलब है यह कोई भी कर सकता है . - उनहें घ ो डे ने खा लिया !	- అంటే ఈ పని ని ఎవరెనా చేసి ఉండ ొ చచు ! - ఆ గుర రం దానిని తి నే సింది !	0.6253
इसलिए मैंने एक उ च च वर गी य , नया ल ह जा इस ते माल करने का फै सला लिया .	కాబటటి నేను ఒక కొతత ఫ యా నస ీ యా స లో మాటలాడ ాలి అని నిరణ యి ంచు కుననా .	0.6229
तो ड फो ड करके चो री करने के इ ल जा म में . ज ड सन ने ग ड बडी कर दी थी .	ఒక షా పు ను దో చు కో వడానికి వెళలి న ందుకు . జ డ స న అంతా నా శ నం చేశా డు .	0.6636
पहले , इ सा बे ल ने मेरी बहन पर एडगर की हतया का आ रो प लगा या .	ముందు ఇ సా బె ల నా చె లలి పె ఎడ గర హ ంత కు ర ాలు అని ని ంద వే సింది .	0.6247
अस ली पुलिस से . जब वे यहाँ पहुँच ें , तो मुझे बता देना .	నిజ మెన పోలీసు లతో మాటలాడ తా . వాళళు వచచి న తరవాత చెపప ండి .	0.6072
मैं कुछ सोच ल ूँगा , समझ े ? मुझे बस थोडा और समय चाहिए .	ఏదో క మా రగ ం కని పె డ తాను , సరేనా ? నాకు ఇంకా సమయం కావాలి .	0.6099
मुझे गु ससा दि ला कर स थि ति शा ंत करने की कोशिश मत करो .	నువవు పిచచి పిచచి ప ను లు చేసి నాకు వె ర రి అని చెపప కు .	0.5962
या वह टर ड कार ड ही ले लो जो मैंने तुमसे तब लिया था	లేదా మనం కలి సిన మొదటి రోజు న నేను నీ నుండి తీసుకు నన	0.5714
यह रहा शि कार . एडगर मिन ो ज . और यह रहा हमारा नि शा ना .	వీ డే మన లకష యం , ఎడ గర మి నన ొ స . ఇదే మనకు కావాల సింది .	0.5970
- वाह , कै र न . वाह . - तुम हमेशा क ड वी बातें बोल ती हो .	- వా వ . గ య యా ళ ి . వా వ . - ఎపపుడూ పరతి కూ ల ంగా నే ఉంటా వు .	0.6850
हे भगवान . ए स - इ - सी - 4 . से बा सट ि यन , एडगर , क ने कट फो र !	ఓ రి , దేవుడా . ఎ స ఈ సి 4 . సె బా స టి న , ఎడ గర , క నె క ట ఫో ర !	0.7363
जब वय व सा य की बात आती थी , एडगर क ठ ो र बन जाता था .	వయా పా రం విష యా నికి వ సతే , ఎడ గర చాలా క ఠ ి నా త ము డు .	0.5990
- नहीं , आप मत बो लिए . - कया मेरे बे टे की मौ त पर	- కాదు , మిమమలని కాదు . - నా కొ డు కు పోయి న బాధ లో	0.6441
सभी अंदर आओ . आओ , मुझे तुमहें कुछ दिखा ना है .	అందరూ రండి . పద ండి , నేను మీకు ఒకటి చూపి ంచాలి .	0.5969
मैंने बो टा ई बा ँ ध ने में उसकी मदद की थी , तो . . .	నేను వాడి కి బో టె క టట డానికి స హాయ పడ డా , కాబటటి . . .	0.6205
मुझे मेरे क फ लि ंक चाहिए . और वे मेरे . . .	నాకు నా క ఫ లి ంక లు కావాలి . అవి నా సే ఫ . . .	0.6659
एक खास अ ति थि को बुला कर सर परा इ ज दिया . . .	సర పర ె జ అ తి థ ి ని అంద రికీ పరి చ యం చేసి . . .	0.6202
दरअसल जेल मेरे लिए काफी शान दार रहा है .	జె లు జీవితం నిజ ానికి నాకు చాలా బాగుంది .	0.4763
चि ली के अ रू क शा मन भर म पै दा करने के लिए इसे कम मा त रा में बना ते हैं ताकि . . .	చ ీ లీ లో ని ఆ రు క షా మా న లు కల లు రా వడం కోసం కొ ద ది మో తా దు లో దానిని నీ ళ లలో కా చి . . .	0.6813
यह दुनिया की मेरी सबसे पसंद ी दा चीज है .	ఇది ఈ పరపంచ ంలో నే నాకు అత య ంత ఇష ట మెన ది .	0.5838
मैंने उसका साम राज य बना ने में उसकी मदद की थी और वह मुझे भी निकाल ने वाला था ?	నేను వాడి రా జ యానని నిర మి ంచ డానికి స హాయ పడ డా ను , కానీ నన నే వాడు వది లి ంచు కుంటా డా ?	0.5708
हाँ . उसने मुझसे मेरा इस ती फा माँ गा था .	అవును . వాడు ననను రా జీ నా మా చేయ మ ననా డు .	0.5868
तुम उसके लिए कोई अ हम ि य त नहीं रख ते थे .	వాడి ద ృష టి లో నీకు ఎలా ంటి వి లు వ లేదు .	0.5957
माफ करना , दोसत . यह बि का ऊ नहीं है .	కషమించు , బా బు . ఇది అమమ కా నికి లేదు .	0.5822
आ ख िर कार , मैं तुमहारा बे सट मै न हूँ .	ఎంత ెనా , నేను నీ బె సట మయా న ని కదా .	0.6083
जै कस न , शायद तुम मदद कर सकते हो .	జా కస న , నువవు వాళ లకు సహా యం చె య .	0.6119
दरअसल , यह बेहद स मार ट यो जना थी .	అంటే , ఇది నిజంగా తెలి వెన పని .	0.4683
यहाँ आवा ज अचछी नहीं आ रही है .	ఇకకడ బాగా గో ల గా ఉనన టటు ఉంది .	0.5496
मैं यह मौ का खो नहीं सकता था .	దానిని నేను వ దు లు కో లేక పోయా .	0.4747
तुम यहाँ हो . हाथ च ू म ने वाले .	ఇకకడ ఉననాడు . చే తు ల సర స కు డు .	0.5808
हमेशा की तरह , उसने मुझे फा ँ स लिया था . जी तने के दो तरी के .	ఎ పపటి లా గే ననను ఇ రికి ంచా డు . గె ల వడానికి రెండు అవకా శ ాల తో .	0.6364
चाह े मैं जो भी करता , वह हमेशा ऐसी चा ल चल ता था कि उसके पास जी तने के दो मौ के होते थे .	నేను ఏం చేసి నా , వాడు క చచితంగా గె ల వడానికి ము ందే రెండు అవకా శ ాలను సె ట చేసు కునే వాడు .	0.6335
तुम कल प ना कर सकते हो कि मैं कितना है रा न हुआ था जब मैंने देखा कि मैं अके ला नहीं था .	నేను అకకడ ఒ కకడి నే లేను అని తెలుసు కునన తరవాత ఎంత ఆ శ చ రయ పడి ఉంటా నో మీరు ఊ హి ంచ గల రు .	0.6455
या तुमने यह बात कयों छु पा ई ?	లేదా నినను పీ కే శా డు అ నా లా ?	0.5677
पर मैं सै न बर ना डि नो के एक ट रे ल र पार क में प ला - बढ ा था .	ఇక నే నె తే సా న బె ర నా ర డి నో లో ఒక టర యి ల ర పార క లో పె రి గా ను .	0.6640
कयों न हम खेल कर फै सला करें ?	దాని కోసం మనం ఒక ఆట ఆడ దా మా ?	0.5955
अगर तुम उनहें हरा नहीं सकते , तो उनके साथ शा मिल हो जाओ .	మనం గ నుక అలా ంటి వాడిని ఓ డి ంచ లే కపోతే వాడి తో జ త క టట ాలి .	0.5708
तुम तो बस समझ दा री की परि भा ष ा हो . तो , कया मुझे चा ँ दी के बर त न छु पा देने चाहिए ?	నువవు వి వే కా నికి పరతి రూ పా ని వి లే . అయితే , నేను మా క ంచ ాలు సప ూ ను లు కూడా దా చు కో వ ాలా ?	0.6552
हैलो . मैं सो नहीं पा या . सोचा कि तुम एक ड रि ंक . . .	గు డ ఈ వని ంగ . ని దర రాల ేదు . నీకు కొంచెం తో డు ఉంటే . . .	0.7060
- रुको , कया ? - हे भगवान .	- ఆగు , ఏంటి ? - అమమ బా బో య .	0.6578
कि फा य ती होना अचछा गु ण है .	పొ దు పు చేయడం మంచి లకష ణం .	0.5988
ठीक है , तो सुनो . शायद , तुम सभी इसमें शा मिल हो .	సరే , ఒక ఐ డి యా . బహుశా మీ ర ంద రూ ఇది కలి సే చేశా రే మో .	0.6006
सभी को हमारे पैसे चाहिए .	అంద రికీ మా డబ బ ే కావాలి .	0.4949
जिस से मुझे सच में यही लगता है कि उस ी ने हतया की .	ఇది చూ సతు ంటే నాకు ఆ వి డే చం పి ందే మో అనిపి సతుంది .	0.6025
- मुझे पता है कि " फै ल स " एक आदमी का . . . - हाँ .	- ఫ ాల లస అంటే ఒక మ గా డి ది అని తెలుసు . . . - అవును .	0.7161
जब दुनिया उनहें सु ने गी	పరపంచ ం వి నన ది అనుకో ండి ,	0.5044
ठीक है . पर इस स पता हा ंत को , कभी ना कभी , मैं किसी की ध ु ला ई जरूर कर ूँगा .	అలాగే . కానీ ఈ వా రా ంత ంలో నేను క చచితంగా ఎవ డ ొక డి కి ద ె బబ లు త గి లి సతాను .	0.6526
उस घ ो डे का नाम कया था ?	ఆయన గుర రం పేరు ఏమ ననా రు ?	0.5786
यह जयादा मी ठ ी होती है .	అది మ రీ తి యయ గా ఉంటుంది .	0.4664
तो यू लि सी स गि ला स के साथ असल में कया कर रहा था ?	అయితే ఇంత కీ యూ లె సీ స ఆ గ లా సు తో ఏం చేసతుననా డు ?	0.6360
मुझे तुमहें म यू ट पर रख ना होगा , दोसत . एक मिनट .	నేను నినను మ యూ ట చేయాలి , మి తర మా . ఒకక నిమిష ం .	0.6333
एडगर के डै ड से केवल 2 4 ला ख ड ॉलर का उ धा र लेकर .	ఎడ గర వాళళ నానన నుండి కేవలం 2 4 లకష ల డ ాల ర లతో .	0.6472
