Hindi	Telugu	Similarity_Score
क श ती के नि चले हि स से में ,	కింద సూ ప ఉ గర వా ది ఉననాడు ,	0.6099
उसका नाम ? क ें जी मि या शी रो ,	అతని పేరు ? కె ం జీ మి య ష ీ రో ,	0.5482
वे कया कर रहे हैं ?	వాళళ ే ం చేసతుననా రు ?	0.4645
- नहीं .	- లేదు .	0.3901
हाँ ! और अगर वे इस बात की	అవును ! దానిని లేదా నినను	0.4122
और वह तुमहारी उस ी तरह मदद करें गी	ఆమె నాకు లా గే నీ కూ సాయం చే సతుంది .	0.4590
व ॉ ट	వా ట	0.2582
आ पा त का ली न	అత య వ సర ంగా	0.4197
मैंने कया किया ?	నేను ఏం చేశా ను ?	0.4848
तुम झूठ नहीं बोल रही .	నువవు అబ దద మా డ డం లేదు .	0.5196
ब लै क नो आर .	బ లా క నో య ర .	0.6002
बु चर	బు చ ర	0.2866
यह सच नहीं है .	అది నిజం కాదు .	0.4054
मुझे जाना है .	నేను వెళళ ాలి .	0.4719
नहीं .	వదదు .	0.3902
तुम टॉ क - शो में हि ससा लो गे .	నువవు టా క ష ో లో పాల గొ ంటా వు .	0.5861
तुम मेरे लिए कॉ फी लेकर आया करती थी .	నువవు నా కోసం కా ఫీ తె చచి ఇ చ చే దాని వి .	0.5382
तुमहारी आवा ज काफी अचछी है .	నీకు చాలా మంచి గొ ం తు ఉంది .	0.5063
गि ट कि री .	వి బ రా టో .	0.3996
नहीं , हमने शुरू नहीं की	లేదు , మనం ని పప ంటి ంచ లేదు	0.4637
एड स , च रस , बर नी गे ट ज	బె ర నీ గె ట జ కు ఎ యి డ స ,	0.6317
कुछ पी ना चाहती हो ?	నీకు డ రి ంక కా వ ాలా ?	0.4526
तो , तुम मुझे बताओ गे कि कया बात है ?	అయితే , ఏం జరిగి ందో నువవు చెబు తా వా ?	0.5899
कि मि को .	కి మి కో .	0.3361
तुम हमेशा ही मदद करना चाहते हो .	నువవు ఎపపుడూ సా య పడ ాలని చూ సతా వు .	0.5519
बै स किन - रॉ बि न स .	బా స కి న రా బి నస .	0.5171
सो ल ह साल हो गए .	పద హా రే ళళ కరి తం .	0.4737
- पलीज .	- వదదు .	0.4721
सब ठीक हो जाएगा .	అంతా బా గ వు తుంది .	0.4419
चलो . हमें जाना होगा .	రా . రా . మనం వెళళ ాలి .	0.4742
अचछा ? कैसे ?	అవునా ? ఎలా ?	0.5291
हाँ .	సరే .	0.3574
ए म . ए म . के साथ र हूँ गा .	ఎ ం . ఎ ం . తో పడు కుంటా ను .	0.6020
आ म ंड ज ॉ य किसी को पसंद नहीं .	ఎవ రికీ ఆ ల మ ండ జా య ఇష ట ము ండ దు .	0.6009
जे फ री डा मर .	జె ఫ రీ డా మర .	0.5296
मुझे एड शी र न से न फ रत है .	నాకు ఎడ ష ీ ర న అంటే ద వే ష ం .	0.6516
नहीं .	వదదు .	0.3902
सा ला .	అబబా .	0.2667
मुझे पता है तुमहें बच चों से न फ रत है ,	నీకు పిలల లు అద ంతా ఇష ట ము ండ దని తెలుసు ,	0.5809
पता नहीं . ठीक हूँ .	నాకు తెలియదు . సరే .	0.4956
हो म लै ंड र .	హో ం లా ండ ర .	0.5354
क वी न मे व .	క వీ న మే వ .	0.6088
इसलिए , मैंने थोडी - बहुत छा न - बी न की	అందుకే , నేను కా సత లో తు కు వెళళ ా ను ,	0.6043
कभी था .	ఒక సారి .	0.3259
- या सुरकष ा .	- లేదా భ దర త .	0.4634
तो , हम लोग कया करेंगे ?	అందుకే , మనం ఏం చేయాలి ?	0.5299
- नहीं .	- లేదు .	0.3901
नहीं .	లేదు .	0.3291
मेरे पिता उस पर लगे रह ते थे .	మా నానన అది కొ డు తూ ఉండే వాడు .	0.5689
प च प न की उ मर में , उनहें टा इ परा इ टर पर	ఆ య నని ఆ టె పర ె టర మీద పడి పోయి చూశా ను ,	0.6061
मैं 1 1 साल की थी .	నా క పపుడు 1 1 ఏ ళళు .	0.5602
मान लो .	ఒ పపు కో .	0.3908
मैं पुलिस के पास जाना चाहती थी .	పోలీసు ల దగగర కు వెళళ ాలను కుననాను .	0.4883
और उसने हमें पैसे दि ए ,	అతను మాకు డబబు ఇ చచా డు ,	0.5343
मि स ह ं टर . . .	మి స హ ంట ర . . .	0.7056
वह और त , लि बर टी ,	ఆ మ హి ళ , లి బర టీ ,	0.5819
यह लि बर टी है .	ఆమె లి బర టీ నే .	0.4850
उनके बाद मुझ में आ गई ,	ఆయన ది నాకు అ ంది ంచారు ,	0.4989
द से वे न की पह चा न मैं हूँ ! तुम नहीं !	సె వెన లో నేను ముఖ యు డిని ! నువవు కాదు !	0.5970
देखो . . .	చూడు . . .	0.7205
मैं नहीं जा ऊँ गी .	నేను రా వడం లేదు .	0.4988
बे क का . . .	బె క కా . . .	0.7061
यह सच नहीं है .	అది నిజం కాదు .	0.4054
पलीज .	పలీజ .	0.3891
