Hindi	Telugu	Similarity_Score
बै का .	బె కా .	0.4884
अगर वह मि ना थी तो ?	అది మి నా కా వచచే మో ?	0.3891
यह अचछा वि चार है , जे पी . रुको .	అది గొపప ఆలోచ న , జె పి . ఉ ండి పో .	0.5892
मि ना !	మి నా !	0.3419
मि ना !	మి నా !	0.3419
आप कहाँ हैं ?	ఎకకడ ఉననావు ?	0.4135
अरे , बै का . भगवान का शुकर है !	ఓహ , బె కా . దేవు డు బ తి కి ంచా డు !	0.5996
मि ना के घर के बाहर नहीं .	మి నా ఇంటి బయట కనిపి ంచ కు .	0.5427
अगर वह वहाँ अंदर है ,	ఆమె లోప లే ఉ ండి ఉంటే ,	0.4576
आपको कया से वा चाहिए ?	మీకు ఏ సహా యం కావాలి ?	0.4794
गरेस	గరేస	0.5000
बै का , मि ना मर चु की है .	బె కా , మి నా చని పోయింది .	0.5361
नहीं . गरेस .	లేదు . గరేస .	0.5418
बै का .	బె కా .	0.4884
हम किसी फ री जर रू म में नहीं गए थे . हम बस जा रहे हैं . माफ करना .	మేము ఫ రీ జర గ ది లోకి వెళల లేదు . మే ం బయట కి వెళల బో తుననాం . కషమించు .	0.6443
- उसे पता है कि हमें ज ॉर ज के बारे में पता है . - मुझे पर वाह नहीं कि उसे यह पता है .	- మన కి జా ర జ గురించి తెలి సి ందని వాడి కి తెలుసు . - వాడి కి తెలి సి నా నేను ప టటి ంచుకో ను .	0.6119
बै का .	బె కా .	0.4884
बै का !	బె కా !	0.4884
तो , तुमहें जे पी की कार नहीं दिख ी ?	అయితే , నువవు జె పి కారు ని చూడ లేదా ?	0.5921
वह झूठ ी दो स ती नहीं थी .	అది అబ దధ పు సనే హం కాదు .	0.5915
मैं वह चे क देखा जो उसने तुमहें दिया था , बै का .	తను నీకు రా సి ఇ చచి న చె క ని నేను చూశా ను , బె కా .	0.6260
और तुम लोगों का इस ते माल करती हो .	ఇంకా నువవు మను ష ు లని వాడు కుంటా వు .	0.5429
- मि ना मेरी दोसत थी , और मुझे उसकी याद आती है ! - बस करो , बै का .	- మి నా నా సనే హి తు ర ాలు , త నని నేను మి స అవు తుననాను ! - ఆ పు , బె కా .	0.6641
कला फि न ए ंड सं स	క లా ఫి న అ ండ స నస	0.5501
थ ॉ मस	థా మస	0.3063
तुम कहाँ हो ?	ఎకకడ ఉననావు ?	0.4213
टॉ म ?	టా మ ?	0.4188
अगर हम वि लि य मस दा वे का भ ु ग ता न नहीं कर पा ए , तो इसकी जा ँच होगी .	మనం గ నుక వి లి య మస క లె యి మ చె లలి ంచ కపోతే , నే ర పరి శ ో ధన జరుగు తుంది .	0.6752
इ वा .	ఈ వా .	0.4399
बै का !	బె కా !	0.4884
गरेस .	గరేస .	0.5562
ऑ स कर .	ఆ స కర .	0.6291
पर अब वे मेरे पास आ एँगे .	ఇపపుడు నా దగగర కి వ సతారు .	0.5292
इ वा .	ఈ వా .	0.4399
गा र डा	గా ర డా	0.3811
हाँ , नहीं . ठीक है . हम वह नहीं करेंगे . नहीं , ठीक है , पक ड लिया .	అవును , లేదు . సరే . మేము అలా చే యం . లేదు . సరే , నినను పటటు కుననా ం .	0.6126
हे भगवान . इसलिए वह . . .	దేవుడా . అందుకే తను . . .	0.6157
- ठीक है . - पर पूरी क बर पर उल टी की ,	- సరే . - అది ఆ సమా ధి మీద ంతా పడి ంది ,	0.5531
वे मेरी बात नहीं सुन रहे हैं ! उनसे क हो मैंने मि ना की जान ली .	వాళలు నా మాట విన డం లేదు ! మి నా ని నేనే చం పే శా నని వాళల కి చెపపు .	0.6091
माफ करना . मुझे पता है उसने तुमहारे साथ कया किया .	కషమించు . అతను నీకు ఎంత ద రో హం చేశా డో నాకు తెలుసు .	0.5873
नहीं .	వదదు .	0.3902
- मैं एक प शु चि कि त सक को जानती हूँ . उससे पूछ सकती हूँ . - हे , भ ग . . .	- ఒక మో స పు వె టర న రీ వె ద యు డు తెలుసు . అత డని అడుగు తా . - ఓహ , దేవుడా . . .	0.7468
तुमहारा कोई दोसत नहीं है .	నీకు ఎవరూ సనే హి తులు లే రు .	0.5074
यह सच है .	అది నిజం .	0.3878
नहीं .	లేదు .	0.3291
थे रे सा .	థ ె రె సా .	0.5152
थ ॉ मस ?	థా మస ?	0.4170
थ ॉ मस !	థా మస !	0.4170
थ ॉ मस .	థా మస .	0.4170
जे पी !	జె పి ?	0.4465
सा व धा न !	జా గర తత !	0.3842
मुझे पता है तुम ही ऑ स कर थे .	నువవే ఆ స కర అని నాకు తెలుసు .	0.5929
बै का ?	బె కా ?	0.4884
बै का !	బె కా !	0.4884
बै का ?	బె కా ?	0.4884
बे न ?	బె న ?	0.6082
नहीं .	లేదు .	0.3291
- गरेस ! - गरेस !	- గరేస ! - గరేస !	0.6398
- मैं तुमहें फोन कर ूँगी . तुमसे पयार है . - ठीक है . तुमसे पयार है . हाँ , करना .	- సరే . నినను పరే మి సతుననాను . నిజంగా . - నీకు కాల చేసతాను . నినను పరే మి సతుననాను .	0.6169
हमें हमेशा से पता था कि हम में से एक को ही आ खि री मौ का मिले गा .	మన లో ఎవరో ఒక రు అత డిని చం ప డం త థ య మని మన అంద రికీ ఎపపుడూ తెలుసు .	0.6275
तो मुझे सच बताओ कयोंकि मेरा भाई अपना दिमा गी सं तु ल न खो रहा है .	అయితే నాకు నిజం చెపపు ఎందుకంటే నా అనన యయ పిచచి వా డ యి పో తుననా డు .	0.6103
अगर कुछ बुरा हुआ , तो मुझे नहीं लगता मैं वह स ह पा ऊँगा .	ఇకకడ జరగ రా ని ది ఏదెనా జరిగి తే నేను త టటు కో గల నని అనుకో ను .	0.5943
लगता है आपको कुछ दि नों के लिए फि श फि ं गर स खा ने होंगे .	చూడ బో తే కొ ద ది రోజు ల పాటు నువవు ఫి ష ఫి ం గర సే తి ంటా వే మో .	0.6478
जि से हम इसलिए बर दा श त करते हैं कयोंकि हम अचछे लोग हैं .	నినను మేము భ రి ంచా ము ఎందుకంటే మేము మర యా ద సతు ల ం కాబటటి .	0.5873
बस पार टी है ट पह नो और सा मान य म ू ड में होने का ढ ों ग करो .	మీ పార టీ టో పీ లు పెటటు కు ని సర దా గా ఉనన టలు వయ వ హ రి ంచండి .	0.6727
नहीं , नहीं खो ओ गे . . . तुम उनहें नहीं खो ओ गे , थ ॉ मस .	లేదు , అలా జరగ దు . . . నువవు వాళ లని కో ల పో వు , థా మస .	0.6867
प ें टो बार बि ट ल ? अस पता ल से नहीं ला सकती , नहीं .	పె ంట ో బా ర బి ట ాల ? హా స పి టల నుండి తే లేను , కు దర దు .	0.6429
- रॉ जर . . . - नहीं . मैं झूठ नहीं सुन ना चाहता .	- రో జర . . . - లేదు . నాకు అబ దధ ాలు వి నా లని లేదు .	0.6806
तुमहें इसे मन मा नी करने नहीं देना चाहिए था .	మీరు తన తో ఈ పని ని చేయి ంచ కుండా ఉండ ాల సింది .	0.5642
वह यू थे ने स िया डर ग जिस की तुम बात कर रही थी .	నువవు మాకు చెపపి న ఉ థ నే సి యా మ ందు ఉంది కదా .	0.6387
धयान नहीं दिया कि मैंने वह ज मा नहीं किया ?	దానిని నేను న గ దు గా మా రచ లే దని గ మని ంచ లేదా ?	0.5128
तुमहें पैसे देने होंगे ? कया यही कारण है ?	నువవు డబబు చె లలి ంచ ాలా ? అందుకే నా నీ బాధ ?	0.5851
कम से कम , यह सि ल सि ला खतम हुआ . खतम हुआ .	సరే , ఇ పపటి కి ఇది ము గి సింది . అయి పోయింది .	0.5177
शायद पहले वह पुलिस को फोन करे गी , है न ?	ఆమె మొద ట పోలీసు లకు కాల చే సతుంది , కదా ?	0.6011
- बस जाकर ले ट जाओ . - मैं ले ट नहीं सकती .	- ఊ రి కే వెళలి పడు కో . - నేను పడు కో లేను .	0.6026
अगर हमारी कोई मदद चाहिए , तो बस . . .	మే ం చేయ వల సింది ఏమెనా ఉందా , అంటే . . .	0.5569
- कया हुआ था ? - इससे फर क नहीं पडता है .	- ఏం జరిగింది ? - అది పెదద విషయం కాదు .	0.5941
शि का य त ें आई हैं ? कै सी शि का य त ें . . .	ఫి ర యా దు లు వచచా యా ? సరే , అవి ఏంటి . . .	0.6402
