धनयवाद.	థాంకయూ.
मिस टैटी.	మిస టాటీ.
- कुछ दिख नहीं रहा था. - दवीप?	- ఏమీ చూడలేకపోయాను. - దవీపాలు?
वे साएं-साएं करके हमारे बगल से गुजरे, किस गति पर? 500 मील परति घंटे की?	అవి మన పకక నుంచే ఎంత వేగంతో దూసుకెళతాయి? గంటకి ఎనిమిది వందల కిలోమీటరలా?
मेरा मतलब, हे भगवान. मैं कितना बेवकूफ हूँ? इतनी ठंड थी	కానీ, దేవుడా. నేను ఎంతటి మూరఖుడిని? గడడ కటటించే చలిలో,
पैटरिक.	పెటరిక.
तुमहें कुछ महसूस हो रहा है?	నువవు ఏమెనా ఫీల అవుతుననావా?
तुमहें कुछ महसूस हो रहा है?	నువవు ఏమెనా ఫీల అవుతుననావా?
- कया? - यहाँ आओ.	- ఏంటి? - ఇలా రా.
- बिलकुल यहाँ. - मेजर.	- సరిగగా ఇకకడ. - మేజర.
मुझे वह महसूस हुआ.	నొపపి అనిపిసతోంది.
नहीं, सर.	లేదు, సర.
बकी.	బకీ.
मुझे पदावनत कर दिया गया.	నా ఉదయోగ హోదా తగగించారు.
चार सौ अठारहवें सकवाडरन का सीओ.	418వ సకవాడరన కి కమాండింగ ఆఫీసర.
कमबखत एयर एगजीकयूटिव.	చెతత ఎయిర ఎగజికయుటివ.
- मेजर. - धनयवाद.	- మేజర. - థాంకయూ.
शायद यह बेहतर होगा कि उनहें मैं चिटठी लिखूँ, वह जिससे वे कभी नहीं मिले.	వాళలు ఎపపుడూ కలవని మనిషి నుంచి కననా, నేను రాసతే బాగుంటుందని అనుకుననాను.
डॉनलड एल. मिलर की किताब पर आधारित	డొనాలడ ఎల మిలలర రాసిన నవల ఆధారంగా
लेमनस!	లెమనస!
कल जब पायलट उडान भर लेंगे, हम हारडसटैंड की सफाई करेंगे.	రేపు ఈ కురరాళలు టేకాఫ అయయాక, మనం ఆ నేలంతా శుభరం చేయాలి.
- आग से! - आग से.	- మంటతో! - మంటతో.
सकवाडरन करमांक पायलट बारनहिल	సకవాడరన ఎసఎన పెలెట బారన హిల.
धनयवाद, सर.	థాంకయూ, సర.
टॉमी, टॉमी.	టామీ, టామీ.
मेजर.	మేజర.
- लिल. - जॉन.	- లిల. - జాన.
ए. तुम मेजर को उतसाहित करना चाहते हो?	హేయ. మేజర ని ఉదరేకపరచాలని చూసతుననావా?
- उसके पास अब भी एक इंजन था. - मुझे याद है	- తనకి ఒకే ఇంజన మిగిలింది. - నాకు గురతుంది
इसका कया मतलब है?	దాని ఉదదేశం ఏంటి?
इसका कया मतलब है?	దాని ఉదదేశం ఏంటి?
