नहीं.	లేదు.
हाँ, मुझे वह दिख रही है.	అవును, నాకు కనిపించింది.
- कया खबर है? - पूरवी मोरचे पर. . .	- ఇది ఏంటి? - తూరపు సరిహదదులలో. . .
दोसतों, चलो चलें.	మితరులారా, పదండి.
जी, सर.	యస, సర.
डलेइनी. एलबरट.	డెలేనీ. ఆలబరట.
तुम लोगों को यहाँ देखकर खुशी हुई.	మీరు ఇకకడికి రావడం సంతోషంగా ఉంది.
धनयवाद, सर.	థాంకయూ, సర.
परारथना करो कि तुम उससे आधी अचछी उडान भर सको, तो शायद तुम भी 25 मिशनों तक पहुँच सकोगे.	అతని నెపుణయంలో నీకు సగమెనా ఇమమని దేవుడిని కోరుకో, నువవు ఇరవె ఐదు మిషనలు పూరతి చేయగలవు.
तांबे का तार, गरेफाइट, सेफटी पिन.	రాగి తీగ, గరాఫెట, పిననీసు కావాలి.
चलो. चलो चलें.	పదండి. వెళదాం.
उनकी खातिर आशा करता हूँ कि उनहें तुरंत मौत मिली हो.	కనీసం వాళలలో కొందరెనా పరాణాలతో బయటపడతారని ఆశించాను.
हैमिलटन.	హామిలటన.
- मारज. - मारज.	- మారజ. - మారజ.
7 मारच, 1944	మారచ 7, 1944
जब यह मौसम बेहतर हो जाएगा,	ఈ వాతావరణం కాసత మెరుగయయాక,
तीस में से एक, 40 में से एक, 50 में से एक है?	ముపపెకి ఒకక అవకాశం, నలభెకి ఒకటి, యాభెకి ఒకటి?
8 मारच, 1944	మారచ 8, 1944
मेजर बोमन?	మేజర బోమన?
रोजीस रिवेटरस	రోసీస రివెటరస
दिशा होनी चाहिए, 253. दोहराता हूँ, 253.	మన దిశ 253 డిగరీలు. రిపీట, 253 డిగరీలు.
वाह!	వావ!
समझ गया.	విననాను.
हाँ! रोजी!	అదీ! రోసీ!
रोजी! रोजी! रोजी! रोजी! रोजी!	రోసీ! రోసీ! రోసీ! రోసీ! రోసీ!
और मैं बस जानना चाहता हूँ कि तुम कहाँ थी.	మీరు ఎకకడ ఉననారో తెలుసుకోవాలి అనుకుననాను.
बक?	బక?
करैंक?	కరాంక?
एमबुलेंस	అంబులెనస
शायद मैंने कभी किसी से करीबी रिशता ही नहीं बनाया.	నేను ఎవరితోనూ సరెన బంధానని ఏరపరచుకోలేదు అనుకుంటా.
मौत के घाट?	ఉరి తీశారా?
अब, मैं तुमहें नहीं रोक सकता, कैपटन.	ఇపపుడు, నేను మిమమలని ఆపలేను, కెపటెన.
दरअसल, सर.	అవును, సర.
नहीं, सर.	లేదు, సర.
हमारे बॉमबर.	మన బాంబరలని.
आर. रोजेनथॉल	ఆర. రోసెనథాల
धनयवाद, करनल.	థాంకయూ, కలనల.
और मुझे पता है कि वह जैसा कहता है, वैसा बनने के लिए कडी मेहनत कर रहा है.	అది ఎలా ఉండాలని అనుకుంటుందో అలా మారడానికి చాలా కషటపడుతోందని నాకు తెలుసు.
पर उनहें बस युदध के मोरचे से खबरें चाहिए थीं ताकि उनकी उममीदें जाग सकें	యుదధరంగం నుండి కేవలం ఒక వారత కోసమే అకకడ మా సెనికులు ఆశగా ఎదురుచూసేవారు
पर मैं आपको यह बताने के लिए लिख रहा हूँ कि आपका बेटा मेरा दोसत था.	కానీ మీ అబబాయి నాకు మంచి మితరుడు అని చెపపడానికి ఈ లేఖ రాసతుననాను.
बरिटिश सेना ने मोंटे कसीनो पर दोबारा हमला करने की कोशिश की.	మాంటే కాసినో మీద దాడికి బరిటీష సెనికులు మరోసారి పరయతనించారు.
जानती हो, इन पिछले कुछ हफतों में, मुझे तुमहारी काफी याद आई.	మీకు తెలుసా, గత కొదది వారాలుగా నేను మిమమలని చాలా మిస అయయాను.
- गलेमनिटज कहाँ है? - उनहोंने उसे बिना कारण गोली मारी.	- గలెమనిటజ ఎకకడ? - అతడి మీద అకారణంగా కాలపులు జరిపారు.
मेरा मतलब, हम यहाँ बिना कुछ किए इंतजार कर सकते हैं.	నా ఉదదేశం, మనం ఇకకడ ఏమీ చేయకుండా, ఎదురుచూసతూ ఉండచచు.
बेहतर होगा कि हमारे सैनिक यथारथवादी उममीदें रखें.	మన సెనికులు వాసతవాల ఆధారంగా అంచనాలు ఏరపరుచుకోవాలి.
चूँकि हम सभी ने कम से कम एक करीबी दोसत को खोया था,	మాలో పరతి ఒకకరూ కనీసం ఒక పరాణ మితరుడిని కోలపోయాం,
मैं यहाँ भी एक बनाने की कोशिश करने की सोच रहा हूँ.	ఆ పరయోగానని ఇకకడ కూడా పరయతనించాలని అనుకుంటుననాను.
हैरी बलॉक में ही था. उनहोंने उसे गोली कयों मारी?	హయారీ ఆ బలాక లో ఉననాడు. అతడిని ఎందుకు షూట చేశారు?
- दोबारा आ रहा है! - वह हमारे करीब से गुजरेगा!	- తిరిగి వసతోంది! - వాడు మన మీదకి వచచేసతుననాడు!
किसमतवाले कमीनों को घर लौटने का मौका मिल गया.	వాళలలో అదృషటవంతులు మాతరమే ఇళలకి తిరిగి వసతారు.
साथ ही, यह नए सैनिकों को यह दिखाना अचछा रहेगा	అలాగే, నువవు కూడా ఇరవె మిషనలు చేయడం సాధయమే అని
लुफटवॉफ को हराने की हमारी संभावनाएँ बढ गई थीं.	జరమన వెమానిక దళానని ఓడించే అవకాశాలు పెరిగాయి.
सामने हलका दाईं तरफ ढेरों लडाकू विमान हैं.	కుడి వెపు ఎగువన చాలా యుదధవిమానాలు ఉననాయి.
हम कुछ ही घंटों में यूरोप पर आकरमण करेंगे.	యూరప ఆకరమణకి మనం కొదది గంటల దూరంలో ఉననాం.
बरलिन पर या उसके आस-पास हमले हो रहे हैं.	అది బెరలిన లేదా దాని పరిసర పరాంతం కావచచు.
सटालग लुफट III - सागन, जरमनी मारच, 1944	మూడో సటాలగ లుఫత - సాగన, జరమనీ మారచ, 1944
- विशवास ही नहीं होता है. - ए, नौसिखिए.	- ఇది గందరగోళంగా ఉంది. - ఓయ, కొతత అబబాయ.
तुमहें कोई देश पता है जो जयादा बेहतर हो?	ఇంతకననా మెరుగెన దేశం ఏదెనా మీకు తెలుసా?
जरमन सेना को दो भागों में बाँट दिया है.	దీనితో జరమన సెనయం రెండుగా చీలిపోయింది.
वह हमारे पुराने वाले जितना अचछा नहीं होगा, पर शायद वह परयापत काम कर जाए.	అది నా పాత రేడియో అంత బాగా పని చేయకపోవచచు కానీ కొంతవరకూ బాగానే పని చేయచచు.
कया हुआ, तुमहें हमारी इतनी याद आएगी?	ఏంటి, నువవు మమమలని అంతగా మిస అవుతావా?
हाँ, हाँ, मुझे कुछ सुनाई दे रहा है.	అవును, అవును, నాకు ఏదో వినిపిసతోంది.
बरलिन पर बार-बार किए जाने वाले हमलों से 100वें को काफी नुकसान पहुँचा था.	బెరలిన మీద వరుస దాడుల ఫలితంగా 100వ గరూపులో చాలామంది పరాణాలు కోలపోయారు.
शायद, पर मुझे लग रहा है कि तुम ही सही थे. सुरकषित रहना जयादा बेहतर है.	బహుశా, నువవు చెపపింది సరెనదే అనిపిసతోంది. కానీ మనం జాగరతతగా వయవహరించాలి.
