पैनिक	పానిక
गोपनीय आदतें.	రహసయ అలవాటలు.
किराया बाकी है.	అదదె బాకీ ఉంది.
नहीं.	లేదు.
कया फायदा? पता है जीत नहीं पाओगी.	ఏం ఉపయోగం? గెలవలేవని నీకు తెలుసు.
वे खुद को बचाते हैं, इस खेल को बचाते हैं, बस.	తమని తాము కాపాడుకుంటూ, దీనని కాపాడతారు, అంతే.
गरमियों के लिए कोई काम नहीं बचा.	వేసవికి అనని ఖాళీలు భరతీ అయయాయి.
हाँ, मैंने हर जगह कोशिश की.	హా, అనని చోటలా పరయతనించాను.
-हेदर. -हेदर.	-హేథర. -హేథర.
कुछ खास काम नहीं है. कुछ झोंपडियों को रंगना है.	ఆకరషణీయమెనది కాదు. మా కొనని షెడలకు రంగు వేయాలి.
वह अब भी तुमहारी पककी दोसत है.	తనిపపటికీ నీ పరాణ సనేహితురాలే.
कयोकि मेरे पास टिशयू नहीं हैं.	ఎందుకంటే నా దగగర టిషయూలు లేవు.
तुम बस. . . हमें थोडा समय दोगे?	నువవు. . . మాకు ఒక కషణం ఇసతావా?
मुझे उसका मौका नहीं मिला.	నాకు చెపపే అవకాశం రాలేదు.
तुम इसे जीतोगी कैसे?	ఇది మనం ఎలా గెలవాలి?
सारजेंट लैंगली,	సారటెంట లాంగలీ,
खेल रुकेगा नहीं.	ఆట కొనసాగుతుంది.
ए. आँखों को उनकी जगह पर रहने दो.	హే. నీ చూపు పెటటాలసిన చోట పెటటు.
वे सभी खिलाडियों को समझ रहे हैं.	వాళళు ఆటగాళళందరినీ పరిశీలిసతారు.
सातवीं में, गंदी फिलमें देखने यहाँ आता था.	ఏడో తరగతిలో ఇకకడికి పోరన చూడటానికి వచచాను.
पता नहीं. जरा देखूँ.	తెలియదు. ననను చూడనీ.
पैनिक जीतने से कुछ ठीक नहीं हुआ.	పానికను గెలవడం ఏదీ బాగు చేయలేదు.
रातों-रात बन गए एक भितति चितरण को लेकर शिकायत आई है.	ఇపపుడే రాతరంతా ఏవో గరాఫిటీ గీసినటటు ఫిరయాదు అందింది.
हाँ, मिस विलियमस.	సరే, మిస విలియమస.
टायलर यंग की कया संभावना है?	మరి టెలర యంగకు అవకాశాలు ఎంత?
फारमा.	ఫారమా.
भूलभुलैया हैं और बंजर भूमि में गिरना है.	చకరవయూహాలు, ఇంకా అడవిలో వదిలేయడం ఉంటాయి.
आसान है.	సులభంగా.
