कोफुन!	ఉతతరం.
और फिर भी मुझे दुख महसूस हो रहा है.	పదిలంగా ఉంచేందుకు, నినను గరవపెటటేందుకు నాకు చేతనెనంత చేసతాను.
जो आपने छोडा है उसे संरकषित करने के लिए, और आपको गरव हो सके.	నేను నినను భదరంగా చూసుకుంటాను.
मुझे और कुछ नहीं चाहिए.	నా జీవితానని నీ సేవకె అంకితం చేయగలను. . .
मैं यहाँ हूँ.	ముందు నేను కూడా నమమలేదు.
कृपया हमें यहाँ मत छोडो.	నీకు వినాలని ఎపపుడూ ఉండదు. ఎవవరూ వినలేదు.
तुम अधिक चाहने की आवशयकता को समायोजित करने के लिए नए भागों को विकसित कर सकती हो.	పెకి లేసతావా, అని అడిగానా?
हाँ. वह है.	నీ ముందు వాళళు మోకాళళ మీద కూరచోవడం నేను చూశాను.
और वह अब कहाँ है? जेरलमेल कहाँ है?	మమమలని వదిలేసతావా?
मेरी बात सुनो. इस गेट को खोलो.	-అయయయయో. ఇలా జరగకూడదు. -ఇలా జరుగుతుందని నాకు ముందే తెలుసు.
यह गहरी और अंधेरी है. हमें यहाँ कोई नहीं ढूँढ पाएगा.	-తలుపు తెరువు. -తెరవలేను.
-नहीं. -लडके!	ఛీ.
वह यहाँ है.	నీకు సాయపడాలని ఇకకడికి వచచాను.
मुझे तुमहें सुरकषित रखना है.	ఇదెలా సాధయం?
जीवन जीने के और भी बहुत बुरे तरीके हैं, मैं तुमहें आशवसत कर सकती हूँ.	తిరిగి పని మొదలుపెటటు, అననాను!
कि मेरे परिवार को कोई नुकसान नहीं होगा.	అరథమెందా?
हम यहाँ हैं!	దయచేసి పటటుకొనే ఉండు. దయచేసి.
तुम यह कयों कर रहे हो?	కొఫూన!
निरीकषक इसे आराम से नहीं लेंगे.	ఇకకడ, నాకు భోజనం దొరుకుతుంది, నీడ దొరుకుతుంది, నా మానానికి ఏమీ కాదు.
-पिताजी. -कया हुआ?	నాకూ బాధగానే ఉంది, కానీ ఇపపుడు మనం పారిపోవాలి.
तुम समझ गए?	ఎంత కాలం గడిచినా అది మారదు.
वैसा बहुत समय पहले था.	చాలా పెదదది, చీకటిగా కూడా ఉంటుంది. ఇకకడ మనలని ఎవవరూ కనిపెటటలేరు.
मैं हर संभव कोशिश करूँगी	ఒకసారి నేను ఓ కథ విననాను. అది నిజమో కాదో నువవే చెపపగలవేమో.
सामराजय. इतिहास. यह सब.	మరి ఆ మారపు చేయడానికని జనరళళు అందరితో సహా ఆసథానంలోని సగం మంది
एकमातर सवाल यह है कि उसे कैसे साबित किया जाए.	ఇది నిజం కావచచా?
नाइरी!	మాగరా!
पिताजी.	ఏమెంది?
मैं उनकी तलाश में गई थी.	తనని వెతుకకుంటూ వెళళాను.
जनरल.	జనరల.
जैसा तुमने कहा, आदेश दे दिया गया है.	నువవు అడిగినటటుగానే ఆదేశం ఇవవడమెంది.
मुझे बताओ कया हुआ.	ఏం జరిగిందో చెపపు.
बूटस!	బూటస!
तुम कया कर रहे हो?	నువవేం చేసతుననావు?
बूटस.	బూటస.
कृपया रुको.	దయచేసి ఆపు.
यह दरवाजा खोलो!	ఈ తలుపు తెరువు!
किसलिए?	ఎందుకు?
कीडा निकलने के लिए तैयार है	పటటుపురుగు బయటకు రాబోతోంది,
खैर, शायद, हमारे छोटे दोसत की तरह,	బహుశా నీకు అంతకుమించినది దకకాలేమో.
नहीं.	లేదు.
और एक महान जीवन के अयोगय लगता है.	ఒక గొపప జీవితానని అవి వరణించలేవు.
आपकी जगह कोई नहीं ले सकता.	నీ తదనంతర బాధయతల పాలన. . .
माघरा?	మాగరా?
माघरा.	మాగరా.
उनहोंने जो कहा, अगर कहा, तो तुमने उस बारे में जो किया, उससे कहीं कम विनाशकारी था.	అతనేం అననా కానీ, అదీ అనుంటే, నువవు చేసిన పనితో పోలిసతే అదంత విధవంసకరమెనదేమీ కాదు.
तुम दयालु थी, और तुम वफादार थी.	మంచిదానివి, అలాగే విధేయురాలివి.
उसने मुझे बताया कि तुम मर चुकी थी.	తనకి సరిపోయేంత బిరుదు ఎకకడా ఉండదు.
उसने झूठ बोला. और हम यहाँ हैं.	నువవు చనిపోయావని తను చెపపింది.
महिला. हाँ. लेकिन हमारा इरादा नहीं था. . .	మీరు ఇకకడికి ఆహవానం లేకుండా వచచారు, అవునా?
कहाँ है यहाँ? तुम कौन हो?	ఇది ఏ పరాంతం? ఎవరు నువవు?
उनहोंने हमें यहाँ छोडा ताकि हम एक-दूसरे को खतम कर दें.	మనలని చంపాలనుకోవడం, మనం చావాలనుకోవడం, ఈ రెండూ వేరవేరు.
तुमहारी कलपना से बढकर.	అది నువవు ఊహించలేవులే.
हम वासतव में यहाँ कितने हैं?	ఇకకడ అసలు మనమెంత మంది ఉననాం?
बाबा.	బాబా.
नहीं.	వదదు.
तुम यहाँ कयों हो?	మిమమలని ఇకకడ. . .
बूटस. तुम उसे जानती हो?	బూటస. నీకు వాడు తెలుసా?
जब तक खून खराबा खतम हुआ, ओपायोल में केवल वह और मैं बचे थे.	మీలో ఎవవరెనా ఇకకడి నుండి విజయవంతంగా పరాణాలతో బయటపడినా. . .
आप नहीं समझेंगे.	నీకు అరథంకాదులే.
हनिवा!	హనీవా!
कया आप हमें सुन सकते हैं? हम यहीं हैं.	మేమికకడే ఉననాం, నాననా. నీకేం పరవాలేదు.
हमने पकड लिया!	-నాననా! -బాబూ.
माघरा.	మాగరా.
-मुझे नहीं पता. -तुमने उनहें छोड दिया.	-నాకు తెలీదు. -నువవు వాళళని వదిలేశావు.
महतवपूरण होने के लिए आपका मजबूत होना जरूरी है.	నువవు ముఖయమెన వయకతివని వాళళు నమముతుననారు. కదా?
मुझे बताओ कया हुआ.	ఏం జరిగిందో చెపపు.
मुझे पता है कि वह संदेश किसने भेजा.	నీ సోదరి ఎవరి దగగరుందో నాకు తెలుసు.
मैं तुमहें घर जाकर इसके बारे में उसका सामना करने के लिए परोतसाहित करती हूँ.	ఆమె చెంతనే ఉండి విశేషమెన అధికారానని చెలాయించే అవకాశం జెరమామరెల కి ఉండింది,
उसे हटा दिया जाता है और उसके वारिस में परतयारोपित कर दिया जाता है.	పయాన రాజు సింహాసనానని అధిషటించేటపపుడు, ఆ సందరభానని పురసకరించుకొని
अगर मैं आपकी सेवा में रहूँ, आप वो कर सकती हैं जो कोई नहीं कर सकता.	నేనే గనుక నీ సేవలో ఉంటే, ఇకకడ ఎవవరూ చేయలేని పనులను నువవు చేయగలవు.
कोई तुमहारा साथ कयों देगा? किसी को भी नहीं पता कि तुम कौन हो.	ఎవరెనా నిననెందుకు అనుసరించాలి? అసలు నువవెవరో ఎవవరికీ తెలీదు.
मेरा कोई ऐसा हिससा नहीं है जो भविषय में इससे अधिक चाहता हो.	ఇంతకననా దారుణంగా మగగుతునన జీవితాలు ఉననాయి, అది మాతరం ఖచచితం.
बचचों के पैदा होने के पहले से मैंने उसकी आवाज नहीं सुनी है.	నువవు కేవలం తన సింహాసనానని మాతరమే చేజికకించుకోవాలనుకోలేదు.
मैंने सुना है कि जब एक पायान समराट सिंहासन पर बैठता है,	అతనికి పనికొచచే సమాచారము, మాకు దొరికే అవకాశం ఉండవచచేమో
-मैं तुमहारा नाम जानना चाहती हूँ. -मेरा नाम कोरा है.	ఇంకా నేను పాటుపడేది నా మంచి కోసమే, నీ మంచి కోసం కాదు.
अगर तुमने मुझ पर भरोसा किया है, तो अब फिर से करो.	అపపుడు నువవు ననను నమమితే గనుక, ఇపపుడు కూడా నమము.
तुमहें कोई उपकरण दिख रहा है जिसका उपयोग हो सके?	ఈ పంజరం కరిందికి వెళళగలదంటే, పెకి కూడా వెళళగలదు.
कि तुम यहाँ एक लडके दवारा. . . फुसलाए गए थे.	ఒక కురరాడు ఇరికించిపోయాడని. . . భావిసతుననాను.
और हमें मारना हमारे मरे हुए होने से अलग है	వారు మనుషయులు కాకుండా వేరే ఏదో అయిపోయారు.
जो भी हुआ. . . वह तुमहारी गलती नहीं थी.	జరిగినదానికి తపపు. . . అది నీ తపపు కాదు.
उनहें उनके नेता के सामने ले जाया गया.	ఆవిడని వాళళ నాయకుడి వదదకు తీసుకెళళారు.
और फिर मैं तुमहें कुछ और भी बताऊँगी.	అపపుడు నీకు కావలసింది నేను చెపతాను.
लेकिन कृपया जानें ऐसे और भी तरीके हैं जिनसे मैं आपकी मदद कर सकता हूँ.	కానీ నీకు నేను వేరే విధంగా కూడా సాయపడగలననన విషయానని దయచేసి గరహించు.
तुमहारे लिए खाने को कुछ लाता हूँ.	ఆ పిలలలు అసలు ఎవరో అని తెలియకుండా,
तुमहें लगता है कि मैं कमजोर हूँ.	నేను బలహీనురాలినని అనుకుంటుననావు.
बहुत अधिक. मैं उनहें धीमा करने के लिए जो कर सकूँ वह करती हूँ.	చాలా మంది. వారి రాకను ఆలసయం చేయడానికి నేను చేయగలిగినది చేసతాను.
उसने हम सभी को बताया कि जेरलामरेल ने तुमहें मार दिया. कयों?	నువవు అపపుడు ననను తకకువ అంచనా వేశావు, ఇపపుడు కూడా వేసతుననావు.
चलो, पिताजी, आप बस पहुँच गए.	ఎకకు, నాననా, దాదాపు వచచేశావు.
खैर, तो वे बहुत निराश होंगे,	అయితే వారికి భంగపాటు తపపదు,
यही कारण है कि मैं यहाँ हूँ.	నేను ఈ పనిని అసలు చేయకూడదు.
पापा, हम इसे वापस भेज देंगे.	వచచేశాం. మనం వచచేశాం. రండి.
मैं आपको मजबूत बना सकता हूँ.	నీకు ఆ శకతిని నేను ఇవవగలను.
हर किसी को जीवन वैसा जीना चाहिए जैसा वे जीना चाहते हैं.	అందుకని వాళలిదదరి నుండీ నేను అననింటినీ లాగేసుకుననాను.
और, खैर, तुम छाया से मिली हो. वे बाहर दबके घूमती हैं.	ఆ, ఇంకా, నువవు ఛాయలని కలిశావు. వాళళు బయట తిరుగుతుంటారు.
बहुत कुछ बदलने वाला है. . .	ఒకక కషణంలో చాలా మారపు. . .
और तुम काफी मजबूत नहीं थी.	నీ అకక గురించి ఎంత చెపపినా,
ठीक है? तुमने उनसे पयार करने के अलावा कुछ नहीं किया.	అరథమెందా? నువవు వారి మీద కురిపించింది పరేమ మాతరమే.
फिर मैं बिसतर पर वापस चली गई और मैं चुपचाप सो गई.	రాతరి అతని వదదకి వెళలి, గుండెలో కతతి దింపేశాను.
पिताजी, आपके दाएँ में एक चटटान की परत है.	నాననా!
यहाँ केवल एक मैं ही हूँ जो आपकी मदद कर सकता है.	ఇకకడ నీకు సాయం చేయగలిగింది నేనొకకడిని మాతరమే.
अगर हम वहाँ से बाहर नहीं जा सकते, तो हमें यहाँ से रासता खोजना होगा.	వచచిన దారిలో మనం బయటపడలేకపోతే, దీని గుండా అయినా మనం దారిని కనుకకోవాలి.
यह आशचरयजनक है कि सबसे छोटा कषण एक संपूरण विशव को कैसे बदल सकता है.	ఒక చినని కషణం మొతతం పరపంచాననే ఎలా మారచగలదనేది విసమయానికి గురిచేసతుంది.
-नहीं. मैं जाऊँगी बिना. . . -मेरी बात सुनो.	-లేదు. నేను మీరు లేకుండానే. . . -నా మాట విను.
जब हम नीचे तक पहुँचेंगे, हम अंधेरे में होंगे.	లోతటటు పరాంతంలోనికి వెళళవదదని నీకు చెపపాము.
इस सथान की रकषा के लिए, यह ऊपर की दुनिया को कभी नहीं छूनी चाहिए.	ఈ చోటుని కాపాడాలంటే, ఇది పెనునన లోకానికి అందుబాటులో ఉండకూడదు.
यह और भी बुरा है. तुमहें किसी को जलदी से बुलाना चाहिए ताकि वे इसे दूर ले जा सकें.	అది మరింత దారుణమెన విషయం. నువవు తవరగా ఎవరినెనా పిలిచి, వారికి దానని ఇచచేయాలి.
-दरवाजा खोलो. -अरे!	-తలుపు తెరువు. -హేయ!
मेरे लिए, मैंने कभी उनके गुससे को महसूस नहीं किया, या हिंसा,	నాకు తెగువ లేదు కాబటటి నేను తిరగబడటం లేదని అనుకుంటుననావు.
और तुम उसे मार दोगे.	ఆ పని నేను చేసతాను.
वे धयान देंगे, और तुम ऐसा नहीं चाहोगी.	వాళళు గమనిసతే, అది నీకు మంచిది కాదు.
जब तुम दुनिया को सिरफ एक शबद "हाँ" से बदल सकते थे. . .	ఆ సథానం మా అకకకి తగదని, ఆ అధికార సథాయి తన బలహీనతలననింటినీ
बिना यह जाने कि वे वासतव में कौन थे.	విఫలయతనమయయాక, నువవు ఊరికే పారిపో లేదు.
उस दिन तक जब वह अब और नहीं सह सकता था.	చివరికి ఒకరోజు దానని భరించలేకపోయాడు.
अब, कया तुम मेरे परशन का उततर दोगी?	మరి, ఇపపుడు నా పరశనకు సమాధానం ఇసతావా?
वह एक दिन चले गए. वह कभी नहीं लौटे.	ఒకరోజు వెళలిపోయాడు. ఇక తిరిగి రాలేదు.
और गलती किसकी है?	దానికి కారణం ఎవరు?
मेरी कसम खाओ कि तुम लडके को ढूँढोगे,	వాడిని చంపేసతారని నాకు మాట ఇవవండి.
कृपया पकडें रखें.	నీ చేతిని అందించు!
मुझे अपना हाथ दें.	నువవు అందించగలవు!
जब वे तुमहें पहली बार मेरे पास लाए,	మొదట వాళళు నినను తీసుకొచచినపపుడు,
हमने तुमहें अपनाया. मैंने उनसे कहा कि तुमहें अपनाए.	నినను మాలో చేరచుకుననాం. నేనే చేరచుకోమని చెపపాను.
तुमहें कया परवाह?	ఏదెతే నీకెందుకు?
और वे कितने हैं?	మరి వాళళెంత మంది?
मुझे अपने लेफटिनेंट के साथ पूछने के लिए एक कषण दें.	నా లెఫటనెంటలతో సమాలోచించడానికి నాకు ఒక కషణమివవు.
मुझे तुमहारे साथ खेल खेलने की कोई इचछा नहीं है.	ఒకానొకపపుడు నా మాటని వేదంలా సవీకరించేవాడివి నువవు.
वह देख सकता है.	-నాననా. -ఏమెంది?
इस बीच, मैं तुमहें अंदर रहने का अनुरोध करता हूँ.	నీకు తినడానికి ఏమెనా తెపపించే ఏరపాటు చేసతాను.
इस जीवन में. . .	ఈ జీవితంలో. . .
वह मेरा बेटा है.	వాడు నా కొడుకు.
मैं रात में उनके पास गई और मैंने उनके दिल पर चाकू से वार किया.	నాకు తొమమిదేళళు నిండిన ఆ రాతరి పూట, భరించడం నా వలల కాలేదు.
चार निरीकषक और एक काटने वाला.	వారి వదద ఎలాంటి ఆయుధాలు ఉననాయి?
कया तुम गलत थी?	నీదేమెనా తపపా?
तुम मेरी मदद कयों कर रही हो?	నువవు నాకెందుకు సాయపడుతుననావు?
यह सही नहीं है.	అది నిజం కాదు.
मुझे उनहें एक साथ रखना होगा.	వాళళకి ఏమీ కాకుండా చూసుకోవాలి.
-कोफुन! -पापा!	-కొఫూన! -నాననా!
जिनहें पकडने की शपथ लिए मैंने अपना आधा जीवन बिताया है.	వెళతూ వెళతూ తనకి ఇషటమెన భాగసవామిని కూడా తీసుకువెళలిపోయావు.
उसका नतीजा आज हमारे सामने है.	పయారిస, ఆపు. దయచేసి, ఏడవకు.
कृपया. मैं तुमहें बताती हूँ मुझे जो पता है.	దయచేసి, నేకు తెలిసినది మీకు చెపపనివవండి.
जब अधिकांश सेनापतियों और आधे दरबार ने अपना समरथन दिया	నాకు మదదతును పరకటించినపపుడు, అది వారికి ఖచచితంగా ఆట కాదే.
-नहीं. -पापा.	-లేదు. -నాననా.
मेरे पीछे आओ.	నా వెంటే రండి.
मेरी मदद करो.	నాకు సాయపడండి!
कंजुआ के अंदर से कोई रानी का अपहरण कैसे कर सकता है?	కంజువా లోపలి నుండి ఒక మహారాణిని ఎవరెనా ఎలా అపహరించగలరు?
मैं बचपन में अंदर खेलता था.	ఇదొక గుహ, ఎవవరికీ కనబడదు.
हमारी आवाजों का पीछा करो.	మా గొంతులను అనుసరించి ఎకకు.
एक आदमी जो हाल ही में हमारे गांव में शामिल हुआ था	అంతకు కాసత ముందే, ఈ పిలలాడు ఇంకా చాలా చిననగా ఉననపపుడు
दरवाजा खोलो.	తలుపు తెరువు.
और मैंने उसे इससे बचाने की कोशिश की.	అలా కాకుండా నేను తనని కాపాడాలనుకుననాను.
तुम पूरी तरह से कुछ और हो.	నువవు అంతకుమించినదానివి.
नहीं! पिताजी!	అయయో! నాననా!
मेरे पास आवशयक रूप से किसी भी तरह से उनहें जबत करने का आदेश है.	నా కుటుంబానికీ ఏ హానీ జరగదు అని నువవు నాకు హామీ ఇచచేంతవరకూ
जो तुमहें यह बताता है कि उस रिशते पर हमारा कितना कम नियंतरण था.	నేను విఫలయతనం చేయగానే, నేనకకడ ఉండలేనని నాకు తెలిసిపోయింది.
उसने उन लोगों के साथ शुरुआत की जो उसके साथ सबसे जयादा हिंसक थे.	ఆ రకతపాతం అంతా ముగిసేసరికి, ఒపాయోల లో నేనూ, వాడే మిగిలాము.
तुम काम कयों नहीं कर रही?	ఎందుకని పని చేయడం లేదు?
तो जो कोई भी परवेश करता है वह कभी नहीं जा सकता है.	అందుకని ఇకకడికి వచచినవారెవవరూ తిరిగి వెళళలేరు.
मैं एक ऐसी जगह जानता हूँ जहाँ हम सुरकषित रूप से छिप सकते हैं.	మనం సురకషితంగా తలదాచుకోగల చోటు నాకు తెలిసింది ఒకటి ఉంది.
"उनमें से? "	"వారిలోనా"?
टैमैकटी जून.	టమాకటీ జూన.
हम एक आदमी दवारा यहाँ फंस गए थे. . . एक लडके दवारा जिसने हमें धोखा दिया.	మమమలని ఒకతను మోసం చేసి ఇకకడ ఇరికించాడు. . . ఒక అబబాయి మోసం చేశాడు.
मैंने उनहें जंगल छोडते हुए देखा.	ఆవిడని అడవి బయటకి వెళతుండగా చూశాను.
-आगे रासता नहीं है. -ठीक है. हम पहुँच गए.	-ఇకకడి నుండి దారి లేదు. -పరవాలేదులే. వచచేశాం.
कृपया. . .	దయచేసి. . .
यह इस तरह से बेहतर है.	ఇదిలా ఉంటేనే మంచిది.
यह बरबाद हो सकता था.	ఇది వృధా అయిపోయుండేది.
वह बस एक लडका था. उसका शराप सिरफ परकृति का एक हादसा था.	అరథం చేసుకోమని, దయ చూపమని ఇతరులని బరతిమాలుకుననాను.
कुछ को उनकी नींद में मार दिया.	ఇదంతా మాకు నువవెందుకు చెపతుననావు?
कब तक आपको लगता है कि हम यहाँ एक साथ रह सकते हैं?	ఎంత కాలం పాటు మనం ఇకకడ కలిసి జీవిసతామని అనుకుంటుననావు?
