पुलिस!	పోలీస!
- फलैट में परवेश कर रही हूँ. - ठीक है. हम दो मिनट दूर हैं.	- ఫలాటులోకి వెళతుననాను. - సరే. రెండు నిమిషాలలో అకకడ ఉంటాం.
पुलिस!	పోలీస!
नहीं.	కాదు.
मेरा मानना है कि वह वही हेज लेन वाली कॉलर है. मंगलवार रात वाली.	మంగళవారం రాతరి హయీస లేన నుండి కాల చేసిన వయకతి తనే అని నా నమమకం.
तो हम जाँच करेंगे.	మనం విచారణ చేదదాం.
लियो.	లియో.
कुछ नहीं.	ఏమీ లేదు.
पर, मुझे 13 लाइक मिले हैं और वे बढ भी रहे हैं. कया यह अचछी बात है?	అయినా, నాకు 13 లెకస వచచాయి, ఇంకా పెరుగుతుననాయి. అది మంచిదే అంటావా?
कया वह अब भी यही सोचती है कि वह यहाँ है?	అతను ఇంకా ఇకకడే ఉననాడని ఆమె అనుకుంటోందా?
यह हमारा केस नहीं है, जून. यह सपषट कर दिया जा चुका है.	అది మన కేసు కాదు, జూన. అది మనకి సపషటంగానే చెపపేశారుగా.
केस फाइल	కేసు ఫెల
तुमहें थोडा इठलाना होगा.	నువవు గరవంగా చూపాలి మరి.
नहीं. मेरा मतलब, कयों? कया आपको. . .	లేదు. ఎందుకలా అడిగారు? మీకేమెనా. . .
एडालेइड? तुम एडालेइड का जिकर कयों कर रही हो?	అడిలెడ? ఇపపుడు తన పరసతావన ఎందుకు తెసతుననారు?
लेंकर. जून लेंकर.	లెంకర. జూన లెంకర.
तुमहें किसने भेजा?	నినను ఎవరు పంపారు?
मारच 2011 में, वह 24बी लेक सटरीट में रहता था.	మారచి 2011లో అతను 24బీ లేక సటరీట లో ఉండేవాడు.
कया? हम लंदन के हर मामूली अपराधी का पीछा करते फिरें?	ఏంటి? లండన లో ఉండే పరతీ అడడగాడిదని విచారిసతామా ఏంటి?
या फिर संदिगध है?	లేదా అనుమానితుడా?
तो, खैर, मैंने डोरिस से बात की और एरॉल उसके साथ सकूल गया था.	నేను డోరిస తో మాటలాడాను, ఎరరొల, అతను ఒకే బడిలో చదువుకుననారు.
आकरामक? मतलब? क. . .	ఆవేశంగానా? అంటే. . .
ठीक है, तो कितनी बार ढूँढा था?	సరే, ఇంతకీ ఎననిసారలు వెతికావు?
और मैं उनहें दोबारा असपताल भिजवाना नहीं चाहती, समझे?	మళలీ తనని పిచచాసుపతరిలో వేయడం నాకు ఇషటం లేదు, సరేనా?
कया हो रहा है?	ఏం జరుగుతోంది?
ठीक है. खैर, अपना समय देने के लिए धनयवाद.	సరే. ఇంత సేపూ నాతో మాటలాడినందుకు థయాంకయూ.
लियो	లియో
पुलिस!	పొలీస!
डॉन?	డాన?
जून.	జూన.
जून.	జూన.
तुमहें पैथोलॉजी रिपोरट मिल गई?	పయాథాలజీ రిపోరట సంపాదించేశావా?
पैथोलॉजी रिपोरट मरिया डी सूजा	పయాథాలజీ రిపోరట మరియా డి సౌజా
एडालेइड बरौज के साथ था?	నీ దగగర ఉనన ఆధారాలేంటి?
