मरी न ?	మ రీ న ?
मरी न !	మ రీ న !
खा ने का मजा ली जिए	భ ో జ నం ఆ సవా ది ంచండి
नि रण ा य क पर दर शन में पाँच लड किया ँ और पाँच लड के ना च ेंगे	ఐ దు గు రు అమమాయి లు , అబబా యి లు ఆ ఖ రి పర దర శ న లో భా గ మ వు తారు ,
मैं क ले यर हूँ .	క లె యి ర నా పేరు .
मैंने कया किया ?	నేను ఏం చేసా ను ?
तुमहारा सा इ ज बडा है न ?	నీ ది ఎ క సట రా - లా ర జ , కదా ?
हाँ .	సరే .
इसमें ख र च शा मिल नहीं है .	అందు లో ఖ రచు లు భా గం కాదు .
और अपना मो बा इ ल फोन दे दो .	దయచేసి నీ మొ బె ల ఫోన ఇవ వు .
हैलो , बि ली .	హాయ , బి ల లీ .
नहीं , हमेशा अचछे से सो ता हूँ .	లేదు , ఎపపుడూ బా నే పడు కుంటా ను .
और मुझे आप से , डै ड .	ఐ లవ యూ ట ూ , నా ననా .
हाँ . कया तुम हमेशा निय म ों पर चल ती हो ?	అవును . నువవు స దా నియ మ ాలు అను సరి సతా వా ?
नहीं .	లేదు .
कया हमें ऐसा करना चाहिए ?	ఇది మంచి ఐ డి యా నే అంటా వా ?
कल का कया ?	ఏంటి రే పు ?
कल की कल देख ेंगे .	రే ప టి సంగ తి రే పు .
मन को शा ंत करो .	సథి మి తంగా ఉ ండు .
ह ल की बन ो !	తే లి క వ వు .
इसलिए हम उसे द डे वि ल कहते हैं .	అందుకే ఆమె ని లే డి యా బ లా అంటా ం .
मैं रा कष स नहीं हूँ .	నేను రా కష సి ని కాదు .
म हा न ता की एक की मत होती है .	గొపప ద నా నికి మూ ల యం ఉంటుంది .
पलीज . ब टन को द बा ओ .	దయచేసి . మీ ట న ొ కకు .
लू ट म चा रख ी है .	దో చు కుంటుననా రు .
बै ले माफ िया .	బ ాల ే మా ఫి యా .
नहीं . मेरे जू ते ठीक हैं .	లేదు . నా ష ూ లు బా వు ననా యి .
को टा	కో టా
मैं सोच रही थी	నా కనిపి ంచింది ,
जैसे जो डी दार बन ने में .	అదే జ త క టట టం అలా ంటి వి .
ठीक है . अंदर आओ .	సరే . లోప లి కి రా .
ला ल सा . पर भ ु त व .	కో రిక . ఆ ధి క యం .
" कला स कै सी चल रही है ? "	" నీ క లా సు లె లా ఉననాయి ? "
बहुत अचछी .	బా వు ననా యి .
कै थ री न सै ंड रस .	కే థ రీ న సా ండ రస .
मैं चल ता हूँ .	ఏ కా ంత మి సతాను .
मुझे लड किया ँ मो ज ों में ही पसंद आती हैं .	నాకు అమమాయి లు క చచితంగా సా కస వే సుకో వాలి .
ए म .	ఎ ం .
मुझे तुम दु ख ी लग ती हो .	నువవు విష ా ద ంలో ఉననావు .
तो दे व ता ओं ने पूरी ध र ती को एक कं बल से ढ क ने का फै सला किया ,	అందు కని దేవు ళళు భ ూ మి నం తా దు పపటి తో క పప ే ద దా మని నిరణ యి ంచారు ,
ते ज , और ते ज .	చాలా వే గ ంగా .
उसका दिल इतने जो र ों से ध ड क रहा था कि उसे लगा वह फ ट जाएगा .	గు ండ ె చాలా వే గ ంగా కొ టటు కు ంటుంది అది ప గి లి పో తు ందే మో అనే లా .
बा गी का दिल ,	వి ప లవ హ ృ ద యం ,
तुमहारी मदद कर ूँगी .	నీకు సహా యం చేసతాను .
यह अचछा रहे गा .	నాకు న చచి ంద ది .
चलो एक व च न ले ते हैं .	ఒక ఒ పప ందా నికి వ దదాం .
तुम और जि या कया बातें कर रहे थे ?	జి యా నువవు ఏం మాటలాడు కుంటుననా రు ?
बस तुमहारा र ै ंक बढ जाने तक .	ఇ పపటి కి నీ ర యా ంక పె రిగి ంది .
म रे हुए च ू हे .	చచ చి న ఎ లు కలు .
अब यह ब चे रह ने की ल डा ई है .	ఇ పపు డి క మను గ డ కోసం పో రా టం .
# 1 जि या # 2 के ट # 3 इ जा बे ल # 4 मरी न # 5 न ता शा # 6 मा या # 7 क लो ई	# 1 జి యా # 2 కే ట # 3 ఇ జ బె ల # 4 మ రీ న # 5 న తా షా # 6 మా యా # 7 కలి యో
यह ख तर ना क है .	అది పరమా ద క రం .
मै रि य ने ट के नहीं .	మా రి నె టటే వి కాదు .
और पास .	దగగర గా .
तुम क ले यर का रि बन कयों पक डे हो ?	నీ దగగర క లె యి ర రి బబ న ఎందుకు ంది ?
एक दिन उसकी जगह तुम होगी .	నువవు ఒక రోజు అదే అవు తా వు .
हे भगवान .	అ యయ బా బో య .
- गु ड ना इट , लड कि यो . - गु ड ना इट .	- గు డ నె ట , అమమాయి లూ . - గు డ నె ట .
कया नि रण ा य क जो डी दार त य हो गए ?	ఫె న ల భా గ సవా ము లను నిరణ యి ంచా రా ?
मेरी त बि य त ना सा ज है .	నాకు వ ంట లో బా గ ాల ేదు .
मै रि य ने ट और ओ ली	మా రి నె టటే + ఆ లీ
नहीं .	కాదు .
माँ . . .	తను . . .
ओ ली . . .	ఆ లీ . . .
हमारे वा दे का कया हुआ ?	మన పరమా ణం మరి చి పోయా వా ?
जाने दो , है न ?	వది లె య యి , కదా ?
हमारे वा दे का कया हुआ ?	మన పరమా ణం మరి చి పోయా వా ?
पर फिर मुझे ए ह सा स हुआ	ఆ తరువాత అనిపి ంచింది ,
तुमहें आ ना ही था .	క చచితంగా చే ర తా వు .
हम कोई ह ल निकाल ल ेंगे .	మనం కలిసి పరి ష కరి దదాం .
मैं जानती हूँ , बस . . .	తెలుసు , అది కేవలం . . .
गि जेल	జి సె ల
इस क माल के हु नर म ंद बं दे का जन म दिन मना ने के लिए इ कट ठा हुए हैं ,	ఈ వి పర ీ త మెన నె పు ణ యం గల గా రాల ప టట ీ నా సనే హి తు ర ాలు , భా గ సవా మి అని
बै ले की ज य हो !	అ జ రా మ రం , బ ాల ే !
बै ले की ज य हो !	అ జ రా మ రం , బ ాల ే !
के टी , तुम ठीक तो हो ?	కే టీ , బాగానే ఉననా వా ?
के ट ?	కే ట ?
न ता शा .	న తా షా .
पी टर .	పీ టర .
जा ँ प ॉल .	జా న పాల .
रो मन .	రో మన .
फ े लि पे ,	ఫి లి పే ,
जि या .	జి యా .
ठ ह रि ए .	ఆ గ ండి .
मरी न ?	మ రీ న ?
मैं उसे वापस ला ना चाहती थी .	అది సరి చేయ మని పరయతని ంచా ను .
के ट सै ंड रस	కే ట సా ండ రస
के ट ?	కే ట ?
मैंने शो देखा .	పర దర శ న చూ సా ను .
किस लिए ?	దే నికి ?
तुमहें भी यह ए ह सा स मिले .	నీ కూ అది దొ ర కాల ని కో రిక .
वर जी निया .	వర జీ ని యా .
कि उनहोंने बस आ धे दिन के लिए ही ध र ती को ढ क ने का फै सला किया .	కేవలం రోజు లో స గం సే పు మాతరమే భ ూ మి ని క పప ి ఉ ంచ ాలని నిరణ యి ంచా ర ట .
फिर तुमने अपने माँ - बा प से कह कर मेरी छा तर व ृ त ति र दद करवा दी .	తరువాత మీ అమమా నా ననా నా స కాల ర షి ప వెన కకి తీసు కొ నే లా చేసా వు .
- बताया कयों नहीं ? - सुना है उसे जल द घर भेज दिया जाएगा .	- నా కె ందుకు చెపప లేదు ? - త నని తవర లోనే ఇంటికి పం పి సతా ర ట .
वे जानते हैं हमें हर हफ ते नए जू ते चाहिए , यह लू ट है .	పరతి వా రం మనం కొతత ష ూ లు కొ నా లని తెలుసు , ఇది దో పి డీ .
हैलो , अ मरी की लडकी . पता था कि तुम मुझसे मिलने आओ गी .	హ లలో , అ మె రి కా పి లలా . ననను కల వ టానికి వ సతా వని తెలుసు .
कि खुशी का यह जा म उन अ मी र ों के बिना सं भ व नहीं होता ,	ఈ టో సట సా ధయ మ యయ ే దే కాదు ఒక వే ళ నువవు మన క ళ ా రూ పం కోసం
अ ंड र सट डी की भ ू मि का मिलने का मतलब कोई करा र मिल जाना	పర త యా మ నా య పా తర , అంటే నీకు కా ంట రా క ట వ సతు ందని కాదు ,
मुझे पता नहीं था , और तुमहारे भाई के लिए अफ सो स है .	నాకు నిజంగా తెలియదు , నీ సోద రు డి విషయం లో మన ని ంచు .
# 1 जि या # 2 न ता शा # 3 मरी न # 4 इ जा बे ल # 5 के ट # 6 थ िया	# 1 జి యా # 2 న తా షా # 3 మ రీ న # 4 ఇ జ బె ల # 5 కే ట # 6 థ ి యా
तो ये सक ूल में फै ल कर इसे रह ने ला य क नहीं छोड ेंगे .	అపపుడు స కూ లలో ఎకకువ యి పోయి ప నికి రా కుండా పో తుంది .
लेकिन जब मैंने बा स के ट ब ॉल छोड कर डा ं सि ंग शुरू की ,	కానీ , నేను బా స కె ట బ ాల వదిలే సి డా నస ఆ రం భి ంచ గానే ,
डै ड ने कहा स पे नि श जयादा काम आए गी , तो वही सी ख ी ,	నానన ఎకకువ మంచిది అననా రని స పా ని ష తీసు కుననాను ,
माफ करना . एक पो सट पढ ी थी कि वह पू ल से कू दा था .	సా రీ . వ ంత ె న మీద నుండి దూ కా డని పో సట లో చ ది వా ను .
मैं छा तर व ृ त ति के लिए शुकरिया कहना चाहती थी .	స కాల ర షి ప కు ధనయవాదాలు తె ల ప ాలని అనుకుంటుననా ను .
बार - बार उ ड ती रही , उस कं बल में छे द करती रही ,	మళలీ మళళీ , దు పపటి కి బ ొ కక లు పె డు తూ పోయింది ,
- तुम जानती हो यह सच नहीं है . - मुझे छ ू ना मत .	- అది నిజం కా దని తెలుసు గా . - ననను ము టటు కో కు .
