पै निक	పా నిక
टे कस स में कोई मुझसे पयार करता है	టె క సా స లో ఎవరో ననను పరే మి సతుననారు
वह किसी चीज से डर गया .	ఏదో అతని ని భయ పె టటి ంది .
लै ंग ली ! वि लि य मस .	లా ంగ లీ ! వి లి య మస .
हमें जि मी और ऐ बी के लिए पत ते बना ने हैं .	జి మ మీ , ఆ బీ ల కోసం ఆ కులు త యా రు చేసతుననా ం .
इसे एक रो मा ं च समझ ो , ठीक है ?	దీ నని సా హ సం లా అనుకో , సరేనా ?
अपनी प तनी को भी हैलो कह दो .	మీ భా రయ కు కూడా హాయ చెపప ండి .
तुमसे मिल कर अचछा लगता है , शे री . मु सी ब त से बच कर रहना .	ఎపపుడూ నినను కల వడం బాగు ంటుంది , ష ె రీ . ఇ బబ ందు లలో పడ కు .
लि ली को मेरी जरूरत थी .	లి ల లీ కి నా అవసరం ఉంది .
पिछ ले साल जो हुआ , उससे उ बर ने के लिए .	గ త ఏ డా ది జరిగి న దానికి కో లు కో డానికి .
एक बात कहूँ ?	ఏంట ో తెలుసా ?
बो ला कि वह ह री के न हार वी के द ौ रा न हुआ .	అది హా ర వీ తు ఫా ను లో జరిగి ందని చెపపా డు .
नहीं पता चले गा .	అతనికి తెలియదు .
चु नौ ती से पहले उसे इस ते माल करना होगा .	అది స వ ాలు మొద లు కా క ముందు ఉ ప యో గి ంచాలి .
जिस बात का जवाब मुझे पता है , वह जज ों से नहीं पूछ ूँगा .	నాకు ము ందే సమా ధా నం తెలి సా క , నేను నయాయ నిరణ ే త లను అడ గ ను .
हेदर .	హే థర .
पर चार चल रहा है . एक ख री दो तो एक मु फ त पा ओ .	డి స క ౌ ంట న డు సతుంది . ఒకటి కొ ంటే ఒకటి ఉ చి తం .
किस से मिलने वाली हूँ ?	నేను ఏం చూడ ాలి , మళళీ ?
टॉ म .	టా మ .
उनसे बच कर नहीं भाग सकते .	వాటి నుండి పరి గె తత కూడదు .
डि गि न स सच में यहाँ रह ता है ?	డి గ గి నస నిజంగా ఇకకడ ఉంటా డా ?
- हम भी यहीं र हें गे ? - सो जाओ . अभी .	- మనం కూడా ఉంటా మా ? - పడు కో . ఇపపుడు .
- गु ड ना इट . - गु ड ना इट .	- శు భ రాతరి . - శు భ రాతరి .
पर अब आपको कहीं और जाकर अपना काम करना चाहिए .	కానీ ఇది మీరు మ రె కకడ ెనా నిర వర తి ంచ ాల సిన సమయం .
पर बा प रे .	కానీ అబబా .
- बात त य रही . - डॉज के दोसत हो . . .	- ఇది ఒ పప ంద ం . - డా డజ సనే హి తు డు . . .
हाँ .	సరే .
आप लोगों को कहीं और जाना है ?	మీరు ఇంకా ఎ కకడి కె నా వెళళ ాలా ?
कयों पूछ रहे हैं ?	ఇది దే ని గురించి ?
ज ॉन .	జా న .
उसने तुमहें कयों बताया ?	తను నీ కె ందుకు చెపపి ంది ?
तुमने कयों नहीं बताया ?	నువవు ఎందుకు చెపప లేదు ?
फर क नहीं पडता . मैंने . . .	అది ముఖ యం కాదు . నేను . . .
मैंने पढ ा ई छोड दी .	స కూ ల మా నే సతుననాను .
एक बात कहूँ ?	ఏంట ో తెలుసా ?
ड ं डि यों जै सी जा ँ घ ,	పు లల లలా ంటి కా ళళ తో ,
हाँ , बहुत बुरा हुआ .	అవును , చాలా దారు ణం .
हाँ , वह तो . . .	అవును , అది . . .
उसे ब लै क मे ल करके खेल से निकाल ने की चा ल किस की थी ?	ఆమె ను ఆట నుండి తొ లి గి పో యే లా బె ది రి ంచ ాల నన ది ఎవరు ?
रे ?	రే ?
रे ?	రే ?
या कान ू नी फी स पर ब हा सकता था .	లేదా లీ గల ఫీ జు లను క టటు కో వాలి .
लौट ता है जब दो खिला डी अ सा मान य रूप से मर ते हैं ?	అ దీ ఇదద రు లీ డ లో ఉనన ఆట గా ళలు పరమా ద ంలో చని పోయా క ?
मैंने कहा कि हमें मो टे वाले पसंद हैं .	నేను మనకు మ ంద ం వి మాతరమే న చచు తా య ననాను .
तुम किस दल दल में फ ँ से हो ? सै रा ने कहा कि पुलिस तुमहारे पीछे है ?	వీ ళళ తో ఎంత లో తు ది గా వు ? సా రా చెపపి ంది నీ కె పోలీసు లు చూ సతుననా రా ?
न ही तुमहें , और इसके पीछे एक ठ ो स वजह है .	నీ కూ తెలియదు , అ ందుకు ఒక స రెన కారణ ం ఉంది .
उसकी माँ रे के पिता के साथ फ ँ स गई थी , जेल से निकाल दी गई .	ఆమె తల లి రే వాళళ నానన తో పటటు బడ ట ంతో జె లు నుండి తొ ల గి ంచారు .
मैंने सोचा कि टे कस स की सबसे खू बस ू रत लडकी को एक बार देख ता चल ूँ .	టె క సా స లో కె లలా అంద మెన అమమాయి ని స వయ ంగా వచచి చూడ ాలని అను కుననాను .
और वह जो कि ता ब तैयार कर रहा था , और हम जो श रत ें लगा सकते थे .	ప ందే ల రి కార డు ఇంకా మేము వే య గల ప ందే ల గురించి చెపపి ంది అ పపుడే .
मैं सोच रही थी कि कया पत झ ड में कुछ और घं टे काम कर सकती हूँ ,	శి శి రం లో నాకు ఇంకా అద న పు పని గంట లు ఇ సతా రే మో అనుకుంటుననా ను ,
तीन साल पहले हैलो वी न पर हुआ . अभी भी नया य के इंतजार में है .	అది మూ డే ళళ కరి తం హ ాలో వీ న లో జరిగింది . నయా యం కోసం చూ సతుంది .
अ ज ञ ा त - खेल ने अभी तक तुमहारा पी छा नहीं छो डा . जल द मिल ेंगे .	గుర తి ంచ ని వారు - నీ తో ఆట ఇంకా ము గి య లేదు . తవర లోనే కలు ద దా ము .
यह भी बताया कि डे ना की यह हा लत किसी गाडी दु र घट ना में हुई .	డే నా ను ఢ ీ కొ టటి వెళళి పో తే ప కష వా తం వచచి న టటు ఆమె చెపపి ంది .
- ढ े र सा री कि ता ब ें पढ ो गी ? - देखो कितनी अचछी कि ता ब ें हैं .	- చాలా పు సత క ాలు చ దు వు తా వా ? - అవును . ఈ మంచి పు సత క ాలు చూడు .
आ खि री बार जब उसकी माँ ने उसे देखा , वह डर बी जा रहा था .	వాళళ మమ అత నని చి వరి సారి గా చూ సింది , డ ర బీ కు వెళ ు తు ండ గానే .
जब उसके घु ट ने में चो ट लगी , तो एक म ही ने की दवा दी गई .	ఆమె తన మో క ాలి కి గా య మ యి తే 3 0 రోజు లకు మ ందు లు వే సు కు ంది .
कुछ नहीं . यही कि खेल के चल ते बु री तरह फ ँ स गया था .	ఏమీ లేదు . ఆ ఆట వల న తను చాలా న షట పోయి న టటు చెపపా డు .
- शायद उसका बुरा हा ल था . . . - पिछ ली गर मि यों से ?	- అతను ఇ బబ ందు లలో ఉననాడు గ త . . . - గ త వే స వి ను ండా ?
जि मी और ऐ बी , दो नो की मौ त का खेल से सं बं ध है ,	జి మ మీ , ఆ బీ ల ఇదద రి మ రణ ాల కు ఈ ఆట తో సంబం ధం ఉంది ,
जो अ ज ञ ा त है , अगर वह न ु क सान नहीं पहुँ चा सकता ,	మీకు తెలియ ని వి మిమమలని ఏ నా టి కి బా ధి ంచ కపోతే ,
पर बैठ क में उसके अं ति म रो डियो की एक टर ॉ फी है	కానీ వాళళ ముందు గ ది లో ఉనన ఆమె గె లి చి న ట రో ఫీ
तुमहारे अप हर ण की चे ता व नी देने वाला हूँ . . .	నేను ఇ పపుడే ఆ ం బర అ ల ర ట లో పె డ దా మను కుననాను . . .
डा र बी में लू क और ह ंट में कया बात हो रही थी ?	డ ర బీ దగగర లూ క ఇంకా హ ంట ఏం మాటలాడు కుంటుననా రు ?
नहीं . कया पता , वह शायद क ली व लै ंड में ही हो .	లేదు . అతను క లీ వ లా ండ లో ఉండ వచచు , అంతే తెలుసు .
नहीं , देखना पडे गा . पता है ह ंट के नी कहाँ है ?	లేదు , అది ఆ ధా ర పడి ఉంటుంది . హ ంట కె ననీ ఎకకడ ?
एक मैं ही हूँ जो डे ना के बारे जानती हूँ .	డే నా గురించి తెలి సింది కేవలం నాకు మాతరమే .
मैं एक परति यो गी थी , और तुम एक खु फ िया जज .	నేను ఆ డే దానని , నువవు ర హ సయ నయాయ నిరణ ే త వు .
अगर तुम जज लोगों से समझ ौ ता करते हो . . .	నయాయ నిరణ ే తల తో ఒ పప ంద ం కు దు రచు కు ంటే . . .
तो , वह चाहता था तुम पै निक पर श रत लगा ओ ?	అతను మిమమలని పా నిక మీద ప ంద ెం వే య మ ననా డా ?
जब इसे लिया था , तब सिरफ नौ कि लो का था .	అది ఇకకడ కు వచచి నపపుడు 2 0 ప ౌ ండ లే ఉంది .
रुको , तुम यह रि कार ड तो नहीं कर रहे न ?	ఆగు , మీరు ఇది రి కార డు చేయడం లేదు కా దా ?
सक ूल में , हफ ते में 2 0 घं टे काम करती ,	హె స కూ లలో వా రా నికి 2 0 గంట లు పని చేశా ,
तुमने जज लोगों को कोई और बात बता ई ?	నువవు నయాయ నిరణ ే త లకు ఇం కే ం చెపప లేదా ?
उसने बताया कि उसका बॉ य फर ें ड हर हफ ते	ఆమె తన పరి యు డు పరతి వా రం వ ంద డ ాల ర ల
नहीं चाहती थी कि मेरे लिए बुरा लगे .	నీకు నా పె సా ను భ ూ తి ఉండ కూడ ద ను కుననా .
कयोंकि यह बात डे ना को बता नी चाहिए .	ఎందుకంటే అది చెపప డానికి డే నా విషయం .
उसे कुछ नहीं पता कि कया कह रही है .	ఆమె త నే ం మాటలాడు తు ందో తన కు తెలియదు .
- आओ , चलो . - आप इसे कैसे जानती हैं ?	- రా , న డు వు . - మీకు అతను ఎలా తెలుసు ?
यह अजीब नहीं लगता कि उस ी गर मी में	అతను వే స వి లో రా వడం వి చి తర ంగా లేదా ,
ठीक है ? मेरे लिए मु सी ब त हो जाए गी .	సరేనా ? నేను చాలా సమసయ లలో పడ తాను .
डॉज ने बताया कि तुम कहीं दूर हो ,	డా డజ నువవు ఎ కకడి ను ండ ో వచచా వ ననా డు ,
तुम मुझे यह कयों नहीं बता पा ए ?	అది నాకు నువవు ఎందుకు చెపప లేదు ?
समय के आ धा र पर अं क दि ए जाएँगे .	సమయం ఆ ధా ర ంగా పా యి ంట లు ఇ సతారు .
मुझे लगता है यह एक पर ीक ष ा है .	ఇ దంతా పర ీ కష అని అనుకుంటుననా ను .
" तुमहारी , ली ला . " नै ट ली के साथ किसी ली ला ने गरे जु ए शन की थी .	" స దా నీ ద ె న , లీ లా . " నా ట లీ లీ లా తో పాటు గరా డ యు యే షన చేసి ంది .
मुझे लगा उनकी ल डा ई हो जाए गी .	వాళళు గొ డ వ పడ తా రని అను కుననాను .
मुझ पर चिंता छोड दो , ठीक है ?	చి ంతి ంచడం నాకు వదిలే య , సరేనా ?
हमें हेदर के बारे में बताओ गे ?	నువవు హే థర గురించి చెబు తా వా ?
क सम से , मैं कुछ नहीं कहूँ गी .	పరమా ణ పూరతి గా నేనే మీ చెపప ను .
कि को र टे ज ने मुझे गलत समझ ा .	కోర టె జ తపప వ వడం ని రా శ గా ఉంది .
पढ ा ई के बारे में कया करो गी ?	నువవు స కూ ల సంగ తి ఏం చేసతా వు ?
उसे दो ष भी तो नहीं दे सकते .	సరే , నువవు త నని తపపు ప టట లేవు .
ये त सवी र ें तुमने ख ी ं ची थी न ?	నువవే కదా ఈ ఫో టో లు తీ సింది ?
