नहीं .	లేదు .
मेरी जान - पह चा न का हर परा ण ी अभी मुझे घ ूर रहा है .	నాకు తెలి సిన వారు అందరూ ఇపపుడు నన నే చూ సతుననారు .
डै ं प वा यर !	డా ం ప వె రస !
श री र	బా డీ
हाँ , वे कि तने आकर ष क लग रहे हैं !	అవును , వాళళు భలే అంద ంగా ఉననారు !
बु री बे इ जज ती करने वाला .	చెతత తి టలు తి టటే వయకతి .
और मैं चाहता हूँ अ ंग हिला ने का यह कार य कर म कोई भूल न पा ए .	అలాగే ఈ డా నస ఎవరూ మర చి పో లేని ది గా ఉండాలి అని కో రు కుననాను .
नहीं !	వదదు !
तुम सच में म जे दार हो . कया तुम मेरे पहले न ये दोसत बन ो गे ?	నువవు భలే సర దా గా ఉంటా వు . నువవు నా కొతత ఫ రెండ గా ఉంటా వా ?
यह भाग केवल वय सक परा ण ि यों के लिए है .	ఇది పెదద వారు మాతరమే రా వాల సిన పర దేశం .
नहीं !	లేదు !
- " आकर ष क परा ण ी . " - आकर ष क . . .	- హా ట బీ యి ంగ స . - అంద మెన . . .
- एक बार और . तुमहें लग भ ग आ ही गया है . - ठीक है .	- ఇం కొ కక సారి . నీకు దా దా పు గా వచ చేసి ంది . - సరే .
कोई बात नहीं . मिल ते हैं !	ఏం పర లేదు . మళళీ కలు దదాం !
हाँ . सुना है उसे और रो मा ं च क बना ने के लिए उनहोंने उसका थी म बदल कर	అవును . చూ సతు ంటే మరి ంత ఉ త సా హా నని తె పప ి ంచ డానికి వాళళు డా నస థ ీ మ ని
हाँ . अ ल वि दा .	సరే . గు డ బె .
ये लोग तो बहुत दु ः ख ी हैं .	వాళ లకు ఇది అస స లు న చచ లేదు .
तुम सही कह रहे हो . मैंने अपनी स जा पूरी कर ली है तो अब मेरी कै द खतम हुई . फिर मिल ेंगे .	నువవు అనన ది నిజ మే . నా శి కష పూరతి అయి ంది , కాబటటి ఇక డి టె న షన ము గి సిన టటే . మళళీ కలు దదాం .
इससे वा कई चीज ों को देख ने का एक अलग न ज रि या मिला है .	అలా ఆలోచి సతే మనం పరిసథి తి ని చూ సే వి ధా నం మా రు తుంది .
मुझे माफ कर दो . मैंने इतना बुरा बर ता व किया .	ననను కషమించు . నేను చాలా దు రు సు గా వయ వ హ రి ంచా .
- मुझे भी तुमहारी बहुत याद आई . - चल कर कुछ अ ंग हिला एँ ?	- నేను కూడా నినను మి స అయ యా ను . - వెళలి డా నస వే ద దా మా ?
सब को सुना ई थीं पर यह बात अलग है .	శ బ ద ాలు చేశా ను , కానీ ఈ సారి వే రు .
चलो , अ ंग हिला एँ .	డా నస వే దదాం ప దా .
मैंने गि ना था . यहाँ 9 8 परा ण ी हैं .	నేను లె కక బె టట ా ను . 9 8 మ ందే ఉననారు .
पर , मुझे कैसे पता होगा ? मेरे साथ तो कभी किसी ने अ ंग हिला ने नहीं चाह े .	కానీ , నాకు మా తరం ఏం తెలుసు ? నాతో ఇ పపటి వర కు ఎవరూ డా నస వే య ాలి అనుకో లేదు .
कयोंकि प हा ड की चो टी पर एक डा ँ वा डो ल जगह के कारण तुम मर ते - मर ते ब चे !	ఎందుకంటే ఒక కొ ండ శి ఖ రం మీద దా దా పు గా చచ చి న ంత అను భ వం ఎదు ర వు తుంది కదా !
कयोंकि तुम अपने मु ँ ह के पत थ र या नि दा ँ त मुझ में घु सा ना चाहते हो .	ఎందుకంటే నువవు ననను కొ రికి నా రక తం తా గ ాలి అనుకుంటుననా వు కాబటటి .
याद है पिछ ली बार जब तुमहें मा इ क दिया था तो कया हुआ था ?	కరి తం సారి నీకు మె క ఇ చచి నపపుడు ఏ మె ందో నీకు గుర తుంది కదా ?
मुझे तो यह भी नहीं पता कि मेरा श री र काम कैसे करता है !	నా శ రీ రం అసలు ఎలా పని చే సతు ందో కూడా నాకు తెలీ డం లేదు .
मैं बस चाहता था कि तुम समझ ो मैं कया महसूस करता हूँ .	నేను ఎలా ఫీ ల అవు తుననా నో నీకు తెలియ ాలి అను కుననా అంతే .
मैं समझ ता हूँ . मैंने आकर ष क परा ण ी वाली टो पी पह नी हुई है तो साफ है , मैं फै न स की भा वना एँ समझ ता हूँ .	నేను అరథం చేసుకో గలను . నేను కూడా హా ట బీ యి ంగ స టో పీ పెటటు కుననాను కాబటటి ఆ అభి మా నా నని అరథం చేసుకో గలను .
मुझे नहीं लगा था ये लोग ऐसा वि वर ण बना सकते हैं .	వీ రు అంత దారు ణ ంగా వి వరి సతారు అని నేను అనుకో లేదు .
कम से कम मैं इन से कोई ऐसी बात ची त कर सकता हूँ	క నీ సం నేను వీ రి తో డా ం ప వె రస గురించి మాతరమే కా క
मैंने ऐसा कुछ नहीं सोचा था जब मुझे पता चला था कि यहाँ अ ंग हिला ने का कार य कर म होने वाला है .	ఇకకడ ఒక డా నస కార య కర మ ం పె డు తుననారు అని విన గానే నే నె తే ఇంత బాగా ఏ ర పాటు చేసతా రు అనుకో లేదు .
देखो , किसी परा ण ी ने नहीं कहा है कि " आकर ष क परा ण ी " कला है . वह तो बस , दरअसल , म जे दार है .	చూడు , హా ట బీ యి ంగ స కార య కర మ ం గొపప ది అని ఎవరూ అన డం లేదు . కా కపోతే అది బాగా సర దా గా ఉంటుంది .
हमारे दोसत ों को दरअसल यह चीज आकर ष ित करे गी .	ఈ విషయం మన ఫ రెండ స కి ఆ స కతి ని పు టటి ంచ వచచు .
ज मी न में स मा ने वाला के क . ये सब बढिया हैं .	క రం బు ల తర ూ ది ఫ లో ర కే కు . ఇవ ననీ భలే ఉననాయి .
यह काफी रो मा ं च क होगा . चलो यही करते हैं .	అంద రి లో ఆ తరు త పు టటి సతుంది . అలాగే చే దదాం .
" डै ं प वा यर " जैसे शो वि शु द ध कला का न म ू ना हैं . " आकर ष क परा ण ी " में तो कुछ नहीं है .	డా ం ప వె రస లాంటి కార య కర మ ాలు స వచ ఛ మెన ఆర ట లాంటి వి . హా ట బీ యి ంగ స కార య కర మ ంలో ఏమీ లేదు .
बहुत थोडी संभा वना है कि अ ंग हिला ने के द ौ रा न यह जगह गर त में गिर सकती है .	డా నస వే సతు ండ గా ఈ పర దేశం అ గా ధ ంలో కి కూ లి పో వడానికి చి నని అవకా శం మాతరమే ఉంది .
अभी पकका नहीं कह सकते . नजर मत लगा ओ .	అలా మాటలాడ కు . దు ర ద ృష టం పటటు కో గల దు .
हमें अग ले ए पि सो ड में पता चल जाएगा .	వచచే ఎ పి సో డ లో చూ సి తెలుసు కు ందా ం .
हाँ , मुझे रात को फोन करना . मुझे इस शो के बारे में कुछ जवाब चाहिए !	సరే , రాత రికి ఫోన చె య . నాకు ఆ ష ో గురించి కొనని సమా ధా నాలు కావాలి !
मेरे म जे दार दोसत परा ण ी कहाँ हैं ?	బాగా సర దా చేసే వారు ఎకకడ ఉననారు ?
इसमें केवल आ ठ परा ण ी आ सकते हैं .	ఇకకడ ఎ నిమి ది మంది మాతరమే పడ తారు .
माफ करना , न ये परा ण ि यों को मिल ते समय मैं थोडा अ ट प टा हो जाता हूँ .	సా రీ , కొతత వారి ని కలి సే ట పపుడు నేను కొంచెం వి ంత గా పర వర తి ంచ వచచు .
कया तुम मेरे साथ अ ंग हिला ओ गे ?	నువవు నాతో కలిసి డా నస వే సతా వా ?
यह काफी अजीब कार य कर म होने वाला है . पर बु कि ंग तो बु कि ंग है .	ఇది భలే వి ంత కార య కర మ ం అ యయ ే లా ఉంది . కానీ బు కి ంగ అంటే బు కి ం గే .
कया ? मुझे वह शो पसंद नहीं है .	ఏంటి ? నాకు ఆ ష ో అస స లు న చచ దు .
अ ंग हिला ने का कार य कर म आज रात को है ? सुना है अब वह के यर फु ल ना ओ में है . अजीब जगह चु नी है .	డా నస ఇ వాళ ే కదా ? దానిని కే ర ఫ ు ల నవ లో పె డు తుననా రని వి ననాను . వి ంత ె న చో టు ను ఎ ంచు కుననా రు .
मेरे दोसत मुझसे कि ना रा कर ल ेंगे . मुझे सबसे अचछा अ ंग हिला ने का कार य कर म आ यो जि त करना है !	నా తో టి వారు ననను వె లి వే సతారు . నేను అనని టి కంటే బె సట డా నస కార య కర మా నని ఏ ర పాటు చేయాలి !
वह तो पू रे एक स पता ह बाद है .	అ ందుకు ఒక వా రం అంతా ఆ గ ాలి !
यह तो बहुत भ यान क वि चार है .	ఆ మాట విన డ మే భ యం కర ంగా ఉంది .
आज मदद करने के लिए धनयवाद .	ఇ వాళ సాయం చేసిన ందుకు థాంక స .
जब मैं छो टा था , तो मैं भी एक ऐसे ही हा ला त से गु जरा था .	నా చినన పపుడు నేను కూడా ఇలా ంటి స ంద ర భా నని ఎదు ర కొ ననాను .
ठीक है , श रा र ती परा ण ी . चलो चल कर कुछ जग हें देख कर आ एँ .	సరే , అ లల రి వి ద యా రథ ి . వెళలి కొనని పర దే శ ాలను వె తు కు దాం .
यह एक तरह से इन का काम है .	నిజ ానికి వాళళ ఉద యో గ మే అది .
और मुझे बता ते हो कि मैं कौन से शो देख ूँ या न देख ूँ .	నేను ఏం కార య కర మ ం చూడ ాలో చూడ కూడ దో కూడా చెప తుననావు .
हम सब खतम होने वाले हैं !	మనం అంద రం చచ చి పో బో తుననాం !
और मैं तुमहें बता ना चाहता हूँ कि मेरा बर ता व तुमहारे परति मेरी अस ली भा वना एँ नहीं दर शा रहा था .	అలాగే నీ ప టల నేను పర వర తి ంచిన వి ధా నం కూడా నేను ఉద దే శ పూర వ కంగా చేసి ంది కా దని చెపప ాలి అనుకుంటుననా ను .
मुझे डर है कि पहले ही सौ परा ण ी अ ंग हिला रहे हैं .	ఇకకడ ఇ పపటి కే వ ంద మంది కి మి ంచి డా నస వే సతుననారు .
इसका पर भा व तुमहें आकर ष क परा ण ी बना दे गा .	ఈ ఎ ఫె క ట నినను హా ట బీ యి ంగ గా మా రచు తుంది .
उन न न हे जी व ों को उससे कहीं जयादा उसकी जरूरत है .	ఆ చి నని జీ వు లకు ఆ శ రయ ంగా ఆ పర దేశం మరి ంత ముఖ యం .
" आकर ष क परा ण ी " डै ं प वा यर स जैसा ही है , बस उस में मु ँ ह वाले कर तब नहीं होते .	హా ట బీ యి ంగ స కార య కర మ ం కూడా డా ం ప వె రస లాంటి దే , కా కపోతే కొ రక డ ాలు ఉండ వు .
उस बै नर पर लि खा है " याद रख ने ला य क एक रात , "	ఆ బ యా న ర లో " గురతు ండి పో యే రాతరి " అని ఉంది ,
पर मुझे लगता है हम शायद यह रात भूल जाएँगे	కానీ మనం పెదద ో ళళ ం అ యయ ే అద ృష టం ఉంటే ఖచచితంగా
याद रख ने ला य क एक रात	ఒక గురతు ండి పో యే రాతరి
वे चाह े ता जी नहीं हैं , पर फिर काफी चीजें ता जी नहीं होती ं .	అవి ఫ రె ష కా కపో వచచు , కా కపోతే ఇకకడ ఉనన చాలా ఐ ట మ లు అలా ంటి వే .
- सच में ? - अगर तुम मेरे साथ अ ंग हिला ओ गे ,	- నిజంగా ? - నువవు నాతో కలిసి డా నస వే సతే
लगता है यह बात ची त थोडी और लं बी खि ं चे गी जब तक मैं ये सब उठा ता हूँ .	నేను దానిని తిరిగి తీసుకు నే లో పు మన సం భా ష ణ ఇం కొంచెం సే పు సా గొ చచు ఏ మో .
कितना बे कार न ये सबसे अचछे दोसत ों वाला अ ंग हिला ना है . सब न कल करके करते लग रहे हो .	మీ కొతత బె సట ఫ రెండ డా నస చాలా దారు ణ ంగా ఉంది . పిచచి పిచచి గా తూ లు తునన టటు ఉననారు .
- मुझे बहुत पसंद है . - उनका अ भ ि न य तो . . .	- నాకు అది చాలా ఇషటం . - వాళళ న టన . . .
पर इसी लिए तुमहें अपने दोसत के साथ मिले इस सी मि त समय को बर बाद नहीं करना चाहिए ,	కాబటటి అందుకే నువవు నీ ఫ రెండ తో నీకు నన కొ ద ది సమ యానని తన పె కో పం పె ంచు కు ంట ూ
बी इ ंग सब र ग हा ई सक ूल	బీ యి ంగ స బ రగ హె స కూ ల
तुम अ ट प टे नहीं थे .	నువవే ం వి ంత గా లేవు .
वह भी अभी तक नहीं .	ఆ పని కూడా చేయ లేదు .
सब लोग , अ ंग हिला ओ !	అందరూ , డా నస వే య ండి !
- मुझे नहीं लगता . . . - अचछा लग रहा है . हम इसे ले ल ेंगे .	- ఏ మో . . . - నా కె తే ఐ డి యా బా నే ఉంది . మేము తీసు కుంటా ం .
