पै निक	పా నిక
गो प नी य आद त ें .	ర హ సయ అ ల వా టలు .
कि रा या बाकी है .	అ దద ె బా కీ ఉంది .
नहीं .	లేదు .
कया फा य दा ? पता है जी त नहीं पा ओ गी .	ఏం ఉ ప యో గం ? గె లవ లే వని నీకు తెలుసు .
वे खुद को बचा ते हैं , इस खेल को बचा ते हैं , बस .	త మని తా ము కా పా డు కు ంట ూ , దీ నని కా పా డ తారు , అంతే .
गर मि यों के लिए कोई काम नहीं बचा .	వే స వి కి అనని ఖ ా ళ ీ లు భ ర తీ అయ యా యి .
हाँ , मैंने हर जगह कोशिश की .	హా , అనని చో ట లా పరయతని ంచా ను .
- हेदर . - हेदर .	- హే థర . - హే థర .
कुछ खास काम नहीं है . कुछ झ ों प डि यों को र ंग ना है .	ఆ కర ష ణ ీ య మెన ది కాదు . మా కొనని ష ె డ లకు రం గు వే య ాలి .
वह अब भी तुमहारी पक की दोसत है .	త ని పపటి కీ నీ పరా ణ సనే హి తు రాల ే .
क यो कि मेरे पास टि श यू नहीं हैं .	ఎందుకంటే నా దగగర టి ష యూ లు లేవు .
तुम बस . . . हमें थोडा समय दो गे ?	నువవు . . . మాకు ఒక కష ణం ఇ సతా వా ?
मुझे उसका मौ का नहीं मिला .	నాకు చెపపే అవకా శం రాల ేదు .
तुम इसे जी तो गी कैसे ?	ఇది మనం ఎలా గె ల వాలి ?
सा र ज ें ट लै ंग ली ,	సా ర టె ంట లా ంగ లీ ,
खेल रु के गा नहीं .	ఆట కొ న సా గు తుంది .
ए . आँख ों को उनकी जगह पर रह ने दो .	హే . నీ చూ పు పెటట ాల సిన చో ట పెటటు .
वे सभी खिला डि यों को समझ रहे हैं .	వాళళు ఆట గా ళళ ంద రి నీ పరి శ ీ లి సతారు .
सा त वी ं में , ग ंद ी फि ल में देख ने यहाँ आता था .	ఏ డో తర గ తి లో ఇకకడికి పో ర న చూడ టానికి వచచా ను .
पता नहीं . जरा देख ूँ .	తెలియదు . ననను చూడ నీ .
पै निक जी तने से कुछ ठीक नहीं हुआ .	పా ని కను గె ల వడం ఏ దీ బాగు చేయ లేదు .
रात ों - रात बन गए एक भ ित ति चि तर ण को लेकर शि का य त आई है .	ఇ పపుడే రాత రం తా ఏ వో గరా ఫి టీ గ ీ సిన టటు ఫి ర యా దు అ ంది ంది .
हाँ , मि स वि लि य मस .	సరే , మి స వి లి య మస .
